section,age,group,persons,males,females,source_image
1. ALL COMMUNITIES.,0-1,POPULATION,28785,13661,15124,Adilabad.png
1. ALL COMMUNITIES.,0-1,UNMARRIED,28480,13534,14946,Adilabad.png
1. ALL COMMUNITIES.,0-1,MARRIED,279,122,157,Adilabad.png
1. ALL COMMUNITIES.,0-1,WIDOWED,26,5,21,Adilabad.png
1. ALL COMMUNITIES.,0-1,DIVORCED,0,0,0,Adilabad.png
1. ALL COMMUNITIES.,1-5,POPULATION,109003,49712,59291,Adilabad.png
1. ALL COMMUNITIES.,1-5,UNMARRIED,102530,47678,54852,Adilabad.png
1. ALL COMMUNITIES.,1-5,MARRIED,6018,1848,4170,Adilabad.png
1. ALL COMMUNITIES.,1-5,WIDOWED,453,185,268,Adilabad.png
1. ALL COMMUNITIES.,1-5,DIVORCED,2,1,1,Adilabad.png
1. ALL COMMUNITIES.,5-10,POPULATION,94692,52525,42167,Adilabad.png
1. ALL COMMUNITIES.,5-10,UNMARRIED,74204,44027,30177,Adilabad.png
1. ALL COMMUNITIES.,5-10,MARRIED,19843,8307,11536,Adilabad.png
1. ALL COMMUNITIES.,5-10,WIDOWED,627,189,438,Adilabad.png
1. ALL COMMUNITIES.,5-10,DIVORCED,18,2,16,Adilabad.png
1. ALL COMMUNITIES.,10-15,POPULATION,84217,44726,39491,Adilabad.png
1. ALL COMMUNITIES.,10-15,UNMARRIED,44364,28456,15908,Adilabad.png
1. ALL COMMUNITIES.,10-15,MARRIED,38502,15948,22554,Adilabad.png
1. ALL COMMUNITIES.,10-15,WIDOWED,1236,293,943,Adilabad.png
1. ALL COMMUNITIES.,10-15,DIVORCED,115,29,86,Adilabad.png
1. ALL COMMUNITIES.,15-20,POPULATION,67686,33046,34640,Adilabad.png
1. ALL COMMUNITIES.,15-20,UNMARRIED,17657,12812,4845,Adilabad.png
1. ALL COMMUNITIES.,15-20,MARRIED,47744,19874,27870,Adilabad.png
1. ALL COMMUNITIES.,15-20,WIDOWED,2018,288,1730,Adilabad.png
1. ALL COMMUNITIES.,15-20,DIVORCED,267,72,195,Adilabad.png
1. ALL COMMUNITIES.,20-30,POPULATION,154493,81404,73089,Adilabad.png
1. ALL COMMUNITIES.,20-30,UNMARRIED,12655,10587,2068,Adilabad.png
1. ALL COMMUNITIES.,20-30,MARRIED,133521,68106,65415,Adilabad.png
1. ALL COMMUNITIES.,20-30,WIDOWED,7356,2296,5060,Adilabad.png
1. ALL COMMUNITIES.,20-30,DIVORCED,961,415,546,Adilabad.png
1. ALL COMMUNITIES.,30-40,POPULATION,110303,58940,51363,Adilabad.png
1. ALL COMMUNITIES.,30-40,UNMARRIED,4649,3693,956,Adilabad.png
1. ALL COMMUNITIES.,30-40,MARRIED,94421,51963,42458,Adilabad.png
1. ALL COMMUNITIES.,30-40,WIDOWED,10172,2875,7297,Adilabad.png
1. ALL COMMUNITIES.,30-40,DIVORCED,1061,409,652,Adilabad.png
1. ALL COMMUNITIES.,40-50,POPULATION,78174,43045,35129,Adilabad.png
1. ALL COMMUNITIES.,40-50,UNMARRIED,2945,2562,383,Adilabad.png
1. ALL COMMUNITIES.,40-50,MARRIED,61729,36328,25401,Adilabad.png
1. ALL COMMUNITIES.,40-50,WIDOWED,12277,3666,8611,Adilabad.png
1. ALL COMMUNITIES.,40-50,DIVORCED,1223,489,734,Adilabad.png
1. ALL COMMUNITIES.,50-60,POPULATION,57438,24718,32720,Adilabad.png
1. ALL COMMUNITIES.,50-60,UNMARRIED,1346,1083,263,Adilabad.png
1. ALL COMMUNITIES.,50-60,MARRIED,35830,19248,16582,Adilabad.png
1. ALL COMMUNITIES.,50-60,WIDOWED,19278,4016,15262,Adilabad.png
1. ALL COMMUNITIES.,50-60,DIVORCED,984,371,613,Adilabad.png
1. ALL COMMUNITIES.,60 & over,POPULATION,38831,15186,23645,Adilabad.png
1. ALL COMMUNITIES.,60 & over,UNMARRIED,818,617,201,Adilabad.png
1. ALL COMMUNITIES.,60 & over,MARRIED,16839,10224,6615,Adilabad.png
1. ALL COMMUNITIES.,60 & over,WIDOWED,20406,4126,16280,Adilabad.png
1. ALL COMMUNITIES.,60 & over,DIVORCED,768,219,549,Adilabad.png
1. ALL COMMUNITIES.,Total,POPULATION,823622,416963,406659,Adilabad.png
1. ALL COMMUNITIES.,Total,UNMARRIED,289648,165049,124599,Adilabad.png
1. ALL COMMUNITIES.,Total,MARRIED,454726,231968,222758,Adilabad.png
1. ALL COMMUNITIES.,Total,WIDOWED,73849,17939,55910,Adilabad.png
1. ALL COMMUNITIES.,Total,DIVORCED,5399,2007,3392,Adilabad.png
2. Brahmanic Hindus.,0-1,POPULATION,519,244,275,Adilabad.png
2. Brahmanic Hindus.,0-1,UNMARRIED,517,243,274,Adilabad.png
2. Brahmanic Hindus.,0-1,MARRIED,2,1,1,Adilabad.png
2. Brahmanic Hindus.,0-1,WIDOWED,0,0,0,Adilabad.png
2. Brahmanic Hindus.,0-1,DIVORCED,0,0,0,Adilabad.png
2. Brahmanic Hindus.,1-5,POPULATION,1886,866,1020,Adilabad.png
2. Brahmanic Hindus.,1-5,UNMARRIED,1857,860,997,Adilabad.png
2. Brahmanic Hindus.,1-5,MARRIED,27,6,21,Adilabad.png
2. Brahmanic Hindus.,1-5,WIDOWED,2,0,2,Adilabad.png
2. Brahmanic Hindus.,1-5,DIVORCED,0,0,0,Adilabad.png
2. Brahmanic Hindus.,5-10,POPULATION,1726,660,1066,Adilabad.png
2. Brahmanic Hindus.,5-10,UNMARRIED,1551,640,911,Adilabad.png
2. Brahmanic Hindus.,5-10,MARRIED,172,20,152,Adilabad.png
2. Brahmanic Hindus.,5-10,WIDOWED,2,0,2,Adilabad.png
2. Brahmanic Hindus.,5-10,DIVORCED,1,0,1,Adilabad.png
2. Brahmanic Hindus.,10-15,POPULATION,1711,599,1112,Adilabad.png
2. Brahmanic Hindus.,10-15,UNMARRIED,1188,516,672,Adilabad.png
2. Brahmanic Hindus.,10-15,MARRIED,515,82,433,Adilabad.png
2. Brahmanic Hindus.,10-15,WIDOWED,7,1,6,Adilabad.png
2. Brahmanic Hindus.,10-15,DIVORCED,1,0,1,Adilabad.png
2. Brahmanic Hindus.,15-20,POPULATION,1265,489,776,Adilabad.png
2. Brahmanic Hindus.,15-20,UNMARRIED,610,349,261,Adilabad.png
2. Brahmanic Hindus.,15-20,MARRIED,639,140,499,Adilabad.png
2. Brahmanic Hindus.,15-20,WIDOWED,16,0,16,Adilabad.png
2. Brahmanic Hindus.,15-20,DIVORCED,0,0,0,Adilabad.png
2. Brahmanic Hindus.,20-30,POPULATION,2497,1373,1124,Adilabad.png
2. Brahmanic Hindus.,20-30,UNMARRIED,238,207,31,Adilabad.png
2. Brahmanic Hindus.,20-30,MARRIED,2155,1155,1000,Adilabad.png
2. Brahmanic Hindus.,20-30,WIDOWED,101,9,92,Adilabad.png
