section,age,group,persons,males,females
1. ALL COMMUNITIES.,0-1,POPULATION,28785,13661,15124
1. ALL COMMUNITIES.,0-1,UNMARRIED,28480,13534,14946
1. ALL COMMUNITIES.,0-1,MARRIED,279,122,157
1. ALL COMMUNITIES.,0-1,WIDOWED,26,5,21
1. ALL COMMUNITIES.,0-1,DIVORCED,0,0,0
1. ALL COMMUNITIES.,1-5,POPULATION,109003,49712,59291
1. ALL COMMUNITIES.,1-5,UNMARRIED,102530,47678,54852
1. ALL COMMUNITIES.,1-5,MARRIED,6018,1848,4170
1. ALL COMMUNITIES.,1-5,WIDOWED,453,185,268
1. ALL COMMUNITIES.,1-5,DIVORCED,2,1,1
1. ALL COMMUNITIES.,5-10,POPULATION,94692,52525,42167
1. ALL COMMUNITIES.,5-10,UNMARRIED,74204,44027,30177
1. ALL COMMUNITIES.,5-10,MARRIED,19843,8307,11536
1. ALL COMMUNITIES.,5-10,WIDOWED,627,189,438
1. ALL COMMUNITIES.,5-10,DIVORCED,18,2,16
1. ALL COMMUNITIES.,10-15,POPULATION,84217,44726,39491
1. ALL COMMUNITIES.,10-15,UNMARRIED,44364,28456,15908
1. ALL COMMUNITIES.,10-15,MARRIED,38502,15948,22554
1. ALL COMMUNITIES.,10-15,WIDOWED,1236,293,943
1. ALL COMMUNITIES.,10-15,DIVORCED,115,29,86
1. ALL COMMUNITIES.,15-20,POPULATION,67686,33046,34640
1. ALL COMMUNITIES.,15-20,UNMARRIED,17657,12812,4845
1. ALL COMMUNITIES.,15-20,MARRIED,47744,19874,27870
1. ALL COMMUNITIES.,15-20,WIDOWED,2018,288,1730
1. ALL COMMUNITIES.,15-20,DIVORCED,267,72,195
1. ALL COMMUNITIES.,20-30,POPULATION,154493,81404,73089
1. ALL COMMUNITIES.,20-30,UNMARRIED,12655,10587,2068
1. ALL COMMUNITIES.,20-30,MARRIED,133521,68106,65415
1. ALL COMMUNITIES.,20-30,WIDOWED,7356,2296,5060
1. ALL COMMUNITIES.,20-30,DIVORCED,961,415,546
1. ALL COMMUNITIES.,30-40,POPULATION,110303,58940,51363
1. ALL COMMUNITIES.,30-40,UNMARRIED,4649,3693,956
1. ALL COMMUNITIES.,30-40,MARRIED,94421,51963,42458
1. ALL COMMUNITIES.,30-40,WIDOWED,10172,2875,7297
1. ALL COMMUNITIES.,30-40,DIVORCED,1061,409,652
1. ALL COMMUNITIES.,40-50,POPULATION,78174,43045,35129
1. ALL COMMUNITIES.,40-50,UNMARRIED,2945,2562,383
1. ALL COMMUNITIES.,40-50,MARRIED,61729,36328,25401
1. ALL COMMUNITIES.,40-50,WIDOWED,12277,3666,8611
