section,age,group,persons,males,females
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,30—34,28473,15991,12482
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,35—39,20094,13377,6717
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,40—44,16083,10913,5170
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,45—49,7716,6067,1649
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,50—54,7530,5793,1737
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,55—59,2261,1872,389
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,60 and over.,6531,5622,909
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,30—34,133682,75510,58172
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,35—39,89195,62058,27137
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,40—44,77825,55462,22363
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,45—49,38286,31332,6954
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,50—54,40345,33260,7085
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,55—59,11486,10283,1203
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,60 and over.,44861,41346,3515
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,30—34,162155,91501,70654
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,35—39,109289,75435,33854
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,40—44,93908,66375,27533
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,45—49,46002,37399,8603
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,50—54,47875,39053,8822
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,55—59,13747,12155,1592
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,60 and over.,51392,46968,4424
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,30—34,29391,16932,12459
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,35—39,21262,14591,6671
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,40—44,19732,13650,6082
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,45—49,8758,6699,2059
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,50—54,10583,8166,2417
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,55—59,3508,2749,759
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,60 and over.,11739,9887,1852
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,30—34,42564,21318,21246
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,35—39,27108,16104,11004
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,40—44,29426,18675,10751
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,45—49,11692,8522,3170
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,50—54,16785,12704,4081
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,55—59,5689,4555,1134
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,60 and over.,11659,9705,1954
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,30—34,24372,12434,11938
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,35—39,16232,9707,6525
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,40—44,15933,10066,5867
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,45—49,6537,4617,1920
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,50—54,8163,6041,2122
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,55—59,2809,2185,624
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,60 and over.,4399,3695,704
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,30—34,22607,10995,11612
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,35—39,15663,8991,6672
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,40—44,16405,9895,6510
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,45—49,7386,4927,2459
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,50—54,9581,6733,2848
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,55—59,3508,2571,937
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,60 and over.,8651,6652,1999
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,30—34,34640,18007,16633
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,35—39,23027,14233,8794
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,40—44,21040,13275,7765
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,45—49,8695,6062,2633
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,50—54,11060,8091,2969
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,55—59,3894,3050,844
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,60 and over.,6143,5179,964
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,30—34,20219,11310,8909
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,35—39,13667,8975,4692
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,40—44,10858,7125,3733
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,45—49,4631,3140,1491
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,50—54,5310,3808,1502
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,55—59,1789,1312,477
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,60 and over.,3047,2470,577
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,30—34,173793,90996,82797
TABLE VIII.—CIVIL CONDITION BY RELIGION AND AGE. PART A.—ALL RELIGIONS—continued. (a) MARRIED.,,35—39,116959,72601,44358
