section,age,group,persons,males,females
All Religions,Total,POPULATION,499661,253975,245686
All Religions,Total,UNMARRIED,198212,119097,79115
All Religions,Total,MARRIED,246108,123332,122776
All Religions,Total,WIDOWED,55341,11546,43795
All Religions,0-1,POPULATION,16433,7759,8674
All Religions,0-1,UNMARRIED,16272,7687,8585
All Religions,0-1,MARRIED,148,72,76
All Religions,0-1,WIDOWED,13,0,13
All Religions,1-5,POPULATION,72365,35697,36668
All Religions,1-5,UNMARRIED,69642,34716,34926
All Religions,1-5,MARRIED,2483,936,1547
All Religions,1-5,WIDOWED,240,45,195
All Religions,5-10,POPULATION,62029,33324,28705
All Religions,5-10,UNMARRIED,51524,30750,20774
All Religions,5-10,MARRIED,10074,2521,7553
All Religions,5-10,WIDOWED,431,53,378
All Religions,10-15,POPULATION,50969,27819,23150
All Religions,10-15,UNMARRIED,34664,23716,10948
All Religions,10-15,MARRIED,15778,4023,11755
All Religions,10-15,WIDOWED,527,80,447
All Religions,15-20,POPULATION,37764,18258,19506
All Religions,15-20,UNMARRIED,12176,10660,1516
All Religions,15-20,MARRIED,24485,7352,17133
All Religions,15-20,WIDOWED,1103,246,857
All Religions,20-30,POPULATION,83291,38033,45258
All Religions,20-30,UNMARRIED,10072,8831,1241
All Religions,20-30,MARRIED,67965,28130,39835
All Religions,20-30,WIDOWED,5254,1072,4182
All Religions,30-40,POPULATION,69649,36458,33191
All Religions,30-40,UNMARRIED,2161,1612,549
All Religions,30-40,MARRIED,58153,33261,24892
All Religions,30-40,WIDOWED,9335,1585,7750
All Religions,40-50,POPULATION,50180,26892,23288
All Religions,40-50,UNMARRIED,904,608,296
All Religions,40-50,MARRIED,36343,23920,12423
All Religions,40-50,WIDOWED,12933,2364,10569
All Religions,50-60,POPULATION,31115,16526,14589
All Religions,50-60,UNMARRIED,494,335,159
All Religions,50-60,MARRIED,18587,13593,4994
All Religions,50-60,WIDOWED,12034,2598,9436
All Religions,60 and over,POPULATION,25866,13209,12657
All Religions,60 and over,UNMARRIED,303,182,121
All Religions,60 and over,MARRIED,12092,9524,2568
All Religions,60 and over,WIDOWED,13471,3503,9968
Hindu (Brahmanic),Total,POPULATION,333919,169509,164410
Hindu (Brahmanic),Total,UNMARRIED,132125,80537,51588
Hindu (Brahmanic),Total,MARRIED,162423,80802,81621
Hindu (Brahmanic),Total,WIDOWED,39371,8170,31201
Hindu (Brahmanic),0-1,POPULATION,10659,5071,5588
Hindu (Brahmanic),0-1,UNMARRIED,10585,5009,5576
Hindu (Brahmanic),0-1,MARRIED,69,62,7
Hindu (Brahmanic),0-1,WIDOWED,5,0,5
Hindu (Brahmanic),1-5,POPULATION,47535,23888,23647
Hindu (Brahmanic),1-5,UNMARRIED,45790,23210,22580
Hindu (Brahmanic),1-5,MARRIED,1624,666,958
Hindu (Brahmanic),1-5,WIDOWED,121,12,109
Hindu (Brahmanic),5-10,POPULATION,42644,23125,19519
Hindu (Brahmanic),5-10,UNMARRIED,35657,21405,14252
Hindu (Brahmanic),5-10,MARRIED,6666,1678,4988
Hindu (Brahmanic),5-10,WIDOWED,321,42,279
Hindu (Brahmanic),10-15,POPULATION,34734,19253,15481
Hindu (Brahmanic),10-15,UNMARRIED,23742,16635,7107
Hindu (Brahmanic),10-15,MARRIED,10595,2555,8040
Hindu (Brahmanic),10-15,WIDOWED,397,63,334
Hindu (Brahmanic),15-20,POPULATION,24333,12208,12125
Hindu (Brahmanic),15-20,UNMARRIED,7702,7032,670
Hindu (Brahmanic),15-20,MARRIED,15803,4983,10820
Hindu (Brahmanic),15-20,WIDOWED,828,193,635
Hindu (Brahmanic),20-30,POPULATION,53857,23515,30342
Hindu (Brahmanic),20-30,UNMARRIED,6318,5638,680
Hindu (Brahmanic),20-30,MARRIED,43674,17059,26615
Hindu (Brahmanic),20-30,WIDOWED,3865,818,3047
Hindu (Brahmanic),30-40,POPULATION,46940,24148,22792
Hindu (Brahmanic),30-40,UNMARRIED,1241,880,361
Hindu (Brahmanic),30-40,MARRIED,39126,22157,16969
Hindu (Brahmanic),30-40,WIDOWED,6573,1111,5462
Hindu (Brahmanic),40-50,POPULATION,34463,18526,15937
Hindu (Brahmanic),40-50,UNMARRIED,583,402,181
Hindu (Brahmanic),40-50,MARRIED,24647,16437,8210
Hindu (Brahmanic),40-50,WIDOWED,9233,1687,7546
Hindu (Brahmanic),50-60,POPULATION,21239,11118,10121
Hindu (Brahmanic),50-60,UNMARRIED,320,217,103
Hindu (Brahmanic),50-60,MARRIED,12294,9006,3288
Hindu (Brahmanic),50-60,WIDOWED,8625,1895,6730
Hindu (Brahmanic),60 and over,POPULATION,17515,8657,8858
Hindu (Brahmanic),60 and over,UNMARRIED,187,109,78
Hindu (Brahmanic),60 and over,MARRIED,7925,6199,1726
Hindu (Brahmanic),60 and over,WIDOWED,9403,2349,7054
Adi Hindu,Total,POPULATION,98366,50243,48123
Adi Hindu,Total,UNMARRIED,41056,24266,16790
Adi Hindu,Total,MARRIED,47713,23853,23860
Adi Hindu,Total,WIDOWED,9597,2124,7473
Adi Hindu,0-1,POPULATION,3475,1687,1788
Adi Hindu,0-1,UNMARRIED,3451,1680,1771
Adi Hindu,0-1,MARRIED,18,7,11
Adi Hindu,0-1,WIDOWED,6,0,6
Adi Hindu,1-5,POPULATION,15913,7484,8429
Adi Hindu,1-5,UNMARRIED,15412,7336,8076
Adi Hindu,1-5,MARRIED,444,146,298
Adi Hindu,1-5,WIDOWED,57,2,55
Adi Hindu,5-10,POPULATION,13164,6886,6278
Adi Hindu,5-10,UNMARRIED,10809,6467,4342
Adi Hindu,5-10,MARRIED,2292,411,1881
Adi Hindu,5-10,WIDOWED,63,8,55
Adi Hindu,10-15,POPULATION,10158,5862,4296
Adi Hindu,10-15,UNMARRIED,6990,5012,1978
Adi Hindu,10-15,MARRIED,3093,842,2251
Adi Hindu,10-15,WIDOWED,75,8,67
Adi Hindu,15-20,POPULATION,7030,3220,3810
Adi Hindu,15-20,UNMARRIED,2172,2016,156
Adi Hindu,15-20,MARRIED,4689,1174,3515
Adi Hindu,15-20,WIDOWED,169,30,139
Adi Hindu,20-30,POPULATION,15858,7499,8359
Adi Hindu,20-30,UNMARRIED,1547,1332,215
Adi Hindu,20-30,MARRIED,13437,6002,7435
Adi Hindu,20-30,WIDOWED,874,165,709
Adi Hindu,30-40,POPULATION,13225,7241,5984
Adi Hindu,30-40,UNMARRIED,344,218,126
Adi Hindu,30-40,MARRIED,11152,6720,4432
Adi Hindu,30-40,WIDOWED,1729,303,1426
Adi Hindu,40-50,POPULATION,8958,4517,4441
Adi Hindu,40-50,UNMARRIED,172,105,67
Adi Hindu,40-50,MARRIED,6568,3984,2584
Adi Hindu,40-50,WIDOWED,2218,428,1790
Adi Hindu,50-60,POPULATION,5811,3213,2598
Adi Hindu,50-60,UNMARRIED,102,69,33
Adi Hindu,50-60,MARRIED,3684,2682,1002
Adi Hindu,50-60,WIDOWED,2025,462,1563
Adi Hindu,60 and over,POPULATION,4774,2634,2140
Adi Hindu,60 and over,UNMARRIED,57,31,26
Adi Hindu,60 and over,MARRIED,2336,1885,451
Adi Hindu,60 and over,WIDOWED,2381,718,1663
