section,age,group,persons,males,females
1. ALL COMMUNITIES.,0-1,POPULATION,21187.0,9627.0,11560.0
1. ALL COMMUNITIES.,0-1,UNMARRIED,21152.0,9613.0,11539.0
1. ALL COMMUNITIES.,0-1,MARRIED,31.0,14.0,17.0
1. ALL COMMUNITIES.,0-1,WIDOWED,4.0,0.0,4.0
1. ALL COMMUNITIES.,0-1,DIVORCED,0.0,0.0,0.0
1. ALL COMMUNITIES.,1-5,POPULATION,81447.0,40093.0,41354.0
1. ALL COMMUNITIES.,1-5,UNMARRIED,81129.0,39947.0,41182.0
1. ALL COMMUNITIES.,1-5,MARRIED,247.0,136.0,111.0
1. ALL COMMUNITIES.,1-5,WIDOWED,69.0,8.0,61.0
1. ALL COMMUNITIES.,1-5,DIVORCED,2.0,2.0,0.0
1. ALL COMMUNITIES.,5-10,POPULATION,65477.0,36181.0,29296.0
1. ALL COMMUNITIES.,5-10,UNMARRIED,60934.0,34791.0,26143.0
1. ALL COMMUNITIES.,5-10,MARRIED,4248.0,1349.0,2899.0
1. ALL COMMUNITIES.,5-10,WIDOWED,290.0,37.0,253.0
1. ALL COMMUNITIES.,5-10,DIVORCED,5.0,4.0,1.0
1. ALL COMMUNITIES.,10-15,POPULATION,57220.0,31357.0,25863.0
1. ALL COMMUNITIES.,10-15,UNMARRIED,45379.0,27993.0,17386.0
1. ALL COMMUNITIES.,10-15,MARRIED,11088.0,3310.0,7778.0
1. ALL COMMUNITIES.,10-15,WIDOWED,737.0,48.0,689.0
1. ALL COMMUNITIES.,10-15,DIVORCED,16.0,6.0,10.0
1. ALL COMMUNITIES.,15-20,POPULATION,50830.0,27638.0,23192.0
1. ALL COMMUNITIES.,15-20,UNMARRIED,20370.0,15490.0,4880.0
1. ALL COMMUNITIES.,15-20,MARRIED,28608.0,11787.0,16821.0
1. ALL COMMUNITIES.,15-20,WIDOWED,1716.0,326.0,1390.0
1. ALL COMMUNITIES.,15-20,DIVORCED,136.0,35.0,101.0
1. ALL COMMUNITIES.,20-30,POPULATION,103801.0,51354.0,52447.0
1. ALL COMMUNITIES.,20-30,UNMARRIED,15763.0,13488.0,2275.0
1. ALL COMMUNITIES.,20-30,MARRIED,81111.0,36685.0,44426.0
1. ALL COMMUNITIES.,20-30,WIDOWED,6472.0,1067.0,5405.0
1. ALL COMMUNITIES.,20-30,DIVORCED,555.0,114.0,441.0
1. ALL COMMUNITIES.,30-40,POPULATION,82939.0,41794.0,41145.0
1. ALL COMMUNITIES.,30-40,UNMARRIED,3792.0,2961.0,831.0
1. ALL COMMUNITIES.,30-40,MARRIED,68147.0,36663.0,31484.0
1. ALL COMMUNITIES.,30-40,WIDOWED,10397.0,1923.0,8474.0
1. ALL COMMUNITIES.,30-40,DIVORCED,503.0,247.0,256.0
1. ALL COMMUNITIES.,40-50,POPULATION,67041.0,32728.0,34313.0
1. ALL COMMUNITIES.,40-50,UNMARRIED,1203.0,905.0,298.0
1. ALL COMMUNITIES.,40-50,MARRIED,50285.0,29049.0,21236.0
1. ALL COMMUNITIES.,40-50,WIDOWED,14948.0,2531.0,12417.0
1. ALL COMMUNITIES.,40-50,DIVORCED,605.0,243.0,362.0
1. ALL COMMUNITIES.,50-60,POPULATION,45418.0,21097.0,24321.0
1. ALL COMMUNITIES.,50-60,UNMARRIED,798.0,644.0,154.0
1. ALL COMMUNITIES.,50-60,MARRIED,30602.0,17574.0,13028.0
1. ALL COMMUNITIES.,50-60,WIDOWED,13554.0,2662.0,10892.0
1. ALL COMMUNITIES.,50-60,DIVORCED,464.0,217.0,247.0
1. ALL COMMUNITIES.,60 & over,POPULATION,37133.0,17625.0,19508.0
1. ALL COMMUNITIES.,60 & over,UNMARRIED,436.0,324.0,112.0
1. ALL COMMUNITIES.,60 & over,MARRIED,19664.0,12456.0,7208.0
1. ALL COMMUNITIES.,60 & over,WIDOWED,16531.0,4558.0,11973.0
1. ALL COMMUNITIES.,60 & over,DIVORCED,502.0,287.0,215.0
1. ALL COMMUNITIES.,Total,POPULATION,612493.0,309494.0,302999.0
1. ALL COMMUNITIES.,Total,UNMARRIED,250956.0,146156.0,104800.0
1. ALL COMMUNITIES.,Total,MARRIED,294031.0,149023.0,145008.0
1. ALL COMMUNITIES.,Total,WIDOWED,64718.0,13160.0,51558.0
1. ALL COMMUNITIES.,Total,DIVORCED,2788.0,1155.0,1633.0
2. Brahmanic Hindus.,0-1,POPULATION,387.0,146.0,241.0
2. Brahmanic Hindus.,0-1,UNMARRIED,387.0,146.0,241.0
2. Brahmanic Hindus.,0-1,MARRIED,0.0,0.0,0.0
2. Brahmanic Hindus.,0-1,WIDOWED,0.0,0.0,0.0
2. Brahmanic Hindus.,0-1,DIVORCED,0.0,0.0,0.0
2. Brahmanic Hindus.,1-5,POPULATION,1583.0,578.0,1005.0
2. Brahmanic Hindus.,1-5,UNMARRIED,1578.0,578.0,1000.0
2. Brahmanic Hindus.,1-5,MARRIED,5.0,0.0,5.0
2. Brahmanic Hindus.,1-5,WIDOWED,0.0,0.0,0.0
2. Brahmanic Hindus.,1-5,DIVORCED,0.0,0.0,0.0
2. Brahmanic Hindus.,5-10,POPULATION,1255.0,576.0,679.0
2. Brahmanic Hindus.,5-10,UNMARRIED,1202.0,558.0,644.0
2. Brahmanic Hindus.,5-10,MARRIED,53.0,18.0,35.0
2. Brahmanic Hindus.,5-10,WIDOWED,0.0,0.0,0.0
2. Brahmanic Hindus.,5-10,DIVORCED,0.0,0.0,0.0
2. Brahmanic Hindus.,10-15,POPULATION,1691.0,622.0,1069.0
2. Brahmanic Hindus.,10-15,UNMARRIED,1314.0,556.0,758.0
2. Brahmanic Hindus.,10-15,MARRIED,377.0,66.0,311.0
2. Brahmanic Hindus.,10-15,WIDOWED,0.0,0.0,0.0
2. Brahmanic Hindus.,10-15,DIVORCED,0.0,0.0,0.0
2. Brahmanic Hindus.,15-20,POPULATION,1518.0,963.0,555.0
2. Brahmanic Hindus.,15-20,UNMARRIED,778.0,611.0,167.0
2. Brahmanic Hindus.,15-20,MARRIED,726.0,352.0,374.0
2. Brahmanic Hindus.,15-20,WIDOWED,14.0,0.0,14.0
2. Brahmanic Hindus.,15-20,DIVORCED,0.0,0.0,0.0
2. Brahmanic Hindus.,20-30,POPULATION,2196.0,1329.0,867.0
2. Brahmanic Hindus.,20-30,UNMARRIED,542.0,520.0,22.0
2. Brahmanic Hindus.,20-30,MARRIED,1619.0,806.0,813.0
2. Brahmanic Hindus.,20-30,WIDOWED,35.0,3.0,32.0
2. Brahmanic Hindus.,20-30,DIVORCED,0.0,0.0,0.0
2. Brahmanic Hindus.,30-40,POPULATION,1826.0,1060.0,766.0
2. Brahmanic Hindus.,30-40,UNMARRIED,138.0,138.0,0.0
2. Brahmanic Hindus.,30-40,MARRIED,1623.0,920.0,703.0
2. Brahmanic Hindus.,30-40,WIDOWED,65.0,2.0,63.0
2. Brahmanic Hindus.,30-40,DIVORCED,0.0,0.0,0.0
2. Brahmanic Hindus.,40-50,POPULATION,1535.0,782.0,753.0
2. Brahmanic Hindus.,40-50,UNMARRIED,35.0,35.0,0.0
2. Brahmanic Hindus.,40-50,MARRIED,1414.0,741.0,673.0
2. Brahmanic Hindus.,40-50,WIDOWED,86.0,6.0,80.0
2. Brahmanic Hindus.,40-50,DIVORCED,0.0,0.0,0.0
2. Brahmanic Hindus.,50-60,POPULATION,1322.0,610.0,712.0
2. Brahmanic Hindus.,50-60,UNMARRIED,5.0,5.0,0.0
2. Brahmanic Hindus.,50-60,MARRIED,1228.0,593.0,635.0
2. Brahmanic Hindus.,50-60,WIDOWED,89.0,12.0,77.0
2. Brahmanic Hindus.,50-60,DIVORCED,0.0,0.0,0.0
2. Brahmanic Hindus.,60 & over,POPULATION,671.0,275.0,396.0
2. Brahmanic Hindus.,60 & over,UNMARRIED,0.0,0.0,0.0
2. Brahmanic Hindus.,60 & over,MARRIED,583.0,266.0,317.0
2. Brahmanic Hindus.,60 & over,WIDOWED,88.0,9.0,79.0
2. Brahmanic Hindus.,60 & over,DIVORCED,0.0,0.0,0.0
2. Brahmanic Hindus.,Total,POPULATION,13984.0,6941.0,7043.0
2. Brahmanic Hindus.,Total,UNMARRIED,5979.0,3147.0,2832.0
2. Brahmanic Hindus.,Total,MARRIED,7628.0,3762.0,3866.0
2. Brahmanic Hindus.,Total,WIDOWED,377.0,32.0,345.0
2. Brahmanic Hindus.,Total,DIVORCED,0.0,0.0,0.0
3. Other Hindus.,Total,POPULATION,353795.0,178536.0,175259.0
3. Other Hindus.,Total,UNMARRIED,142933.0,83845.0,59088.0
3. Other Hindus.,Total,MARRIED,167527.0,85243.0,82284.0
3. Other Hindus.,Total,WIDOWED,41645.0,8738.0,32907.0
3. Other Hindus.,Total,DIVORCED,1690.0,710.0,980.0
3. Other Hindus.,0-1,POPULATION,12076.0,5397.0,6679.0
3. Other Hindus.,0-1,UNMARRIED,12067.0,5391.0,6676.0
3. Other Hindus.,0-1,MARRIED,9.0,6.0,3.0
3. Other Hindus.,0-1,WIDOWED,0.0,0.0,0.0
3. Other Hindus.,0-1,DIVORCED,0.0,0.0,0.0
3. Other Hindus.,1-5,POPULATION,44581.0,21098.0,23483.0
3. Other Hindus.,1-5,UNMARRIED,44411.0,21003.0,23408.0
3. Other Hindus.,1-5,MARRIED,137.0,92.0,45.0
3. Other Hindus.,1-5,WIDOWED,31.0,1.0,30.0
3. Other Hindus.,1-5,DIVORCED,2.0,2.0,0.0
3. Other Hindus.,5-10,POPULATION,42623.0,23768.0,18855.0
3. Other Hindus.,5-10,UNMARRIED,39348.0,22944.0,16404.0
3. Other Hindus.,5-10,MARRIED,3102.0,806.0,2296.0
3. Other Hindus.,5-10,WIDOWED,169.0,14.0,155.0
3. Other Hindus.,5-10,DIVORCED,4.0,4.0,0.0
3. Other Hindus.,10-15,POPULATION,33926.0,19618.0,14308.0
3. Other Hindus.,10-15,UNMARRIED,27301.0,17510.0,9791.0
3. Other Hindus.,10-15,MARRIED,6229.0,2083.0,4146.0
3. Other Hindus.,10-15,WIDOWED,387.0,22.0,365.0
3. Other Hindus.,10-15,DIVORCED,9.0,3.0,6.0
3. Other Hindus.,15-20,POPULATION,25021.0,14874.0,10147.0
3. Other Hindus.,15-20,UNMARRIED,9032.0,8123.0,909.0
3. Other Hindus.,15-20,MARRIED,14939.0,6485.0,8454.0
3. Other Hindus.,15-20,WIDOWED,967.0,235.0,732.0
3. Other Hindus.,15-20,DIVORCED,83.0,31.0,52.0
3. Other Hindus.,20-30,POPULATION,59449.0,26928.0,32521.0
3. Other Hindus.,20-30,UNMARRIED,7863.0,6877.0,986.0
3. Other Hindus.,20-30,MARRIED,47028.0,19276.0,27752.0
3. Other Hindus.,20-30,WIDOWED,4321.0,710.0,3611.0
3. Other Hindus.,20-30,DIVORCED,237.0,65.0,172.0
3. Other Hindus.,30-40,POPULATION,47599.0,24252.0,23347.0
3. Other Hindus.,30-40,UNMARRIED,1516.0,1002.0,514.0
3. Other Hindus.,30-40,MARRIED,39163.0,21808.0,17355.0
3. Other Hindus.,30-40,WIDOWED,6536.0,1281.0,5255.0
3. Other Hindus.,30-40,DIVORCED,384.0,161.0,223.0
3. Other Hindus.,40-50,POPULATION,,,
3. Other Hindus.,40-50,UNMARRIED,,,
3. Other Hindus.,40-50,MARRIED,,,
3. Other Hindus.,40-50,WIDOWED,,,
3. Other Hindus.,40-50,DIVORCED,,,
3. Other Hindus.,50-60,POPULATION,,,
3. Other Hindus.,50-60,UNMARRIED,,,
3. Other Hindus.,50-60,MARRIED,,,
3. Other Hindus.,50-60,WIDOWED,,,
3. Other Hindus.,50-60,DIVORCED,,,
3. Other Hindus.,60 & over,POPULATION,,,
3. Other Hindus.,60 & over,UNMARRIED,,,
3. Other Hindus.,60 & over,MARRIED,,,
3. Other Hindus.,60 & over,WIDOWED,,,
3. Other Hindus.,60 & over,DIVORCED,,,
