section,age,group,persons,males,females
All Religions,0-1,POPULATION,28555,13941,14614
All Religions,0-1,UNMARRIED,27813,13632,14181
All Religions,0-1,MARRIED,713,306,407
All Religions,0-1,WIDOWED,29,3,26
All Religions,1-5,POPULATION,126367,64182,62185
All Religions,1-5,UNMARRIED,115759,59052,56707
All Religions,1-5,MARRIED,10474,5081,5393
All Religions,1-5,WIDOWED,134,49,85
All Religions,5-10,POPULATION,120491,62636,57855
All Religions,5-10,UNMARRIED,88021,49922,38099
All Religions,5-10,MARRIED,31911,12517,19394
All Religions,5-10,WIDOWED,559,197,362
All Religions,10-15,POPULATION,106672,54727,51945
All Religions,10-15,UNMARRIED,58521,37127,21394
All Religions,10-15,MARRIED,47135,17302,29833
All Religions,10-15,WIDOWED,1016,298,718
All Religions,15-20,POPULATION,87004,41359,45645
All Religions,15-20,UNMARRIED,18697,15027,3670
All Religions,15-20,MARRIED,66556,25943,40613
All Religions,15-20,WIDOWED,1751,389,1362
All Religions,20-30,POPULATION,171411,85906,85505
All Religions,20-30,UNMARRIED,17829,13965,3864
All Religions,20-30,MARRIED,146845,70129,76716
All Religions,20-30,WIDOWED,6737,1812,4925
All Religions,30-40,POPULATION,127118,66141,60977
All Religions,30-40,UNMARRIED,4542,3185,1357
All Religions,30-40,MARRIED,108674,59451,49223
All Religions,30-40,WIDOWED,13902,3505,10397
All Religions,40-50,POPULATION,86284,45686,40598
All Religions,40-50,UNMARRIED,2468,1445,1023
All Religions,40-50,MARRIED,64465,39478,24987
All Religions,40-50,WIDOWED,19351,4763,14588
All Religions,50-60,POPULATION,52714,27162,25552
All Religions,50-60,UNMARRIED,955,600,355
All Religions,50-60,MARRIED,33827,22361,11466
All Religions,50-60,WIDOWED,17932,4201,13731
All Religions,60 and over,POPULATION,38177,18758,19419
All Religions,60 and over,UNMARRIED,970,624,346
All Religions,60 and over,MARRIED,20471,14086,6385
All Religions,60 and over,WIDOWED,16736,4048,12688
All Religions,Total,POPULATION,944793,480498,464295
All Religions,Total,UNMARRIED,335575,194579,140996
All Religions,Total,MARRIED,531071,266654,264417
All Religions,Total,WIDOWED,78147,19265,58882
Hindu (Brahmanic),0-1,POPULATION,19199,9420,9779
Hindu (Brahmanic),0-1,UNMARRIED,18701,9193,9508
Hindu (Brahmanic),0-1,MARRIED,471,225,246
Hindu (Brahmanic),0-1,WIDOWED,27,2,25
Hindu (Brahmanic),1-5,POPULATION,83903,43090,40813
Hindu (Brahmanic),1-5,UNMARRIED,76860,39846,37014
Hindu (Brahmanic),1-5,MARRIED,6956,3218,3738
Hindu (Brahmanic),1-5,WIDOWED,87,26,61
Hindu (Brahmanic),5-10,POPULATION,80346,41519,38827
Hindu (Brahmanic),5-10,UNMARRIED,56677,32800,23877
Hindu (Brahmanic),5-10,MARRIED,23241,8570,14671
Hindu (Brahmanic),5-10,WIDOWED,428,149,279
Hindu (Brahmanic),10-15,POPULATION,71054,36795,34259
Hindu (Brahmanic),10-15,UNMARRIED,37353,24833,12520
Hindu (Brahmanic),10-15,MARRIED,32878,11718,21160
Hindu (Brahmanic),10-15,WIDOWED,823,244,579
Hindu (Brahmanic),15-20,POPULATION,58810,27681,31129
Hindu (Brahmanic),15-20,UNMARRIED,11490,9538,1952
Hindu (Brahmanic),15-20,MARRIED,46054,17843,28211
Hindu (Brahmanic),15-20,WIDOWED,1266,300,966
Hindu (Brahmanic),20-30,POPULATION,118152,59347,58805
Hindu (Brahmanic),20-30,UNMARRIED,11474,8983,2491
Hindu (Brahmanic),20-30,MARRIED,101614,49073,52541
Hindu (Brahmanic),20-30,WIDOWED,5064,1291,3773
Hindu (Brahmanic),30-40,POPULATION,87099,44706,42393
Hindu (Brahmanic),30-40,UNMARRIED,2803,1800,1003
Hindu (Brahmanic),30-40,MARRIED,74328,40583,33745
Hindu (Brahmanic),30-40,WIDOWED,9968,2323,7645
Hindu (Brahmanic),40-50,POPULATION,60234,31554,28680
Hindu (Brahmanic),40-50,UNMARRIED,1575,900,675
Hindu (Brahmanic),40-50,MARRIED,44476,27068,17408
Hindu (Brahmanic),40-50,WIDOWED,14183,3586,10597
Hindu (Brahmanic),50-60,POPULATION,36835,18510,18325
Hindu (Brahmanic),50-60,UNMARRIED,608,378,230
Hindu (Brahmanic),50-60,MARRIED,23338,15075,8263
Hindu (Brahmanic),50-60,WIDOWED,12889,3057,9832
Hindu (Brahmanic),60 and over,POPULATION,25582,12635,12947
Hindu (Brahmanic),60 and over,UNMARRIED,543,424,119
Hindu (Brahmanic),60 and over,MARRIED,13143,9247,3896
Hindu (Brahmanic),60 and over,WIDOWED,11896,2964,8932
Hindu (Brahmanic),Total,POPULATION,641214,325257,315957
Hindu (Brahmanic),Total,UNMARRIED,218084,128695,89389
Hindu (Brahmanic),Total,MARRIED,366499,182620,183879
Hindu (Brahmanic),Total,WIDOWED,56631,13942,42689
Adi Hindu,Total,POPULATION,140336,70323,70013
Adi Hindu,Total,UNMARRIED,49538,26560,22978
Adi Hindu,Total,MARRIED,81177,41299,39878
Adi Hindu,Total,WIDOWED,9621,2464,7157
Adi Hindu,0-1,POPULATION,4507,2205,2302
Adi Hindu,0-1,UNMARRIED,4360,2172,2188
Adi Hindu,0-1,MARRIED,146,32,114
Adi Hindu,0-1,WIDOWED,1,1,0
Adi Hindu,1-5,POPULATION,20120,10056,10064
Adi Hindu,1-5,UNMARRIED,18625,9314,9311
Adi Hindu,1-5,MARRIED,1472,727,745
Adi Hindu,1-5,WIDOWED,23,15,8
Adi Hindu,5-10,POPULATION,17600,8768,8832
Adi Hindu,5-10,UNMARRIED,13532,7246,6286
Adi Hindu,5-10,MARRIED,3991,1492,2499
Adi Hindu,5-10,WIDOWED,77,30,47
Adi Hindu,10-15,POPULATION,15906,7676,8230
Adi Hindu,10-15,UNMARRIED,8359,5000,3359
Adi Hindu,10-15,MARRIED,7450,2648,4802
Adi Hindu,10-15,WIDOWED,97,28,69
Adi Hindu,15-20,POPULATION,12344,5511,6833
Adi Hindu,15-20,UNMARRIED,2186,1464,722
Adi Hindu,15-20,MARRIED,10000,4007,5993
Adi Hindu,15-20,WIDOWED,158,40,118
Adi Hindu,20-30,POPULATION,24218,12116,12102
Adi Hindu,20-30,UNMARRIED,1524,831,693
Adi Hindu,20-30,MARRIED,21944,11066,10878
Adi Hindu,20-30,WIDOWED,750,219,531
Adi Hindu,30-40,POPULATION,19428,10186,9242
Adi Hindu,30-40,UNMARRIED,377,237,140
Adi Hindu,30-40,MARRIED,17089,9347,7742
Adi Hindu,30-40,WIDOWED,1962,602,1360
Adi Hindu,40-50,POPULATION,12995,6830,6165
Adi Hindu,40-50,UNMARRIED,334,181,153
Adi Hindu,40-50,MARRIED,10167,6044,4123
Adi Hindu,40-50,WIDOWED,2494,605,1889
Adi Hindu,50-60,POPULATION,7684,4102,3582
Adi Hindu,50-60,UNMARRIED,120,45,75
Adi Hindu,50-60,MARRIED,5387,3526,1861
Adi Hindu,50-60,WIDOWED,2177,531,1646
Adi Hindu,60 and over,POPULATION,5534,2873,2661
Adi Hindu,60 and over,UNMARRIED,121,70,51
Adi Hindu,60 and over,MARRIED,3531,2410,1121
Adi Hindu,60 and over,WIDOWED,1882,393,1489
Muslim,Total,POPULATION,124441,65065,59376
Muslim,Total,UNMARRIED,52487,30642,21845
Muslim,Total,MARRIED,62642,32216,30426
Muslim,Total,WIDOWED,9312,2207,7105
Muslim,0-1,POPULATION,3602,1755,1847
Muslim,0-1,UNMARRIED,3540,1722,1818
Muslim,0-1,MARRIED,61,33,28
Muslim,0-1,WIDOWED,1,0,1
Muslim,1-5,POPULATION,16402,8431,7971
Muslim,1-5,UNMARRIED,14972,7586,7386
Muslim,1-5,MARRIED,1415,842,573
Muslim,1-5,WIDOWED,15,3,12
Muslim,5-10,POPULATION,17219,9462,7757
Muslim,5-10,UNMARRIED,13688,7450,6238
Muslim,5-10,MARRIED,3497,2001,1496
Muslim,5-10,WIDOWED,34,11,23
Muslim,10-15,POPULATION,15214,7845,7369
Muslim,10-15,UNMARRIED,10256,5636,4620
Muslim,10-15,MARRIED,4883,2191,2692
Muslim,10-15,WIDOWED,75,18,57
Muslim,15-20,POPULATION,12225,6345,5880
Muslim,15-20,UNMARRIED,4122,3281,841
Muslim,15-20,MARRIED,7827,3029,4798
Muslim,15-20,WIDOWED,276,35,241
Muslim,20-30,POPULATION,22214,10897,11317
Muslim,20-30,UNMARRIED,3984,3467,517
Muslim,20-30,MARRIED,17511,7182,10329
Muslim,20-30,WIDOWED,719,248,471
Muslim,30-40,POPULATION,15612,8564,7048
Muslim,30-40,UNMARRIED,1127,949,178
Muslim,30-40,MARRIED,12924,7173,5751
Muslim,30-40,WIDOWED,1561,442,1119
Muslim,40-50,POPULATION,9977,5670,4307
Muslim,40-50,UNMARRIED,371,292,79
Muslim,40-50,MARRIED,7519,4929,2590
Muslim,40-50,WIDOWED,2087,449,1638
Muslim,50-60,POPULATION,6352,3535,2817
Muslim,50-60,UNMARRIED,187,144,43
Muslim,50-60,MARRIED,3957,2942,1015
Muslim,50-60,WIDOWED,2208,449,1759
Muslim,60 and over,POPULATION,5624,2561,3063
Muslim,60 and over,UNMARRIED,240,115,125
Muslim,60 and over,MARRIED,3048,1894,1154
Muslim,60 and over,WIDOWED,2336,552,1784
