section,age,group,persons,males,females
1. ALL COMMUNITIES.,0-1,POPULATION,1569,754,815
1. ALL COMMUNITIES.,0-1,UNMARRIED,1558,754,804
1. ALL COMMUNITIES.,0-1,MARRIED,11,0,11
1. ALL COMMUNITIES.,0-1,WIDOWED,0,0,0
1. ALL COMMUNITIES.,0-1,DIVORCED,0,0,0
1. ALL COMMUNITIES.,1-5,POPULATION,6157,2527,3630
1. ALL COMMUNITIES.,1-5,UNMARRIED,5951,2499,3452
1. ALL COMMUNITIES.,1-5,MARRIED,199,28,171
1. ALL COMMUNITIES.,1-5,WIDOWED,7,0,7
1. ALL COMMUNITIES.,1-5,DIVORCED,0,0,0
1. ALL COMMUNITIES.,5-10,POPULATION,8432,3451,4981
1. ALL COMMUNITIES.,5-10,UNMARRIED,7375,3310,4065
1. ALL COMMUNITIES.,5-10,MARRIED,1040,141,899
1. ALL COMMUNITIES.,5-10,WIDOWED,17,0,17
1. ALL COMMUNITIES.,5-10,DIVORCED,0,0,0
1. ALL COMMUNITIES.,10-15,POPULATION,10547,4815,5732
1. ALL COMMUNITIES.,10-15,UNMARRIED,7315,3987,3328
1. ALL COMMUNITIES.,10-15,MARRIED,3106,825,2281
1. ALL COMMUNITIES.,10-15,WIDOWED,126,3,123
1. ALL COMMUNITIES.,10-15,DIVORCED,0,0,0
1. ALL COMMUNITIES.,15-20,POPULATION,11732,6316,5416
1. ALL COMMUNITIES.,15-20,UNMARRIED,6328,4749,1579
1. ALL COMMUNITIES.,15-20,MARRIED,5198,1554,3644
1. ALL COMMUNITIES.,15-20,WIDOWED,206,13,193
1. ALL COMMUNITIES.,15-20,DIVORCED,0,0,0
1. ALL COMMUNITIES.,20-30,POPULATION,18215,10495,7720
1. ALL COMMUNITIES.,20-30,UNMARRIED,4259,3860,399
1. ALL COMMUNITIES.,20-30,MARRIED,13111,6418,6693
1. ALL COMMUNITIES.,20-30,WIDOWED,831,207,624
1. ALL COMMUNITIES.,20-30,DIVORCED,14,10,4
1. ALL COMMUNITIES.,30-40,POPULATION,13354,6490,6864
1. ALL COMMUNITIES.,30-40,UNMARRIED,375,300,75
1. ALL COMMUNITIES.,30-40,MARRIED,11717,5840,5877
1. ALL COMMUNITIES.,30-40,WIDOWED,1213,336,877
1. ALL COMMUNITIES.,30-40,DIVORCED,49,14,35
1. ALL COMMUNITIES.,40-50,POPULATION,10955,5834,5121
1. ALL COMMUNITIES.,40-50,UNMARRIED,263,216,47
1. ALL COMMUNITIES.,40-50,MARRIED,9363,5339,4024
1. ALL COMMUNITIES.,40-50,WIDOWED,1271,268,1003
1. ALL COMMUNITIES.,40-50,DIVORCED,58,11,47
1. ALL COMMUNITIES.,50-60,POPULATION,6375,3737,2638
1. ALL COMMUNITIES.,50-60,UNMARRIED,120,104,16
1. ALL COMMUNITIES.,50-60,MARRIED,5219,3407,1812
1. ALL COMMUNITIES.,50-60,WIDOWED,950,215,735
1. ALL COMMUNITIES.,50-60,DIVORCED,86,11,75
1. ALL COMMUNITIES.,60 & over,POPULATION,3079,1624,1455
1. ALL COMMUNITIES.,60 & over,UNMARRIED,54,54,0
1. ALL COMMUNITIES.,60 & over,MARRIED,2228,1371,857
1. ALL COMMUNITIES.,60 & over,WIDOWED,751,189,562
1. ALL COMMUNITIES.,60 & over,DIVORCED,46,10,36
1. ALL COMMUNITIES.,Total,POPULATION,90415,46043,44372
1. ALL COMMUNITIES.,Total,UNMARRIED,33598,19833,13765
1. ALL COMMUNITIES.,Total,MARRIED,51192,24923,26269
1. ALL COMMUNITIES.,Total,WIDOWED,5372,1231,4141
1. ALL COMMUNITIES.,Total,DIVORCED,253,56,197
2. Brahmanic Hindus.,Total,POPULATION,1381,683,698
2. Brahmanic Hindus.,Total,UNMARRIED,529,275,254
2. Brahmanic Hindus.,Total,MARRIED,794,395,399
2. Brahmanic Hindus.,Total,WIDOWED,58,13,45
2. Brahmanic Hindus.,Total,DIVORCED,0,0,0
2. Brahmanic Hindus.,0-1,POPULATION,28,11,17
2. Brahmanic Hindus.,0-1,UNMARRIED,28,11,17
2. Brahmanic Hindus.,0-1,MARRIED,0,0,0
2. Brahmanic Hindus.,0-1,WIDOWED,0,0,0
2. Brahmanic Hindus.,0-1,DIVORCED,0,0,0
2. Brahmanic Hindus.,1-5,POPULATION,73,30,43
2. Brahmanic Hindus.,1-5,UNMARRIED,73,30,43
2. Brahmanic Hindus.,1-5,MARRIED,0,0,0
2. Brahmanic Hindus.,1-5,WIDOWED,0,0,0
2. Brahmanic Hindus.,1-5,DIVORCED,0,0,0
2. Brahmanic Hindus.,5-10,POPULATION,53,19,34
2. Brahmanic Hindus.,5-10,UNMARRIED,51,19,32
2. Brahmanic Hindus.,5-10,MARRIED,2,0,2
2. Brahmanic Hindus.,5-10,WIDOWED,0,0,0
2. Brahmanic Hindus.,5-10,DIVORCED,0,0,0
2. Brahmanic Hindus.,10-15,POPULATION,162,54,108
2. Brahmanic Hindus.,10-15,UNMARRIED,133,44,89
2. Brahmanic Hindus.,10-15,MARRIED,29,10,19
2. Brahmanic Hindus.,10-15,WIDOWED,0,0,0
2. Brahmanic Hindus.,10-15,DIVORCED,0,0,0
2. Brahmanic Hindus.,15-20,POPULATION,181,67,114
2. Brahmanic Hindus.,15-20,UNMARRIED,124,51,73
2. Brahmanic Hindus.,15-20,MARRIED,57,16,41
2. Brahmanic Hindus.,15-20,WIDOWED,0,0,0
2. Brahmanic Hindus.,15-20,DIVORCED,0,0,0
2. Brahmanic Hindus.,20-30,POPULATION,317,204,113
2. Brahmanic Hindus.,20-30,UNMARRIED,92,92,0
2. Brahmanic Hindus.,20-30,MARRIED,221,112,109
2. Brahmanic Hindus.,20-30,WIDOWED,4,0,4
2. Brahmanic Hindus.,20-30,DIVORCED,0,0,0
2. Brahmanic Hindus.,30-40,POPULATION,275,142,133
