section,age,group,persons,males,females
1. ALL COMMUNITIES.,0-1,POPULATION,39492,18359,21133
1. ALL COMMUNITIES.,0-1,UNMARRIED,39004,18138,20866
1. ALL COMMUNITIES.,0-1,MARRIED,478,220,258
1. ALL COMMUNITIES.,0-1,WIDOWED,10,1,9
1. ALL COMMUNITIES.,0-1,DIVORCED,0,0,0
1. ALL COMMUNITIES.,1-5,POPULATION,121922,59655,62267
1. ALL COMMUNITIES.,1-5,UNMARRIED,114895,56468,58427
1. ALL COMMUNITIES.,1-5,MARRIED,6714,3057,3657
1. ALL COMMUNITIES.,1-5,WIDOWED,313,130,183
1. ALL COMMUNITIES.,1-5,DIVORCED,0,0,0
1. ALL COMMUNITIES.,5-10,POPULATION,92708,45327,47381
1. ALL COMMUNITIES.,5-10,UNMARRIED,64523,34442,30081
1. ALL COMMUNITIES.,5-10,MARRIED,27542,10641,16901
1. ALL COMMUNITIES.,5-10,WIDOWED,627,244,383
1. ALL COMMUNITIES.,5-10,DIVORCED,16,0,16
1. ALL COMMUNITIES.,10-15,POPULATION,114587,61560,53027
1. ALL COMMUNITIES.,10-15,UNMARRIED,63562,40455,23107
1. ALL COMMUNITIES.,10-15,MARRIED,49770,20669,29101
1. ALL COMMUNITIES.,10-15,WIDOWED,1207,429,778
1. ALL COMMUNITIES.,10-15,DIVORCED,48,7,41
1. ALL COMMUNITIES.,15-20,POPULATION,100442,55593,44849
1. ALL COMMUNITIES.,15-20,UNMARRIED,32967,26943,6024
1. ALL COMMUNITIES.,15-20,MARRIED,65766,28061,37705
1. ALL COMMUNITIES.,15-20,WIDOWED,1589,551,1038
1. ALL COMMUNITIES.,15-20,DIVORCED,120,38,82
1. ALL COMMUNITIES.,20-30,POPULATION,149911,74928,74983
1. ALL COMMUNITIES.,20-30,UNMARRIED,18298,14392,3906
1. ALL COMMUNITIES.,20-30,MARRIED,125435,58933,66502
1. ALL COMMUNITIES.,20-30,WIDOWED,5737,1467,4270
1. ALL COMMUNITIES.,20-30,DIVORCED,441,136,305
1. ALL COMMUNITIES.,30-40,POPULATION,133680,66881,66799
1. ALL COMMUNITIES.,30-40,UNMARRIED,5307,3885,1422
1. ALL COMMUNITIES.,30-40,MARRIED,113770,59109,54661
1. ALL COMMUNITIES.,30-40,WIDOWED,13884,3675,10209
1. ALL COMMUNITIES.,30-40,DIVORCED,719,212,507
1. ALL COMMUNITIES.,40-50,POPULATION,116287,60233,56054
1. ALL COMMUNITIES.,40-50,UNMARRIED,2850,2094,756
1. ALL COMMUNITIES.,40-50,MARRIED,98399,53561,44838
1. ALL COMMUNITIES.,40-50,WIDOWED,14355,4345,10010
1. ALL COMMUNITIES.,40-50,DIVORCED,683,233,450
1. ALL COMMUNITIES.,50-60,POPULATION,90611,49425,41186
1. ALL COMMUNITIES.,50-60,UNMARRIED,1267,923,344
1. ALL COMMUNITIES.,50-60,MARRIED,68099,41613,26486
1. ALL COMMUNITIES.,50-60,WIDOWED,20525,6640,13885
1. ALL COMMUNITIES.,50-60,DIVORCED,720,249,471
1. ALL COMMUNITIES.,60 & over,POPULATION,63842,33633,30209
1. ALL COMMUNITIES.,60 & over,UNMARRIED,853,567,286
1. ALL COMMUNITIES.,60 & over,MARRIED,40289,24955,15334
1. ALL COMMUNITIES.,60 & over,WIDOWED,21953,7836,14117
1. ALL COMMUNITIES.,60 & over,DIVORCED,747,275,472
1. ALL COMMUNITIES.,Total,POPULATION,1023482,525594,497888
1. ALL COMMUNITIES.,Total,UNMARRIED,343526,198307,145219
1. ALL COMMUNITIES.,Total,MARRIED,596262,300819,295443
1. ALL COMMUNITIES.,Total,WIDOWED,80200,25318,54882
1. ALL COMMUNITIES.,Total,DIVORCED,3494,1150,2344
2. Brahmanic Hindus.,0-1,POPULATION,488,257,231
2. Brahmanic Hindus.,0-1,UNMARRIED,488,257,231
2. Brahmanic Hindus.,0-1,MARRIED,0,0,0
2. Brahmanic Hindus.,0-1,WIDOWED,0,0,0
2. Brahmanic Hindus.,0-1,DIVORCED,0,0,0
2. Brahmanic Hindus.,1-5,POPULATION,2128,1039,1089
2. Brahmanic Hindus.,1-5,UNMARRIED,2058,1034,1024
2. Brahmanic Hindus.,1-5,MARRIED,70,5,65
2. Brahmanic Hindus.,1-5,WIDOWED,0,0,0
2. Brahmanic Hindus.,1-5,DIVORCED,0,0,0
2. Brahmanic Hindus.,5-10,POPULATION,2103,830,1273
2. Brahmanic Hindus.,5-10,UNMARRIED,1805,803,1002
2. Brahmanic Hindus.,5-10,MARRIED,296,27,269
2. Brahmanic Hindus.,5-10,WIDOWED,2,0,2
2. Brahmanic Hindus.,5-10,DIVORCED,0,0,0
2. Brahmanic Hindus.,10-15,POPULATION,2994,1028,1966
2. Brahmanic Hindus.,10-15,UNMARRIED,1826,956,870
2. Brahmanic Hindus.,10-15,MARRIED,1142,71,1071
2. Brahmanic Hindus.,10-15,WIDOWED,26,1,25
2. Brahmanic Hindus.,10-15,DIVORCED,0,0,0
2. Brahmanic Hindus.,15-20,POPULATION,3009,1479,1530
2. Brahmanic Hindus.,15-20,UNMARRIED,1159,991,168
2. Brahmanic Hindus.,15-20,MARRIED,1799,478,1321
2. Brahmanic Hindus.,15-20,WIDOWED,51,10,41
2. Brahmanic Hindus.,15-20,DIVORCED,0,0,0
2. Brahmanic Hindus.,20-30,POPULATION,4948,3053,1895
2. Brahmanic Hindus.,20-30,UNMARRIED,1039,963,76
2. Brahmanic Hindus.,20-30,MARRIED,3749,2057,1692
2. Brahmanic Hindus.,20-30,WIDOWED,159,33,126
2. Brahmanic Hindus.,20-30,DIVORCED,1,0,1
2. Brahmanic Hindus.,30-40,POPULATION,2794,1646,1148
2. Brahmanic Hindus.,30-40,UNMARRIED,157,152,5
2. Brahmanic Hindus.,30-40,MARRIED,2425,1441,984
2. Brahmanic Hindus.,30-40,WIDOWED,210,53,157
2. Brahmanic Hindus.,30-40,DIVORCED,2,0,2
2. Brahmanic Hindus.,40-50,POPULATION,1634,1030,604
2. Brahmanic Hindus.,40-50,UNMARRIED,17,17,0
2. Brahmanic Hindus.,40-50,MARRIED,1363,952,411
2. Brahmanic Hindus.,40-50,WIDOWED,253,60,193
2. Brahmanic Hindus.,40-50,DIVORCED,1,1,0
2. Brahmanic Hindus.,50-60,POPULATION,1221,742,479
2. Brahmanic Hindus.,50-60,UNMARRIED,7,7,0
2. Brahmanic Hindus.,50-60,MARRIED,973,662,311
2. Brahmanic Hindus.,50-60,WIDOWED,241,73,168
2. Brahmanic Hindus.,50-60,DIVORCED,0,0,0
2. Brahmanic Hindus.,60 & over,POPULATION,927,602,325
2. Brahmanic Hindus.,60 & over,UNMARRIED,23,23,0
2. Brahmanic Hindus.,60 & over,MARRIED,582,486,96
2. Brahmanic Hindus.,60 & over,WIDOWED,321,92,229
2. Brahmanic Hindus.,60 & over,DIVORCED,1,1,0
2. Brahmanic Hindus.,Total,POPULATION,22246,11706,10540
2. Brahmanic Hindus.,Total,UNMARRIED,8579,5203,3376
