section,age,group,persons,males,females
1. ALL COMMUNITIES.,0-1,POPULATION,21395,10941,10454
1. ALL COMMUNITIES.,0-1,UNMARRIED,21064,10868,10196
1. ALL COMMUNITIES.,0-1,MARRIED,304,71,233
1. ALL COMMUNITIES.,0-1,WIDOWED,26,2,24
1. ALL COMMUNITIES.,0-1,DIVORCED,1,0,1
1. ALL COMMUNITIES.,1-5,POPULATION,84416,44692,39724
1. ALL COMMUNITIES.,1-5,UNMARRIED,81789,43648,38141
1. ALL COMMUNITIES.,1-5,MARRIED,2448,989,1459
1. ALL COMMUNITIES.,1-5,WIDOWED,178,55,123
1. ALL COMMUNITIES.,1-5,DIVORCED,1,0,1
1. ALL COMMUNITIES.,5-10,POPULATION,81978,42039,39939
1. ALL COMMUNITIES.,5-10,UNMARRIED,59492,34758,24734
1. ALL COMMUNITIES.,5-10,MARRIED,22138,7142,14996
1. ALL COMMUNITIES.,5-10,WIDOWED,330,139,191
1. ALL COMMUNITIES.,5-10,DIVORCED,18,0,18
1. ALL COMMUNITIES.,10-15,POPULATION,86067,41719,44348
1. ALL COMMUNITIES.,10-15,UNMARRIED,46326,28352,17974
1. ALL COMMUNITIES.,10-15,MARRIED,38915,13169,25746
1. ALL COMMUNITIES.,10-15,WIDOWED,714,178,536
1. ALL COMMUNITIES.,10-15,DIVORCED,112,20,92
1. ALL COMMUNITIES.,15-20,POPULATION,77519,32741,44778
1. ALL COMMUNITIES.,15-20,UNMARRIED,29042,13112,15930
1. ALL COMMUNITIES.,15-20,MARRIED,47265,19266,27999
1. ALL COMMUNITIES.,15-20,WIDOWED,1011,307,704
1. ALL COMMUNITIES.,15-20,DIVORCED,201,56,145
1. ALL COMMUNITIES.,20-30,POPULATION,123900,67407,56493
1. ALL COMMUNITIES.,20-30,UNMARRIED,15790,10880,4910
1. ALL COMMUNITIES.,20-30,MARRIED,103865,55113,48752
1. ALL COMMUNITIES.,20-30,WIDOWED,3521,1212,2309
1. ALL COMMUNITIES.,20-30,DIVORCED,724,202,522
1. ALL COMMUNITIES.,30-40,POPULATION,90616,48229,42387
1. ALL COMMUNITIES.,30-40,UNMARRIED,6530,5205,1325
1. ALL COMMUNITIES.,30-40,MARRIED,74338,39432,34906
1. ALL COMMUNITIES.,30-40,WIDOWED,8943,3202,5741
1. ALL COMMUNITIES.,30-40,DIVORCED,805,390,415
1. ALL COMMUNITIES.,40-50,POPULATION,62441,35884,26557
1. ALL COMMUNITIES.,40-50,UNMARRIED,3253,2775,478
1. ALL COMMUNITIES.,40-50,MARRIED,46548,28830,17718
1. ALL COMMUNITIES.,40-50,WIDOWED,11836,3906,7930
1. ALL COMMUNITIES.,40-50,DIVORCED,804,373,431
1. ALL COMMUNITIES.,50-60,POPULATION,47664,24617,23047
1. ALL COMMUNITIES.,50-60,UNMARRIED,1015,808,207
1. ALL COMMUNITIES.,50-60,MARRIED,30454,18569,11885
1. ALL COMMUNITIES.,50-60,WIDOWED,15423,4894,10529
1. ALL COMMUNITIES.,50-60,DIVORCED,772,346,426
1. ALL COMMUNITIES.,60 & over,POPULATION,37634,19526,18108
1. ALL COMMUNITIES.,60 & over,UNMARRIED,542,389,153
1. ALL COMMUNITIES.,60 & over,MARRIED,19512,12212,7300
1. ALL COMMUNITIES.,60 & over,WIDOWED,16544,6449,10095
1. ALL COMMUNITIES.,60 & over,DIVORCED,1036,476,560
1. ALL COMMUNITIES.,Total,POPULATION,713630,367795,345835
1. ALL COMMUNITIES.,Total,UNMARRIED,264843,150795,114048
1. ALL COMMUNITIES.,Total,MARRIED,385787,194793,190994
1. ALL COMMUNITIES.,Total,WIDOWED,58526,20344,38182
1. ALL COMMUNITIES.,Total,DIVORCED,4474,1863,2611
2. Brahmanic Hindus.,0-1,POPULATION,1037,536,501
2. Brahmanic Hindus.,0-1,UNMARRIED,1037,536,501
2. Brahmanic Hindus.,0-1,MARRIED,0,0,0
2. Brahmanic Hindus.,0-1,WIDOWED,0,0,0
2. Brahmanic Hindus.,0-1,DIVORCED,0,0,0
2. Brahmanic Hindus.,1-5,POPULATION,4310,2292,2018
2. Brahmanic Hindus.,1-5,UNMARRIED,4280,2272,2008
2. Brahmanic Hindus.,1-5,MARRIED,30,20,10
2. Brahmanic Hindus.,1-5,WIDOWED,0,0,0
2. Brahmanic Hindus.,1-5,DIVORCED,0,0,0
2. Brahmanic Hindus.,5-10,POPULATION,2346,1074,1272
2. Brahmanic Hindus.,5-10,UNMARRIED,1586,931,655
2. Brahmanic Hindus.,5-10,MARRIED,759,142,617
2. Brahmanic Hindus.,5-10,WIDOWED,1,1,0
2. Brahmanic Hindus.,5-10,DIVORCED,0,0,0
2. Brahmanic Hindus.,10-15,POPULATION,2338,897,1441
