section,age,group,persons,males,females
"SUBSIDIARY TABLE II. Age distribution of 10,000 of each sex in 1901 and 1891.",0 - 5,1901,1385,1366,1403
"SUBSIDIARY TABLE II. Age distribution of 10,000 of each sex in 1901 and 1891.",0 - 5,1891,1427,1376,1477
"SUBSIDIARY TABLE II. Age distribution of 10,000 of each sex in 1901 and 1891.",5 - 10,1901,1363,1386,1340
"SUBSIDIARY TABLE II. Age distribution of 10,000 of each sex in 1901 and 1891.",5 - 10,1891,1332,1352,1311
"SUBSIDIARY TABLE II. Age distribution of 10,000 of each sex in 1901 and 1891.",10 - 15,1901,1274,1322,1226
"SUBSIDIARY TABLE II. Age distribution of 10,000 of each sex in 1901 and 1891.",10 - 15,1891,1208,1268,1148
"SUBSIDIARY TABLE II. Age distribution of 10,000 of each sex in 1901 and 1891.",Total 0 - 15,1901,4021,4074,3969
"SUBSIDIARY TABLE II. Age distribution of 10,000 of each sex in 1901 and 1891.",Total 0 - 15,1891,3966,3996,3936
"SUBSIDIARY TABLE II. Age distribution of 10,000 of each sex in 1901 and 1891.",15 - 20,1901,975,970,979
"SUBSIDIARY TABLE II. Age distribution of 10,000 of each sex in 1901 and 1891.",15 - 20,1891,945,944,946
"SUBSIDIARY TABLE II. Age distribution of 10,000 of each sex in 1901 and 1891.",20 - 25,1901,930,886,975
"SUBSIDIARY TABLE II. Age distribution of 10,000 of each sex in 1901 and 1891.",20 - 25,1891,881,824,938
"SUBSIDIARY TABLE II. Age distribution of 10,000 of each sex in 1901 and 1891.",25 - 30,1901,888,865,910
"SUBSIDIARY TABLE II. Age distribution of 10,000 of each sex in 1901 and 1891.",25 - 30,1891,909,875,944
"SUBSIDIARY TABLE II. Age distribution of 10,000 of each sex in 1901 and 1891.",30 - 35,1901,733,747,719
"SUBSIDIARY TABLE II. Age distribution of 10,000 of each sex in 1901 and 1891.",30 - 35,1891,778,781,775
"SUBSIDIARY TABLE II. Age distribution of 10,000 of each sex in 1901 and 1891.",35 - 40,1901,597,639,555
"SUBSIDIARY TABLE II. Age distribution of 10,000 of each sex in 1901 and 1891.",35 - 40,1891,634,688,581
"SUBSIDIARY TABLE II. Age distribution of 10,000 of each sex in 1901 and 1891.",Total 15 - 40,1901,4123,4107,4138
"SUBSIDIARY TABLE II. Age distribution of 10,000 of each sex in 1901 and 1891.",Total 15 - 40,1891,4148,4111,4184
"SUBSIDIARY TABLE II. Age distribution of 10,000 of each sex in 1901 and 1891.",40 - 45,1901,541,549,533
"SUBSIDIARY TABLE II. Age distribution of 10,000 of each sex in 1901 and 1891.",40 - 45,1891,562,584,541
"SUBSIDIARY TABLE II. Age distribution of 10,000 of each sex in 1901 and 1891.",45 - 50,1901,354,364,345
"SUBSIDIARY TABLE II. Age distribution of 10,000 of each sex in 1901 and 1891.",45 - 50,1891,355,380,330
"SUBSIDIARY TABLE II. Age distribution of 10,000 of each sex in 1901 and 1891.",50 - 55,1901,354,338,370
"SUBSIDIARY TABLE II. Age distribution of 10,000 of each sex in 1901 and 1891.",50 - 55,1891,356,348,364
"SUBSIDIARY TABLE II. Age distribution of 10,000 of each sex in 1901 and 1891.",55 - 60,1901,188,193,184
"SUBSIDIARY TABLE II. Age distribution of 10,000 of each sex in 1901 and 1891.",55 - 60,1891,180,186,174
"SUBSIDIARY TABLE II. Age distribution of 10,000 of each sex in 1901 and 1891.",Total 40 - 60,1901,1438,1444,1431
"SUBSIDIARY TABLE II. Age distribution of 10,000 of each sex in 1901 and 1891.",Total 40 - 60,1891,1454,1498,1408
"SUBSIDIARY TABLE II. Age distribution of 10,000 of each sex in 1901 and 1891.",60 and over,1901,417,373,461
"SUBSIDIARY TABLE II. Age distribution of 10,000 of each sex in 1901 and 1891.",60 and over,1891,430,392,470
"SUBSIDIARY TABLE II. Age distribution of 10,000 of each sex in 1901 and 1891.",Not Stated,1901,1,1,1
"SUBSIDIARY TABLE II. Age distribution of 10,000 of each sex in 1901 and 1891.",Not Stated,1891,2,2,2
"SUBSIDIARY TABLE II. Age distribution of 10,000 of each sex in 1901 and 1891.",Total,1901,10000,10000,10000
"SUBSIDIARY TABLE II. Age distribution of 10,000 of each sex in 1901 and 1891.",Total,1891,10000,10000,10000
"SUBSIDIARY TABLE II. Age distribution of 10,000 of each sex in 1901 and 1891.",Mean age,1901,23,23,23
"SUBSIDIARY TABLE II. Age distribution of 10,000 of each sex in 1901 and 1891.",Mean age,1891,23,23,23
