section,age,group,persons,males,females
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",0-1,1901,,28,35
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",0-1,1891,,22,29
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",0-1,1881,,20,28
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",1-2,1901,,8,10
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",1-2,1891,,15,20
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",1-2,1881,,13,17
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",2-3,1901,,20,26
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",2-3,1891,,25,33
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",2-3,1881,,14,19
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",3-4,1901,,18,25
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",3-4,1891,,26,35
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",3-4,1881,,18,25
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",4-5,1901,,21,27
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",4-5,1891,,23,29
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",4-5,1881,,19,24
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",TOTAL 0-5,1901,,95,123
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",TOTAL 0-5,1891,,111,146
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",TOTAL 0-5,1881,,84,113
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",5-10,1901,,112,139
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",5-10,1891,,115,139
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",5-10,1881,,111,142
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",10-15,1901,,119,129
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",10-15,1891,,94,99
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",10-15,1881,,113,117
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",TOTAL 0-15,1901,,326,391
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",TOTAL 0-15,1891,,320,384
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",TOTAL 0-15,1881,,308,372
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",15-20,1901,,97,96
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",15-20,1891,,99,103
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",15-20,1881,,115,110
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",20-25,1901,,101,104
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",20-25,1891,,109,112
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",20-25,1881,,114,118
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",25-30,1901,,122,109
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",25-30,1891,,128,110
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",25-30,1881,,131,118
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",30-35,1901,,107,84
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",30-35,1891,,103,82
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",30-35,1881,,108,85
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",35-40,1901,,79,54
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",35-40,1891,,77,54
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",35-40,1881,,78,54
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",TOTAL 15-40,1901,,506,447
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",TOTAL 15-40,1891,,516,461
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",TOTAL 15-40,1881,,546,485
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",40-45,1901,,64,53
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",40-45,1891,,61,53
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",40-45,1881,,58,48
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",45-50,1901,,35,28
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",45-50,1891,,36,27
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",45-50,1881,,31,26
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",50-55,1901,,32,35
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",50-55,1891,,31,33
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",50-55,1881,,28,29
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",55-60,1901,,13,13
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",55-60,1891,,13,11
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",55-60,1881,,10,10
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",TOTAL 40-60,1901,,144,129
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",TOTAL 40-60,1891,,141,124
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",TOTAL 40-60,1881,,127,113
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",60 and over,1901,,24,33
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",60 and over,1891,,23,31
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",60 and over,1881,,19,30
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",TOTAL,1901,,1000,1000
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",TOTAL,1891,,1000,1000
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",TOTAL,1881,,1000,1000
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",Mean Age,1901,,25,23
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",Mean Age,1891,,24,23
"SUBSIDIARY TABLE 1. - Age distribution of 1,000 of each sex at each of the last three censuses.",Mean Age,1881,,24,23
