section,age,group,persons,males,females
A - Total Population.,0-1,POPULATION.,32217,14919,17298
A - Total Population.,0-1,UNMARRIED.,32217,14919,17298
A - Total Population.,1-2,POPULATION.,30401,14637,15764
A - Total Population.,1-2,UNMARRIED.,30401,14637,15764
A - Total Population.,2-3,POPULATION.,34733,16711,18022
A - Total Population.,2-3,UNMARRIED.,34733,16711,18022
A - Total Population.,3-4,POPULATION.,38158,18347,19811
A - Total Population.,3-4,UNMARRIED.,38156,18347,19809
A - Total Population.,4-5,POPULATION.,34000,16610,17390
A - Total Population.,4-5,UNMARRIED.,33993,16610,17383
A - Total Population.,Total 0-5,POPULATION.,169509,81224,88285
A - Total Population.,Total 0-5,UNMARRIED.,169500,81224,88276
A - Total Population.,5-10,POPULATION.,166745,83669,83076
A - Total Population.,5-10,UNMARRIED.,166055,83520,82535
A - Total Population.,10-15,POPULATION.,150630,79166,71464
A - Total Population.,10-15,UNMARRIED.,141016,77724,63292
A - Total Population.,15-20,POPULATION.,116595,57993,58602
A - Total Population.,15-20,UNMARRIED.,67163,45926,21237
A - Total Population.,20-25,POPULATION.,111950,53002,58948
A - Total Population.,20-25,UNMARRIED.,27236,21500,5736
A - Total Population.,25-30,POPULATION.,120076,59814,60262
A - Total Population.,25-30,UNMARRIED.,12127,9684,2443
A - Total Population.,30-35,POPULATION.,95124,49257,45867
A - Total Population.,30-35,UNMARRIED.,3554,2604,950
A - Total Population.,35-40,POPULATION.,85869,47873,37996
A - Total Population.,35-40,UNMARRIED.,1855,1219,636
A - Total Population.,40-45,POPULATION.,66459,36018,30441
A - Total Population.,40-45,UNMARRIED.,1111,625,486
A - Total Population.,45-50,POPULATION.,53330,29353,23977
A - Total Population.,45-50,UNMARRIED.,672,342,330
A - Total Population.,50-55,POPULATION.,45019,23755,21264
A - Total Population.,50-55,UNMARRIED.,585,281,304
A - Total Population.,55-60,POPULATION.,26926,14278,12648
A - Total Population.,55-60,UNMARRIED.,295,159,136
A - Total Population.,60 and over,POPULATION.,53324,25693,27631
A - Total Population.,60 and over,UNMARRIED.,675,263,412
A - Total Population.,Total,POPULATION.,1261556,641095,620461
A - Total Population.,Total,UNMARRIED.,591844,325071,266773
