section,age,group,persons,males,females
ALL COMMUNITIES.,0-1,POPULATION,40993,20123,20870
ALL COMMUNITIES.,0-1,UNMARRIED,39786,19701,20085
ALL COMMUNITIES.,0-1,MARRIED,1104,403,701
ALL COMMUNITIES.,0-1,WIDOWED,103,19,84
ALL COMMUNITIES.,0-1,DIVORCED,0,0,0
ALL COMMUNITIES.,1-5,POPULATION,159613,78825,80788
ALL COMMUNITIES.,1-5,UNMARRIED,152236,76207,76029
ALL COMMUNITIES.,1-5,MARRIED,6655,2521,4134
ALL COMMUNITIES.,1-5,WIDOWED,722,97,625
ALL COMMUNITIES.,1-5,DIVORCED,0,0,0
ALL COMMUNITIES.,5-10,POPULATION,149808,74945,74863
ALL COMMUNITIES.,5-10,UNMARRIED,112281,61440,50841
ALL COMMUNITIES.,5-10,MARRIED,36882,13376,23506
ALL COMMUNITIES.,5-10,WIDOWED,645,129,516
ALL COMMUNITIES.,5-10,DIVORCED,0,0,0
ALL COMMUNITIES.,10-15,POPULATION,148953,72730,76223
ALL COMMUNITIES.,10-15,UNMARRIED,91756,51992,39764
ALL COMMUNITIES.,10-15,MARRIED,56095,20523,35572
ALL COMMUNITIES.,10-15,WIDOWED,1102,215,887
ALL COMMUNITIES.,10-15,DIVORCED,0,0,0
ALL COMMUNITIES.,15-20,POPULATION,133388,69479,63909
ALL COMMUNITIES.,15-20,UNMARRIED,41100,30487,10613
ALL COMMUNITIES.,15-20,MARRIED,90560,38479,52081
ALL COMMUNITIES.,15-20,WIDOWED,1695,501,1194
ALL COMMUNITIES.,15-20,DIVORCED,33,12,21
ALL COMMUNITIES.,20-30,POPULATION,219301,119450,99851
ALL COMMUNITIES.,20-30,UNMARRIED,23944,20019,3925
ALL COMMUNITIES.,20-30,MARRIED,186979,97037,89942
ALL COMMUNITIES.,20-30,WIDOWED,8070,2256,5814
ALL COMMUNITIES.,20-30,DIVORCED,308,138,170
ALL COMMUNITIES.,30-40,POPULATION,165124,90345,74779
ALL COMMUNITIES.,30-40,UNMARRIED,9445,7600,1845
ALL COMMUNITIES.,30-40,MARRIED,139981,78497,61484
ALL COMMUNITIES.,30-40,WIDOWED,14648,3706,10942
ALL COMMUNITIES.,30-40,DIVORCED,1050,542,508
ALL COMMUNITIES.,40-50,POPULATION,122893,62095,60798
ALL COMMUNITIES.,40-50,UNMARRIED,4912,3997,915
ALL COMMUNITIES.,40-50,MARRIED,92919,50897,42022
ALL COMMUNITIES.,40-50,WIDOWED,23958,6799,17159
ALL COMMUNITIES.,40-50,DIVORCED,1104,402,702
ALL COMMUNITIES.,50-60,POPULATION,93703,42116,51587
ALL COMMUNITIES.,50-60,UNMARRIED,2103,1397,706
ALL COMMUNITIES.,50-60,MARRIED,59136,33601,25535
ALL COMMUNITIES.,50-60,WIDOWED,31334,6740,24594
ALL COMMUNITIES.,50-60,DIVORCED,1130,378,752
ALL COMMUNITIES.,60 & over,POPULATION,78279,39044,39235
ALL COMMUNITIES.,60 & over,UNMARRIED,1390,962,428
ALL COMMUNITIES.,60 & over,MARRIED,40706,26967,13739
ALL COMMUNITIES.,60 & over,WIDOWED,34994,10654,24340
ALL COMMUNITIES.,60 & over,DIVORCED,1189,461,728
ALL COMMUNITIES.,Total,POPULATION,1312055,669152,642903
ALL COMMUNITIES.,Total,UNMARRIED,478953,273802,205151
ALL COMMUNITIES.,Total,MARRIED,711017,362301,348716
ALL COMMUNITIES.,Total,WIDOWED,117271,31116,86155
ALL COMMUNITIES.,Total,DIVORCED,4814,1933,2881
2. Brahmanic Hindus.,Total,POPULATION,29620,14991,14629
2. Brahmanic Hindus.,Total,UNMARRIED,12217,6293,5924
2. Brahmanic Hindus.,Total,MARRIED,16308,8163,8145
2. Brahmanic Hindus.,Total,WIDOWED,1095,535,560
2. Brahmanic Hindus.,Total,DIVORCED,0,0,0
2. Brahmanic Hindus.,0-1,POPULATION,1002,448,554
2. Brahmanic Hindus.,0-1,UNMARRIED,1002,448,554
2. Brahmanic Hindus.,0-1,MARRIED,0,0,0
2. Brahmanic Hindus.,0-1,WIDOWED,0,0,0
2. Brahmanic Hindus.,0-1,DIVORCED,0,0,0
2. Brahmanic Hindus.,1-5,POPULATION,2820,1363,1457
2. Brahmanic Hindus.,1-5,UNMARRIED,2805,1362,1443
2. Brahmanic Hindus.,1-5,MARRIED,15,1,14
2. Brahmanic Hindus.,1-5,WIDOWED,0,0,0
2. Brahmanic Hindus.,1-5,DIVORCED,0,0,0
2. Brahmanic Hindus.,5-10,POPULATION,3216,1448,1768
2. Brahmanic Hindus.,5-10,UNMARRIED,3007,1445,1562
2. Brahmanic Hindus.,5-10,MARRIED,209,3,206
2. Brahmanic Hindus.,5-10,WIDOWED,0,0,0
2. Brahmanic Hindus.,5-10,DIVORCED,0,0,0
2. Brahmanic Hindus.,10-15,POPULATION,3627,1184,2443
2. Brahmanic Hindus.,10-15,UNMARRIED,2443,1069,1374
2. Brahmanic Hindus.,10-15,MARRIED,1182,113,1069
2. Brahmanic Hindus.,10-15,WIDOWED,2,2,0
2. Brahmanic Hindus.,10-15,DIVORCED,0,0,0
2. Brahmanic Hindus.,15-20,POPULATION,4843,1564,3279
2. Brahmanic Hindus.,15-20,UNMARRIED,2163,1198,965
2. Brahmanic Hindus.,15-20,MARRIED,2660,362,2298
2. Brahmanic Hindus.,15-20,WIDOWED,20,4,16
2. Brahmanic Hindus.,15-20,DIVORCED,0,0,0
2. Brahmanic Hindus.,20-30,POPULATION,6400,4028,2372
2. Brahmanic Hindus.,20-30,UNMARRIED,746,721,25
2. Brahmanic Hindus.,20-30,MARRIED,5553,3249,2304
2. Brahmanic Hindus.,20-30,WIDOWED,101,58,43
2. Brahmanic Hindus.,20-30,DIVORCED,0,0,0
2. Brahmanic Hindus.,30-40,POPULATION,3028,2056,972
2. Brahmanic Hindus.,30-40,UNMARRIED,23,22,1
2. Brahmanic Hindus.,30-40,MARRIED,2835,1956,879
2. Brahmanic Hindus.,30-40,WIDOWED,170,78,92
2. Brahmanic Hindus.,30-40,DIVORCED,0,0,0
2. Brahmanic Hindus.,40-50,POPULATION,2565,1633,932
2. Brahmanic Hindus.,40-50,UNMARRIED,6,6,0
2. Brahmanic Hindus.,40-50,MARRIED,2308,1490,818
2. Brahmanic Hindus.,40-50,WIDOWED,251,137,114
2. Brahmanic Hindus.,40-50,DIVORCED,0,0,0
