section,age,group,persons,males,females
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",0-1,POPULATION.,175786,85577,90209
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",0-1,UNMARRIED.,174225,85051,89174
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",0-1,MARRIED.,1467,509,958
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",0-1,WIDOWED.,94,17,77
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",1-2,POPULATION.,236893,115495,121398
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",1-2,UNMARRIED.,235271,114699,120572
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",1-2,MARRIED.,1490,763,727
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",1-2,WIDOWED.,132,33,99
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",2-3,POPULATION.,323459,155863,167596
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",2-3,UNMARRIED.,318976,154163,164813
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",2-3,MARRIED.,4218,1630,2588
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",2-3,WIDOWED.,265,70,195
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",3-4,POPULATION.,286702,136803,149899
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",3-4,UNMARRIED.,280506,134746,145760
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",3-4,MARRIED.,5868,1982,3886
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",3-4,WIDOWED.,328,75,253
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",4-5,POPULATION.,332827,165119,167708
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",4-5,UNMARRIED.,322903,162116,160787
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",4-5,MARRIED.,9101,2821,6280
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",4-5,WIDOWED.,823,182,641
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",Total 0-5,POPULATION.,1355667,658857,696810
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",Total 0-5,UNMARRIED.,1331881,650775,681106
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",Total 0-5,MARRIED.,22144,7705,14439
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",Total 0-5,WIDOWED.,1642,377,1265
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",5-10,POPULATION.,1452854,755963,696891
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",5-10,UNMARRIED.,1289714,725092,564622
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",5-10,MARRIED.,153161,28691,124470
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",5-10,WIDOWED.,9979,2180,7799
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",10-15,POPULATION.,1350321,739509,610812
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",10-15,UNMARRIED.,879907,633738,246169
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",10-15,MARRIED.,443034,98576,344458
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",10-15,WIDOWED.,27380,7195,20185
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",15-20,POPULATION.,852389,428409,423980
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",15-20,UNMARRIED.,319500,270156,49344
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",15-20,MARRIED.,502285,150145,352140
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",15-20,WIDOWED.,30604,8108,22496
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",20-25,POPULATION.,894027,405798,488229
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",20-25,UNMARRIED.,161074,134285,26789
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",20-25,MARRIED.,682340,259674,422666
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",20-25,WIDOWED.,50613,11839,38774
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",25-30,POPULATION.,1051503,523613,527890
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",25-30,UNMARRIED.,127057,76542,50515
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",25-30,MARRIED.,844478,425666,418812
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",25-30,WIDOWED.,79968,21405,58563
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",30-35,POPULATION.,1072226,538818,533408
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",30-35,UNMARRIED.,77341,40330,37011
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",30-35,MARRIED.,869499,470506,398993
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",30-35,WIDOWED.,125386,27982,97404
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",35-40,POPULATION.,628589,342613,285976
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",35-40,UNMARRIED.,39074,19244,19830
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",35-40,MARRIED.,491882,301284,190598
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",35-40,WIDOWED.,97633,22085,75548
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",40-45,POPULATION.,818675,425753,392922
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",40-45,UNMARRIED.,33616,20963,12653
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",40-45,MARRIED.,579819,366990,212829
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",40-45,WIDOWED.,205240,37800,167440
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",45-50,POPULATION.,357058,200814,156244
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",45-50,UNMARRIED.,13097,8461,4636
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",45-50,MARRIED.,246293,169334,76959
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",45-50,WIDOWED.,97668,23019,74649
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",50-55,POPULATION.,568550,289341,279209
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",50-55,UNMARRIED.,16361,10586,5775
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",50-55,MARRIED.,328319,233902,94417
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",50-55,WIDOWED.,223870,44853,179017
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",55-60,POPULATION.,168158,93094,75064
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",55-60,UNMARRIED.,6938,4499,2439
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",55-60,MARRIED.,97359,69913,27446
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",55-60,WIDOWED.,63861,18682,45179
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",60 & over,POPULATION.,570951,271002,299949
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",60 & over,UNMARRIED.,15862,9748,6114
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",60 & over,MARRIED.,241694,190386,51308
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",60 & over,WIDOWED.,313395,70868,242527
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",Age not stated,POPULATION.,174,45,129
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",Age not stated,UNMARRIED.,103,20,83
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",Age not stated,MARRIED.,60,23,37
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",Age not stated,WIDOWED.,11,2,9
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",Total,POPULATION.,11141142,5673629,5467513
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",Total,UNMARRIED.,4311525,2604439,1707086
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",Total,MARRIED.,5502367,2772795,2729572
"TABLE VII. AGE, SEX AND CIVIL CONDITION. A-All Religions.",Total,WIDOWED.,1327250,296395,1030855
