section,age,group,persons,males,females
1. ALL COMMUNITIES.,0-1,POPULATION,42429,20369,22060
1. ALL COMMUNITIES.,0-1,UNMARRIED,42406,20353,22053
1. ALL COMMUNITIES.,0-1,MARRIED,23,16,7
1. ALL COMMUNITIES.,0-1,WIDOWED,0,0,0
1. ALL COMMUNITIES.,0-1,DIVORCED,0,0,0
1. ALL COMMUNITIES.,1-5,POPULATION,190649,85730,104919
1. ALL COMMUNITIES.,1-5,UNMARRIED,186367,83393,102974
1. ALL COMMUNITIES.,1-5,MARRIED,4080,2333,1747
1. ALL COMMUNITIES.,1-5,WIDOWED,47,4,43
1. ALL COMMUNITIES.,1-5,DIVORCED,155,0,155
1. ALL COMMUNITIES.,5-10,POPULATION,142275,87034,55241
1. ALL COMMUNITIES.,5-10,UNMARRIED,113565,78983,34582
1. ALL COMMUNITIES.,5-10,MARRIED,28076,8000,20076
1. ALL COMMUNITIES.,5-10,WIDOWED,509,29,480
1. ALL COMMUNITIES.,5-10,DIVORCED,125,22,103
1. ALL COMMUNITIES.,10-15,POPULATION,156434,86192,70242
1. ALL COMMUNITIES.,10-15,UNMARRIED,89819,64754,25065
1. ALL COMMUNITIES.,10-15,MARRIED,64978,21265,43713
1. ALL COMMUNITIES.,10-15,WIDOWED,1181,105,1076
1. ALL COMMUNITIES.,10-15,DIVORCED,456,68,388
1. ALL COMMUNITIES.,15-20,POPULATION,134552,68754,65798
1. ALL COMMUNITIES.,15-20,UNMARRIED,33713,28591,5122
1. ALL COMMUNITIES.,15-20,MARRIED,97163,39540,57623
1. ALL COMMUNITIES.,15-20,WIDOWED,3203,553,2650
1. ALL COMMUNITIES.,15-20,DIVORCED,473,70,403
1. ALL COMMUNITIES.,20-30,POPULATION,247420,123649,123771
1. ALL COMMUNITIES.,20-30,UNMARRIED,21708,19098,2610
1. ALL COMMUNITIES.,20-30,MARRIED,211604,102072,109532
1. ALL COMMUNITIES.,20-30,WIDOWED,12418,1867,10551
1. ALL COMMUNITIES.,20-30,DIVORCED,1690,612,1078
1. ALL COMMUNITIES.,30-40,POPULATION,169920,85945,83975
1. ALL COMMUNITIES.,30-40,UNMARRIED,2946,1878,1068
1. ALL COMMUNITIES.,30-40,MARRIED,144873,80776,64097
1. ALL COMMUNITIES.,30-40,WIDOWED,20625,2627,17998
1. ALL COMMUNITIES.,30-40,DIVORCED,1476,664,812
1. ALL COMMUNITIES.,40-50,POPULATION,124250,65736,58514
1. ALL COMMUNITIES.,40-50,UNMARRIED,2027,1131,896
1. ALL COMMUNITIES.,40-50,MARRIED,94338,59445,34893
1. ALL COMMUNITIES.,40-50,WIDOWED,26494,4505,21989
1. ALL COMMUNITIES.,40-50,DIVORCED,1391,655,736
1. ALL COMMUNITIES.,50-60,POPULATION,77549,35807,41742
1. ALL COMMUNITIES.,50-60,UNMARRIED,1246,633,613
1. ALL COMMUNITIES.,50-60,MARRIED,47500,27444,20056
1. ALL COMMUNITIES.,50-60,WIDOWED,27786,7352,20434
1. ALL COMMUNITIES.,50-60,DIVORCED,1017,378,639
1. ALL COMMUNITIES.,60 & over,POPULATION,69937,30362,39575
1. ALL COMMUNITIES.,60 & over,UNMARRIED,1131,752,379
1. ALL COMMUNITIES.,60 & over,MARRIED,33311,21310,12001
1. ALL COMMUNITIES.,60 & over,WIDOWED,34572,8139,26433
1. ALL COMMUNITIES.,60 & over,DIVORCED,923,161,762
1. ALL COMMUNITIES.,Total,POPULATION,1355415,689578,665837
1. ALL COMMUNITIES.,Total,UNMARRIED,494928,299566,195362
1. ALL COMMUNITIES.,Total,MARRIED,725946,362201,363745
1. ALL COMMUNITIES.,Total,WIDOWED,126835,25181,101654
1. ALL COMMUNITIES.,Total,DIVORCED,7706,2630,5076
2. Brahmanic Hindus.,0-1,POPULATION,180,84,96
2. Brahmanic Hindus.,0-1,UNMARRIED,179,83,96
2. Brahmanic Hindus.,0-1,MARRIED,1,1,0
2. Brahmanic Hindus.,0-1,WIDOWED,0,0,0
2. Brahmanic Hindus.,0-1,DIVORCED,0,0,0
2. Brahmanic Hindus.,1-5,POPULATION,861,479,382
2. Brahmanic Hindus.,1-5,UNMARRIED,852,479,373
2. Brahmanic Hindus.,1-5,MARRIED,8,0,8
2. Brahmanic Hindus.,1-5,WIDOWED,1,0,1
2. Brahmanic Hindus.,1-5,DIVORCED,0,0,0
2. Brahmanic Hindus.,5-10,POPULATION,1143,538,605
2. Brahmanic Hindus.,5-10,UNMARRIED,806,330,476
2. Brahmanic Hindus.,5-10,MARRIED,335,208,127
2. Brahmanic Hindus.,5-10,WIDOWED,2,0,2
2. Brahmanic Hindus.,5-10,DIVORCED,0,0,0
2. Brahmanic Hindus.,10-15,POPULATION,2018,793,1225
2. Brahmanic Hindus.,10-15,UNMARRIED,1231,541,690
2. Brahmanic Hindus.,10-15,MARRIED,753,246,507
2. Brahmanic Hindus.,10-15,WIDOWED,34,6,28
2. Brahmanic Hindus.,10-15,DIVORCED,0,0,0
2. Brahmanic Hindus.,15-20,POPULATION,1568,494,1074
2. Brahmanic Hindus.,15-20,UNMARRIED,631,248,383
2. Brahmanic Hindus.,15-20,MARRIED,883,239,644
2. Brahmanic Hindus.,15-20,WIDOWED,54,7,47
2. Brahmanic Hindus.,15-20,DIVORCED,0,0,0
2. Brahmanic Hindus.,20-30,POPULATION,2435,1045,1390
2. Brahmanic Hindus.,20-30,UNMARRIED,345,291,54
2. Brahmanic Hindus.,20-30,MARRIED,1881,718,1163
2. Brahmanic Hindus.,20-30,WIDOWED,209,36,173
2. Brahmanic Hindus.,20-30,DIVORCED,0,0,0
2. Brahmanic Hindus.,30-40,POPULATION,1936,808,1128
2. Brahmanic Hindus.,30-40,UNMARRIED,33,31,2
2. Brahmanic Hindus.,30-40,MARRIED,1636,740,896
2. Brahmanic Hindus.,30-40,WIDOWED,267,37,230
2. Brahmanic Hindus.,30-40,DIVORCED,0,0,0
2. Brahmanic Hindus.,40-50,POPULATION,1588,625,963
2. Brahmanic Hindus.,40-50,UNMARRIED,9,9,0
2. Brahmanic Hindus.,40-50,MARRIED,1267,585,682
2. Brahmanic Hindus.,40-50,WIDOWED,312,31,281
2. Brahmanic Hindus.,40-50,DIVORCED,0,0,0
2. Brahmanic Hindus.,50-60,POPULATION,1387,576,811
2. Brahmanic Hindus.,50-60,UNMARRIED,4,4,0
2. Brahmanic Hindus.,50-60,MARRIED,1100,545,555
2. Brahmanic Hindus.,50-60,WIDOWED,283,27,256
2. Brahmanic Hindus.,50-60,DIVORCED,0,0,0
2. Brahmanic Hindus.,60 & over,POPULATION,586,228,358
2. Brahmanic Hindus.,60 & over,UNMARRIED,3,3,0
2. Brahmanic Hindus.,60 & over,MARRIED,352,184,168
2. Brahmanic Hindus.,60 & over,WIDOWED,231,41,190
2. Brahmanic Hindus.,60 & over,DIVORCED,0,0,0
2. Brahmanic Hindus.,Total,POPULATION,13702,5670,8032
2. Brahmanic Hindus.,Total,UNMARRIED,4093,2019,2074
2. Brahmanic Hindus.,Total,MARRIED,8216,3466,4750
2. Brahmanic Hindus.,Total,WIDOWED,1393,185,1208
2. Brahmanic Hindus.,Total,DIVORCED,0,0,0
3. Other Hindus,0-1,POPULATION,30621,15526,15095
3. Other Hindus,0-1,UNMARRIED,30612,15520,15092
