section,age,group,persons,males,females
All Religions,Total,POPULATION,971616,494061,477555
All Religions,Total,UNMARRIED,377641,222603,155038
All Religions,Total,MARRIED,488143,246916,241227
All Religions,Total,WIDOWED,105832,24542,81290
All Religions,0-1,POPULATION,26463,12860,13603
All Religions,0-1,UNMARRIED,26402,12843,13559
All Religions,0-1,MARRIED,43,17,26
All Religions,0-1,WIDOWED,18,0,18
All Religions,1-5,POPULATION,141302,68881,72421
All Religions,1-5,UNMARRIED,128652,64579,64073
All Religions,1-5,MARRIED,11087,4226,6861
All Religions,1-5,WIDOWED,1563,76,1487
All Religions,5-10,POPULATION,119405,59362,60043
All Religions,5-10,UNMARRIED,94447,53355,41092
All Religions,5-10,MARRIED,22811,5778,17033
All Religions,5-10,WIDOWED,2147,229,1918
All Religions,10-15,POPULATION,106725,54454,52271
All Religions,10-15,UNMARRIED,65599,43139,22460
All Religions,10-15,MARRIED,39147,10989,28158
All Religions,10-15,WIDOWED,1979,326,1653
All Religions,15-20,POPULATION,89684,43147,46537
All Religions,15-20,UNMARRIED,24904,20089,4815
All Religions,15-20,MARRIED,61667,22261,39406
All Religions,15-20,WIDOWED,3113,797,2316
All Religions,20-30,POPULATION,177624,89811,87813
All Religions,20-30,UNMARRIED,21152,17541,3611
All Religions,20-30,MARRIED,145359,69304,76055
All Religions,20-30,WIDOWED,11113,2966,8147
All Religions,30-40,POPULATION,126577,67914,58663
All Religions,30-40,UNMARRIED,6597,4681,1916
All Religions,30-40,MARRIED,102037,59688,42349
All Religions,30-40,WIDOWED,17943,3545,14398
All Religions,40-50,POPULATION,85671,46630,39041
All Religions,40-50,UNMARRIED,4333,2759,1574
All Religions,40-50,MARRIED,59316,39492,19824
All Religions,40-50,WIDOWED,22022,4379,17643
All Religions,50-60,POPULATION,53097,28398,24699
All Religions,50-60,UNMARRIED,3675,2710,965
All Religions,50-60,MARRIED,28127,20276,7851
All Religions,50-60,WIDOWED,21295,5412,15883
All Religions,60 and over,POPULATION,45068,22604,22464
All Religions,60 and over,UNMARRIED,1880,907,973
All Religions,60 and over,MARRIED,18549,14885,3664
All Religions,60 and over,WIDOWED,24639,6812,17827
Hindu (Brahmanic),0-1,POPULATION,16457,8055,8402
Hindu (Brahmanic),0-1,UNMARRIED,16399,8041,8358
Hindu (Brahmanic),0-1,MARRIED,40,14,26
Hindu (Brahmanic),0-1,WIDOWED,18,0,18
Hindu (Brahmanic),1-5,POPULATION,91045,43671,47374
Hindu (Brahmanic),1-5,UNMARRIED,79212,39813,39399
Hindu (Brahmanic),1-5,MARRIED,10324,3802,6522
Hindu (Brahmanic),1-5,WIDOWED,1509,56,1453
Hindu (Brahmanic),5-10,POPULATION,75866,36382,39484
Hindu (Brahmanic),5-10,UNMARRIED,56100,31476,24624
Hindu (Brahmanic),5-10,MARRIED,17733,4700,13033
Hindu (Brahmanic),5-10,WIDOWED,2033,206,1827
Hindu (Brahmanic),10-15,POPULATION,68617,34447,34170
Hindu (Brahmanic),10-15,UNMARRIED,38956,25801,13155
Hindu (Brahmanic),10-15,MARRIED,27915,8381,19534
Hindu (Brahmanic),10-15,WIDOWED,1746,265,1481
Hindu (Brahmanic),15-20,POPULATION,59880,28913,30967
Hindu (Brahmanic),15-20,UNMARRIED,16347,12768,3579
Hindu (Brahmanic),15-20,MARRIED,40962,15459,25503
Hindu (Brahmanic),15-20,WIDOWED,2571,686,1885
Hindu (Brahmanic),20-30,POPULATION,119150,61776,57374
Hindu (Brahmanic),20-30,UNMARRIED,15449,12722,2727
Hindu (Brahmanic),20-30,MARRIED,94992,46726,48266
Hindu (Brahmanic),20-30,WIDOWED,8709,2328,6381
Hindu (Brahmanic),30-40,POPULATION,81595,43377,38218
Hindu (Brahmanic),30-40,UNMARRIED,5135,3654,1481
Hindu (Brahmanic),30-40,MARRIED,62957,37029,25928
Hindu (Brahmanic),30-40,WIDOWED,13503,2694,10809
Hindu (Brahmanic),40-50,POPULATION,57382,30746,26636
Hindu (Brahmanic),40-50,UNMARRIED,3495,2133,1362
Hindu (Brahmanic),40-50,MARRIED,37422,25402,12020
Hindu (Brahmanic),40-50,WIDOWED,16465,3211,13254
Hindu (Brahmanic),50-60,POPULATION,36418,19811,16607
Hindu (Brahmanic),50-60,UNMARRIED,3253,2397,856
Hindu (Brahmanic),50-60,MARRIED,17429,13211,4218
Hindu (Brahmanic),50-60,WIDOWED,15736,4203,11533
Hindu (Brahmanic),60 and over,POPULATION,31517,15863,15654
Hindu (Brahmanic),60 and over,UNMARRIED,1605,710,895
Hindu (Brahmanic),60 and over,MARRIED,11443,9731,1712
Hindu (Brahmanic),60 and over,WIDOWED,18469,5422,13047
Hindu (Brahmanic),Total,POPULATION,637927,323041,314886
Hindu (Brahmanic),Total,UNMARRIED,235951,139515,96436
Hindu (Brahmanic),Total,MARRIED,321217,164455,156762
Hindu (Brahmanic),Total,WIDOWED,80759,19071,61688
Adi Hindu,Total,POPULATION,197784,100913,96871
Adi Hindu,Total,UNMARRIED,79382,46515,32867
Adi Hindu,Total,MARRIED,103727,51204,52523
Adi Hindu,Total,WIDOWED,14675,3194,11481
Adi Hindu,0-1,POPULATION,6145,2902,3243
Adi Hindu,0-1,UNMARRIED,6143,2900,3243
Adi Hindu,0-1,MARRIED,2,2,0
Adi Hindu,0-1,WIDOWED,0,0,0
Adi Hindu,1-5,POPULATION,29677,14876,14801
Adi Hindu,1-5,UNMARRIED,29382,14744,14638
Adi Hindu,1-5,MARRIED,245,112,133
Adi Hindu,1-5,WIDOWED,50,20,30
Adi Hindu,5-10,POPULATION,24855,12783,12072
Adi Hindu,5-10,UNMARRIED,21123,12162,8961
Adi Hindu,5-10,MARRIED,3633,599,3034
Adi Hindu,5-10,WIDOWED,99,22,77
Adi Hindu,10-15,POPULATION,22122,11430,10692
Adi Hindu,10-15,UNMARRIED,14425,9665,4760
Adi Hindu,10-15,MARRIED,7504,1713,5791
Adi Hindu,10-15,WIDOWED,193,52,141
Adi Hindu,15-20,POPULATION,17732,8390,9342
Adi Hindu,15-20,UNMARRIED,4076,3634,442
Adi Hindu,15-20,MARRIED,13262,4672,8590
Adi Hindu,15-20,WIDOWED,394,84,310
Adi Hindu,20-30,POPULATION,35768,17099,18669
Adi Hindu,20-30,UNMARRIED,2683,2267,416
Adi Hindu,20-30,MARRIED,31526,14434,17092
Adi Hindu,20-30,WIDOWED,1559,398,1161
Adi Hindu,30-40,POPULATION,27086,14440,12646
Adi Hindu,30-40,UNMARRIED,604,388,216
Adi Hindu,30-40,MARRIED,23634,13511,10123
Adi Hindu,30-40,WIDOWED,2848,541,2307
Adi Hindu,40-50,POPULATION,17270,9975,7295
Adi Hindu,40-50,UNMARRIED,532,440,92
Adi Hindu,40-50,MARRIED,13481,8835,4646
Adi Hindu,40-50,WIDOWED,3257,700,2557
Adi Hindu,50-60,POPULATION,9786,5328,4458
Adi Hindu,50-60,UNMARRIED,232,171,61
Adi Hindu,50-60,MARRIED,6398,4459,1939
Adi Hindu,50-60,WIDOWED,3156,698,2458
Adi Hindu,60 and over,POPULATION,7343,3690,3653
Adi Hindu,60 and over,UNMARRIED,182,144,38
Adi Hindu,60 and over,MARRIED,4042,2867,1175
Adi Hindu,60 and over,WIDOWED,3119,679,2440
