section,age,group,persons,males,females
1. ALL COMMUNITIES.,0-1,POPULATION,21729,11025,10704
1. ALL COMMUNITIES.,0-1,UNMARRIED,21631,10994,10637
1. ALL COMMUNITIES.,0-1,MARRIED,98,31,67
1. ALL COMMUNITIES.,0-1,WIDOWED,0,0,0
1. ALL COMMUNITIES.,0-1,DIVORCED,0,0,0
1. ALL COMMUNITIES.,1-5,POPULATION,87676,46160,41516
1. ALL COMMUNITIES.,1-5,UNMARRIED,86067,45941,40126
1. ALL COMMUNITIES.,1-5,MARRIED,1488,210,1278
1. ALL COMMUNITIES.,1-5,WIDOWED,121,9,112
1. ALL COMMUNITIES.,1-5,DIVORCED,0,0,0
1. ALL COMMUNITIES.,5-10,POPULATION,85348,38770,46578
1. ALL COMMUNITIES.,5-10,UNMARRIED,54522,35966,18556
1. ALL COMMUNITIES.,5-10,MARRIED,30068,2790,27278
1. ALL COMMUNITIES.,5-10,WIDOWED,756,14,742
1. ALL COMMUNITIES.,5-10,DIVORCED,2,0,2
1. ALL COMMUNITIES.,10-15,POPULATION,86984,35664,51320
1. ALL COMMUNITIES.,10-15,UNMARRIED,45360,28602,16758
1. ALL COMMUNITIES.,10-15,MARRIED,40141,7007,33134
1. ALL COMMUNITIES.,10-15,WIDOWED,1471,49,1422
1. ALL COMMUNITIES.,10-15,DIVORCED,12,6,6
1. ALL COMMUNITIES.,15-20,POPULATION,68258,31941,36317
1. ALL COMMUNITIES.,15-20,UNMARRIED,18915,14981,3934
1. ALL COMMUNITIES.,15-20,MARRIED,46915,16477,30438
1. ALL COMMUNITIES.,15-20,WIDOWED,2288,439,1849
1. ALL COMMUNITIES.,15-20,DIVORCED,140,44,96
1. ALL COMMUNITIES.,20-30,POPULATION,137055,71316,65739
1. ALL COMMUNITIES.,20-30,UNMARRIED,17779,15988,1791
1. ALL COMMUNITIES.,20-30,MARRIED,109405,53866,55539
1. ALL COMMUNITIES.,20-30,WIDOWED,9409,1332,8077
1. ALL COMMUNITIES.,20-30,DIVORCED,462,130,332
1. ALL COMMUNITIES.,30-40,POPULATION,103142,63159,39983
1. ALL COMMUNITIES.,30-40,UNMARRIED,5802,5101,701
1. ALL COMMUNITIES.,30-40,MARRIED,84445,55954,28491
1. ALL COMMUNITIES.,30-40,WIDOWED,12270,1895,10375
1. ALL COMMUNITIES.,30-40,DIVORCED,625,209,416
1. ALL COMMUNITIES.,40-50,POPULATION,77459,41014,36445
1. ALL COMMUNITIES.,40-50,UNMARRIED,2025,1641,384
1. ALL COMMUNITIES.,40-50,MARRIED,58687,36706,21981
1. ALL COMMUNITIES.,40-50,WIDOWED,16268,2518,13750
1. ALL COMMUNITIES.,40-50,DIVORCED,479,149,330
1. ALL COMMUNITIES.,50-60,POPULATION,48677,24840,23837
1. ALL COMMUNITIES.,50-60,UNMARRIED,763,522,241
1. ALL COMMUNITIES.,50-60,MARRIED,31223,19864,11359
1. ALL COMMUNITIES.,50-60,WIDOWED,16298,4322,11976
1. ALL COMMUNITIES.,50-60,DIVORCED,393,132,261
1. ALL COMMUNITIES.,60 & over,POPULATION,41892,21040,20852
1. ALL COMMUNITIES.,60 & over,UNMARRIED,525,363,162
1. ALL COMMUNITIES.,60 & over,MARRIED,21877,14465,7412
1. ALL COMMUNITIES.,60 & over,WIDOWED,19104,6090,13014
1. ALL COMMUNITIES.,60 & over,DIVORCED,386,122,264
1. ALL COMMUNITIES.,Total,POPULATION,758220,384929,373291
1. ALL COMMUNITIES.,Total,UNMARRIED,253389,160099,93290
1. ALL COMMUNITIES.,Total,MARRIED,424347,207370,216977
1. ALL COMMUNITIES.,Total,WIDOWED,77985,16668,61317
1. ALL COMMUNITIES.,Total,DIVORCED,2499,792,1707
2. Brahmanic Hindus.,0-1,POPULATION,138,61,77
2. Brahmanic Hindus.,0-1,UNMARRIED,138,61,77
2. Brahmanic Hindus.,0-1,MARRIED,0,0,0
2. Brahmanic Hindus.,0-1,WIDOWED,0,0,0
2. Brahmanic Hindus.,0-1,DIVORCED,0,0,0
2. Brahmanic Hindus.,1-5,POPULATION,633,240,393
2. Brahmanic Hindus.,1-5,UNMARRIED,633,240,393
2. Brahmanic Hindus.,1-5,MARRIED,0,0,0
2. Brahmanic Hindus.,1-5,WIDOWED,0,0,0
2. Brahmanic Hindus.,1-5,DIVORCED,0,0,0
2. Brahmanic Hindus.,5-10,POPULATION,613,238,375
2. Brahmanic Hindus.,5-10,UNMARRIED,568,238,330
2. Brahmanic Hindus.,5-10,MARRIED,45,0,45
2. Brahmanic Hindus.,5-10,WIDOWED,0,0,0
2. Brahmanic Hindus.,5-10,DIVORCED,0,0,0
2. Brahmanic Hindus.,10-15,POPULATION,870,245,625
2. Brahmanic Hindus.,10-15,UNMARRIED,608,201,407
2. Brahmanic Hindus.,10-15,MARRIED,262,44,218
2. Brahmanic Hindus.,10-15,WIDOWED,0,0,0
2. Brahmanic Hindus.,10-15,DIVORCED,0,0,0
2. Brahmanic Hindus.,15-20,POPULATION,784,390,394
2. Brahmanic Hindus.,15-20,UNMARRIED,343,225,118
2. Brahmanic Hindus.,15-20,MARRIED,439,165,274
2. Brahmanic Hindus.,15-20,WIDOWED,2,0,2
2. Brahmanic Hindus.,15-20,DIVORCED,0,0,0
2. Brahmanic Hindus.,20-30,POPULATION,1517,997,520
2. Brahmanic Hindus.,20-30,UNMARRIED,333,314,19
2. Brahmanic Hindus.,20-30,MARRIED,1144,674,470
2. Brahmanic Hindus.,20-30,WIDOWED,40,9,31
2. Brahmanic Hindus.,20-30,DIVORCED,0,0,0
2. Brahmanic Hindus.,30-40,POPULATION,1211,666,545
2. Brahmanic Hindus.,30-40,UNMARRIED,57,55,2
2. Brahmanic Hindus.,30-40,MARRIED,1087,601,486
2. Brahmanic Hindus.,30-40,WIDOWED,67,10,57
2. Brahmanic Hindus.,30-40,DIVORCED,0,0,0
2. Brahmanic Hindus.,40-50,POPULATION,1175,546,629
2. Brahmanic Hindus.,40-50,UNMARRIED,21,21,0
2. Brahmanic Hindus.,40-50,MARRIED,1072,524,548
2. Brahmanic Hindus.,40-50,WIDOWED,82,1,81
2. Brahmanic Hindus.,40-50,DIVORCED,0,0,0
2. Brahmanic Hindus.,50-60,POPULATION,1051,551,500
2. Brahmanic Hindus.,50-60,UNMARRIED,17,17,0
2. Brahmanic Hindus.,50-60,MARRIED,951,515,436
2. Brahmanic Hindus.,50-60,WIDOWED,83,19,64
2. Brahmanic Hindus.,50-60,DIVORCED,0,0,0
2. Brahmanic Hindus.,60 & over,POPULATION,510,266,244
2. Brahmanic Hindus.,60 & over,UNMARRIED,13,13,0
2. Brahmanic Hindus.,60 & over,MARRIED,445,236,209
2. Brahmanic Hindus.,60 & over,WIDOWED,52,17,35
2. Brahmanic Hindus.,60 & over,DIVORCED,0,0,0
2. Brahmanic Hindus.,Total,POPULATION,8502,4200,4302
