section,age,group,persons,males,females
TABLE VIII. PART A. Not Stated.,,Total. Civil Condition not stated.,46,21,25
TABLE VIII. PART A. Not Stated.,,0-4,0,0,0
TABLE VIII. PART A. Not Stated.,,5-9,1,0,1
TABLE VIII. PART A. Not Stated.,,10-14,6,4,2
TABLE VIII. PART A. Not Stated.,,15-19,6,6,0
TABLE VIII. PART A. Not Stated.,,20-24,4,4,0
TABLE VIII. PART A. Not Stated.,,25-29,2,1,1
TABLE VIII. PART A. Not Stated.,,30-34,1,0,1
TABLE VIII. PART A. Not Stated.,,Total. Civil Condition not stated.,1,1,0
TABLE VIII. PART A. Not Stated.,,0-4,0,0,0
TABLE VIII. PART A. Not Stated.,,5-9,0,0,0
TABLE VIII. PART A. Not Stated.,,10-14,0,0,0
TABLE VIII. PART A. Not Stated.,,15-19,0,0,0
TABLE VIII. PART A. Not Stated.,,20-24,0,0,0
TABLE VIII. PART A. Not Stated.,,25-29,0,0,0
TABLE VIII. PART A. Not Stated.,,30-34,0,0,0
TABLE VIII. PART A. Not Stated.,,Total. Civil Condition not stated.,39,13,26
TABLE VIII. PART A. Not Stated.,,0-4,0,0,0
TABLE VIII. PART A. Not Stated.,,5-9,0,0,0
TABLE VIII. PART A. Not Stated.,,10-14,0,0,0
TABLE VIII. PART A. Not Stated.,,15-19,0,0,0
TABLE VIII. PART A. Not Stated.,,20-24,0,0,0
TABLE VIII. PART A. Not Stated.,,25-29,0,0,0
TABLE VIII. PART A. Not Stated.,,30-34,0,0,0
TABLE VIII. PART A. Not Stated.,,Total. Civil Condition not stated.,9,1,8
TABLE VIII. PART A. Not Stated.,,0-4,0,0,0
TABLE VIII. PART A. Not Stated.,,5-9,0,0,0
TABLE VIII. PART A. Not Stated.,,10-14,0,0,0
TABLE VIII. PART A. Not Stated.,,15-19,0,0,0
TABLE VIII. PART A. Not Stated.,,20-24,0,0,0
TABLE VIII. PART A. Not Stated.,,25-29,0,0,0
TABLE VIII. PART A. Not Stated.,,30-34,0,0,0
TABLE VIII. PART A. Not Stated.,,Total. Civil Condition not stated.,28,24,4
TABLE VIII. PART A. Not Stated.,,0-4,0,0,0
TABLE VIII. PART A. Not Stated.,,5-9,0,0,0
TABLE VIII. PART A. Not Stated.,,10-14,0,0,0
TABLE VIII. PART A. Not Stated.,,15-19,0,0,0
TABLE VIII. PART A. Not Stated.,,20-24,0,0,0
TABLE VIII. PART A. Not Stated.,,25-29,0,0,0
TABLE VIII. PART A. Not Stated.,,30-34,0,0,0
TABLE VIII. PART A. Not Stated.,,Total. Civil Condition not stated.,0,0,0
TABLE VIII. PART A. Not Stated.,,0-4,0,0,0
TABLE VIII. PART A. Not Stated.,,5-9,0,0,0
TABLE VIII. PART A. Not Stated.,,10-14,0,0,0
TABLE VIII. PART A. Not Stated.,,15-19,0,0,0
TABLE VIII. PART A. Not Stated.,,20-24,0,0,0
TABLE VIII. PART A. Not Stated.,,25-29,0,0,0
TABLE VIII. PART A. Not Stated.,,30-34,0,0,0
TABLE VIII. PART A. Not Stated.,,Total. Civil Condition not stated.,23,4,19
TABLE VIII. PART A. Not Stated.,,0-4,0,0,0
TABLE VIII. PART A. Not Stated.,,5-9,0,0,0
TABLE VIII. PART A. Not Stated.,,10-14,0,0,0
TABLE VIII. PART A. Not Stated.,,15-19,0,0,0
TABLE VIII. PART A. Not Stated.,,20-24,0,0,0
TABLE VIII. PART A. Not Stated.,,25-29,0,0,0
TABLE VIII. PART A. Not Stated.,,30-34,0,0,0
TABLE VIII. PART A. Not Stated.,,Total. Civil Condition not stated.,0,0,0
TABLE VIII. PART A. Not Stated.,,0-4,0,0,0
TABLE VIII. PART A. Not Stated.,,5-9,0,0,0
TABLE VIII. PART A. Not Stated.,,10-14,0,0,0
TABLE VIII. PART A. Not Stated.,,15-19,0,0,0
TABLE VIII. PART A. Not Stated.,,20-24,0,0,0
TABLE VIII. PART A. Not Stated.,,25-29,0,0,0
TABLE VIII. PART A. Not Stated.,,30-34,0,0,0
TABLE VIII. PART A. Not Stated.,,Total. Civil Condition not stated.,146,64,82
TABLE VIII. PART A. Not Stated.,,0-4,0,0,0
TABLE VIII. PART A. Not Stated.,,5-9,1,0,1
TABLE VIII. PART A. Not Stated.,,10-14,6,4,2
TABLE VIII. PART A. Not Stated.,,15-19,6,6,0
TABLE VIII. PART A. Not Stated.,,20-24,4,4,0
TABLE VIII. PART A. Not Stated.,,25-29,2,1,1
TABLE VIII. PART A. Not Stated.,,30-34,1,0,1
TABLE VIII. PART A. Not Stated.,,Total. Civil Condition not stated.,34,19,15
TABLE VIII. PART A. Not Stated.,,0-4,6,1,5
TABLE VIII. PART A. Not Stated.,,5-9,5,4,1
TABLE VIII. PART A. Not Stated.,,10-14,3,1,2
TABLE VIII. PART A. Not Stated.,,15-19,3,2,1
TABLE VIII. PART A. Not Stated.,,20-24,4,1,3
TABLE VIII. PART A. Not Stated.,,25-29,2,2,0
TABLE VIII. PART A. Not Stated.,,30-34,1,0,1
TABLE VIII. PART A. Not Stated.,,Total. Civil Condition not stated.,180,83,97
TABLE VIII. PART A. Not Stated.,,0-4,6,1,5
TABLE VIII. PART A. Not Stated.,,5-9,6,4,2
TABLE VIII. PART A. Not Stated.,,10-14,9,5,4
TABLE VIII. PART A. Not Stated.,,15-19,9,8,1
TABLE VIII. PART A. Not Stated.,,20-24,8,5,3
TABLE VIII. PART A. Not Stated.,,25-29,4,3,1
TABLE VIII. PART A. Not Stated.,,30-34,2,0,2
