section,age,group,persons,males,females
1. ALL COMMUNITIES.,0-1,POPULATION,37091,17077,20014
1. ALL COMMUNITIES.,0-1,UNMARRIED,37069,17077,19992
1. ALL COMMUNITIES.,0-1,MARRIED,22,0,22
1. ALL COMMUNITIES.,0-1,WIDOWED,0,0,0
1. ALL COMMUNITIES.,0-1,DIVORCED,0,0,0
1. ALL COMMUNITIES.,1-5,POPULATION,161202,82310,78892
1. ALL COMMUNITIES.,1-5,UNMARRIED,155754,80205,75549
1. ALL COMMUNITIES.,1-5,MARRIED,5323,2052,3271
1. ALL COMMUNITIES.,1-5,WIDOWED,125,53,72
1. ALL COMMUNITIES.,1-5,DIVORCED,0,0,0
1. ALL COMMUNITIES.,5-10,POPULATION,156174,81118,75056
1. ALL COMMUNITIES.,5-10,UNMARRIED,131653,77322,54331
1. ALL COMMUNITIES.,5-10,MARRIED,23847,3684,20163
1. ALL COMMUNITIES.,5-10,WIDOWED,627,110,517
1. ALL COMMUNITIES.,5-10,DIVORCED,47,2,45
1. ALL COMMUNITIES.,10-15,POPULATION,145487,77524,67963
1. ALL COMMUNITIES.,10-15,UNMARRIED,89682,59007,30675
1. ALL COMMUNITIES.,10-15,MARRIED,52682,17574,35108
1. ALL COMMUNITIES.,10-15,WIDOWED,2499,911,1588
1. ALL COMMUNITIES.,10-15,DIVORCED,624,32,592
1. ALL COMMUNITIES.,15-20,POPULATION,137320,68522,68798
1. ALL COMMUNITIES.,15-20,UNMARRIED,40313,35352,4961
1. ALL COMMUNITIES.,15-20,MARRIED,93401,32255,61146
1. ALL COMMUNITIES.,15-20,WIDOWED,3362,882,2480
1. ALL COMMUNITIES.,15-20,DIVORCED,244,33,211
1. ALL COMMUNITIES.,20-30,POPULATION,206894,108752,98142
1. ALL COMMUNITIES.,20-30,UNMARRIED,27388,24534,2854
1. ALL COMMUNITIES.,20-30,MARRIED,166321,81954,84367
1. ALL COMMUNITIES.,20-30,WIDOWED,12252,2030,10222
1. ALL COMMUNITIES.,20-30,DIVORCED,933,234,699
1. ALL COMMUNITIES.,30-40,POPULATION,172356,88357,83999
1. ALL COMMUNITIES.,30-40,UNMARRIED,4417,3060,1357
1. ALL COMMUNITIES.,30-40,MARRIED,145766,81337,64429
1. ALL COMMUNITIES.,30-40,WIDOWED,21032,3595,17437
1. ALL COMMUNITIES.,30-40,DIVORCED,1141,365,776
1. ALL COMMUNITIES.,40-50,POPULATION,120689,60455,60234
1. ALL COMMUNITIES.,40-50,UNMARRIED,2001,1143,858
1. ALL COMMUNITIES.,40-50,MARRIED,90744,54122,36622
1. ALL COMMUNITIES.,40-50,WIDOWED,26903,4811,22092
1. ALL COMMUNITIES.,40-50,DIVORCED,1041,379,662
1. ALL COMMUNITIES.,50-60,POPULATION,77787,41388,36399
1. ALL COMMUNITIES.,50-60,UNMARRIED,1259,800,459
1. ALL COMMUNITIES.,50-60,MARRIED,49463,35044,14419
1. ALL COMMUNITIES.,50-60,WIDOWED,26184,5234,20950
1. ALL COMMUNITIES.,50-60,DIVORCED,881,310,571
1. ALL COMMUNITIES.,60 & over,POPULATION,60352,30463,29889
1. ALL COMMUNITIES.,60 & over,UNMARRIED,909,594,315
1. ALL COMMUNITIES.,60 & over,MARRIED,30768,22331,8437
1. ALL COMMUNITIES.,60 & over,WIDOWED,28029,7284,20745
1. ALL COMMUNITIES.,60 & over,DIVORCED,646,254,392
1. ALL COMMUNITIES.,Total,POPULATION,1275352,655966,619386
1. ALL COMMUNITIES.,Total,UNMARRIED,490445,299094,191351
1. ALL COMMUNITIES.,Total,MARRIED,658337,330353,327984
1. ALL COMMUNITIES.,Total,WIDOWED,121013,24910,96103
1. ALL COMMUNITIES.,Total,DIVORCED,5557,1609,3948
