section,age,group,persons,males,females
1. ALL COMMUNITIES.,Total,POPULATION,803115,409065,394050
1. ALL COMMUNITIES.,Total,UNMARRIED,260600,152879,107721
1. ALL COMMUNITIES.,Total,MARRIED,456924,231193,225731
1. ALL COMMUNITIES.,Total,WIDOWED,80690,23419,57271
1. ALL COMMUNITIES.,Total,DIVORCED,4901,1574,3327
1. ALL COMMUNITIES.,0-1,POPULATION,22066,11181,10885
1. ALL COMMUNITIES.,0-1,UNMARRIED,21846,11092,10754
1. ALL COMMUNITIES.,0-1,MARRIED,220,89,131
1. ALL COMMUNITIES.,0-1,WIDOWED,0,0,0
1. ALL COMMUNITIES.,0-1,DIVORCED,0,0,0
1. ALL COMMUNITIES.,1-5,POPULATION,95398,47974,47424
1. ALL COMMUNITIES.,1-5,UNMARRIED,92573,46853,45720
1. ALL COMMUNITIES.,1-5,MARRIED,2644,1121,1523
1. ALL COMMUNITIES.,1-5,WIDOWED,181,0,181
1. ALL COMMUNITIES.,1-5,DIVORCED,0,0,0
1. ALL COMMUNITIES.,5-10,POPULATION,90510,45083,45427
1. ALL COMMUNITIES.,5-10,UNMARRIED,68286,39305,28981
1. ALL COMMUNITIES.,5-10,MARRIED,21851,5767,16084
1. ALL COMMUNITIES.,5-10,WIDOWED,373,11,362
1. ALL COMMUNITIES.,5-10,DIVORCED,0,0,0
1. ALL COMMUNITIES.,10-15,POPULATION,86455,47089,39366
1. ALL COMMUNITIES.,10-15,UNMARRIED,48086,32378,15708
1. ALL COMMUNITIES.,10-15,MARRIED,37569,14627,22942
1. ALL COMMUNITIES.,10-15,WIDOWED,791,83,708
1. ALL COMMUNITIES.,10-15,DIVORCED,9,1,8
1. ALL COMMUNITIES.,15-20,POPULATION,68758,32164,36594
1. ALL COMMUNITIES.,15-20,UNMARRIED,14624,10972,3652
1. ALL COMMUNITIES.,15-20,MARRIED,52285,20549,31736
1. ALL COMMUNITIES.,15-20,WIDOWED,1657,578,1079
1. ALL COMMUNITIES.,15-20,DIVORCED,192,65,127
1. ALL COMMUNITIES.,20-30,POPULATION,133641,64563,69078
1. ALL COMMUNITIES.,20-30,UNMARRIED,8899,7522,1377
1. ALL COMMUNITIES.,20-30,MARRIED,116467,53961,62506
1. ALL COMMUNITIES.,20-30,WIDOWED,7322,2755,4567
1. ALL COMMUNITIES.,20-30,DIVORCED,953,325,628
1. ALL COMMUNITIES.,30-40,POPULATION,106989,53920,53069
1. ALL COMMUNITIES.,30-40,UNMARRIED,3023,2351,672
1. ALL COMMUNITIES.,30-40,MARRIED,88967,47282,41685
1. ALL COMMUNITIES.,30-40,WIDOWED,14106,3980,10126
1. ALL COMMUNITIES.,30-40,DIVORCED,893,307,586
1. ALL COMMUNITIES.,40-50,POPULATION,87173,47809,39364
1. ALL COMMUNITIES.,40-50,UNMARRIED,1594,1143,451
1. ALL COMMUNITIES.,40-50,MARRIED,68273,41633,26640
1. ALL COMMUNITIES.,40-50,WIDOWED,16308,4743,11565
1. ALL COMMUNITIES.,40-50,DIVORCED,998,290,708
1. ALL COMMUNITIES.,50-60,POPULATION,65615,34837,30778
1. ALL COMMUNITIES.,50-60,UNMARRIED,979,714,265
1. ALL COMMUNITIES.,50-60,MARRIED,45100,29057,16043
1. ALL COMMUNITIES.,50-60,WIDOWED,18575,4783,13792
1. ALL COMMUNITIES.,50-60,DIVORCED,961,283,678
1. ALL COMMUNITIES.,60 & over,POPULATION,46510,24445,22065
1. ALL COMMUNITIES.,60 & over,UNMARRIED,690,549,141
1. ALL COMMUNITIES.,60 & over,MARRIED,23548,17107,6441
1. ALL COMMUNITIES.,60 & over,WIDOWED,21377,6486,14891
1. ALL COMMUNITIES.,60 & over,DIVORCED,895,303,592
