section,age,group,persons,males,females
All Religions,0-1,POPULATION,18697,9301,9396
All Religions,0-1,UNMARRIED,17922,8906,9016
All Religions,0-1,MARRIED,774,395,379
All Religions,0-1,WIDOWED,1,0,1
All Religions,1-5,POPULATION,81765,40235,41530
All Religions,1-5,UNMARRIED,72797,37399,35398
All Religions,1-5,MARRIED,8819,2818,6001
All Religions,1-5,WIDOWED,149,18,131
All Religions,5-10,POPULATION,73247,37848,35399
All Religions,5-10,UNMARRIED,48236,29398,18838
All Religions,5-10,MARRIED,24525,8336,16189
All Religions,5-10,WIDOWED,486,114,372
All Religions,10-15,POPULATION,64874,33100,31774
All Religions,10-15,UNMARRIED,30149,21370,8779
All Religions,10-15,MARRIED,33647,11493,22154
All Religions,10-15,WIDOWED,1078,237,841
All Religions,15-20,POPULATION,56236,26285,29951
All Religions,15-20,UNMARRIED,10711,8363,2348
All Religions,15-20,MARRIED,43722,17506,26216
All Religions,15-20,WIDOWED,1803,416,1387
All Religions,20-30,POPULATION,116883,58392,58491
All Religions,20-30,UNMARRIED,11425,7888,3537
All Religions,20-30,MARRIED,99088,49024,50064
All Religions,20-30,WIDOWED,6370,1480,4890
All Religions,30-40,POPULATION,85154,44900,40254
All Religions,30-40,UNMARRIED,5154,2949,2205
All Religions,30-40,MARRIED,68096,39319,28777
All Religions,30-40,WIDOWED,11904,2632,9272
All Religions,40-50,POPULATION,61720,32122,29598
All Religions,40-50,UNMARRIED,3434,1859,1575
All Religions,40-50,MARRIED,40983,26117,14866
All Religions,40-50,WIDOWED,17303,4146,13157
All Religions,50-60,POPULATION,36316,18116,18200
All Religions,50-60,UNMARRIED,1516,897,619
All Religions,50-60,MARRIED,19415,13766,5649
All Religions,50-60,WIDOWED,15385,3453,11932
All Religions,60 and over,POPULATION,28333,13257,15076
All Religions,60 and over,UNMARRIED,1090,537,553
All Religions,60 and over,MARRIED,12045,8863,3182
All Religions,60 and over,WIDOWED,15198,3857,11341
All Religions,Total,POPULATION,623225,313556,309669
All Religions,Total,UNMARRIED,202434,119566,82868
All Religions,Total,MARRIED,351114,177637,173477
All Religions,Total,WIDOWED,69677,16353,53324
Hindu (Brahmanic),0-1,POPULATION,12531,5986,6545
Hindu (Brahmanic),0-1,UNMARRIED,12128,5592,6536
Hindu (Brahmanic),0-1,MARRIED,402,394,8
Hindu (Brahmanic),0-1,WIDOWED,1,0,1
Hindu (Brahmanic),1-5,POPULATION,54814,26886,27928
Hindu (Brahmanic),1-5,UNMARRIED,49699,24400,25299
Hindu (Brahmanic),1-5,MARRIED,4995,2471,2524
Hindu (Brahmanic),1-5,WIDOWED,120,15,105
Hindu (Brahmanic),5-10,POPULATION,52641,26908,25733
Hindu (Brahmanic),5-10,UNMARRIED,32367,19818,12549
Hindu (Brahmanic),5-10,MARRIED,19874,6990,12884
Hindu (Brahmanic),5-10,WIDOWED,400,100,300
Hindu (Brahmanic),10-15,POPULATION,46801,23726,23075
Hindu (Brahmanic),10-15,UNMARRIED,19028,14156,4872
Hindu (Brahmanic),10-15,MARRIED,26895,9367,17528
Hindu (Brahmanic),10-15,WIDOWED,878,203,675
Hindu (Brahmanic),15-20,POPULATION,40468,19064,21404
Hindu (Brahmanic),15-20,UNMARRIED,5860,5135,725
Hindu (Brahmanic),15-20,MARRIED,33285,13584,19701
Hindu (Brahmanic),15-20,WIDOWED,1323,345,978
Hindu (Brahmanic),20-30,POPULATION,83662,42291,41371
Hindu (Brahmanic),20-30,UNMARRIED,6205,5357,848
Hindu (Brahmanic),20-30,MARRIED,72882,35762,37120
Hindu (Brahmanic),20-30,WIDOWED,4575,1172,3403
Hindu (Brahmanic),30-40,POPULATION,59802,31688,28114
Hindu (Brahmanic),30-40,UNMARRIED,2921,2389,532
Hindu (Brahmanic),30-40,MARRIED,48253,27241,21012
Hindu (Brahmanic),30-40,WIDOWED,8628,2058,6570
Hindu (Brahmanic),40-50,POPULATION,43918,22637,21281
Hindu (Brahmanic),40-50,UNMARRIED,2465,1613,852
Hindu (Brahmanic),40-50,MARRIED,28751,17750,11001
Hindu (Brahmanic),40-50,WIDOWED,12702,3274,9428
Hindu (Brahmanic),50-60,POPULATION,26211,12829,13382
Hindu (Brahmanic),50-60,UNMARRIED,1157,814,343
Hindu (Brahmanic),50-60,MARRIED,13741,9453,4288
Hindu (Brahmanic),50-60,WIDOWED,11313,2562,8751
Hindu (Brahmanic),60 and over,POPULATION,19114,8860,10254
Hindu (Brahmanic),60 and over,UNMARRIED,829,469,360
Hindu (Brahmanic),60 and over,MARRIED,7594,5612,1982
Hindu (Brahmanic),60 and over,WIDOWED,10691,2779,7912
Hindu (Brahmanic),Total,POPULATION,439962,220875,219087
Hindu (Brahmanic),Total,UNMARRIED,132659,79743,52916
Hindu (Brahmanic),Total,MARRIED,256672,128624,128048
Hindu (Brahmanic),Total,WIDOWED,50631,12508,38123
Adi-Hindu,Total,POPULATION,103061,51751,51310
Adi-Hindu,Total,UNMARRIED,38212,21290,16922
Adi-Hindu,Total,MARRIED,54123,28223,25900
Adi-Hindu,Total,WIDOWED,10726,2238,8488
Adi-Hindu,0-1,POPULATION,3424,1801,1623
Adi-Hindu,0-1,UNMARRIED,3052,1800,1252
Adi-Hindu,0-1,MARRIED,372,1,371
Adi-Hindu,0-1,WIDOWED,0,0,0
Adi-Hindu,1-5,POPULATION,15065,7018,8047
Adi-Hindu,1-5,UNMARRIED,11433,6762,4671
Adi-Hindu,1-5,MARRIED,3619,253,3366
Adi-Hindu,1-5,WIDOWED,13,3,10
