section,age,group,persons,males,females
All Religions,0-1,POPULATION,24449,12199,12250
All Religions,0-1,UNMARRIED,23176,11922,11254
All Religions,0-1,MARRIED,1256,270,986
All Religions,0-1,WIDOWED,17,7,10
All Religions,1-5,POPULATION,94661,46381,48280
All Religions,1-5,UNMARRIED,84775,42429,42346
All Religions,1-5,MARRIED,9444,3704,5740
All Religions,1-5,WIDOWED,442,248,194
All Religions,5-10,POPULATION,85887,43378,42509
All Religions,5-10,UNMARRIED,62152,34460,27692
All Religions,5-10,MARRIED,22879,8517,14362
All Religions,5-10,WIDOWED,856,401,455
All Religions,10-15,POPULATION,77831,40909,36922
All Religions,10-15,UNMARRIED,43047,27733,15314
All Religions,10-15,MARRIED,33570,12676,20894
All Religions,10-15,WIDOWED,1214,500,714
All Religions,15-20,POPULATION,58731,29458,29273
All Religions,15-20,UNMARRIED,13293,10742,2551
All Religions,15-20,MARRIED,43650,17955,25695
All Religions,15-20,WIDOWED,1788,761,1027
All Religions,20-30,POPULATION,118651,59611,59040
All Religions,20-30,UNMARRIED,10735,7384,3351
All Religions,20-30,MARRIED,99929,49475,50454
All Religions,20-30,WIDOWED,7987,2752,5235
All Religions,30-40,POPULATION,93982,49487,44495
All Religions,30-40,UNMARRIED,4213,2066,2147
All Religions,30-40,MARRIED,76449,42863,33586
All Religions,30-40,WIDOWED,13320,4558,8762
All Religions,40-50,POPULATION,63590,34591,28999
All Religions,40-50,UNMARRIED,1995,977,1018
All Religions,40-50,MARRIED,45539,28107,17432
All Religions,40-50,WIDOWED,16056,5507,10549
All Religions,50-60,POPULATION,39266,22425,16841
All Religions,50-60,UNMARRIED,867,414,453
All Religions,50-60,MARRIED,23994,16694,7300
All Religions,50-60,WIDOWED,14405,5317,9088
All Religions,60 and over,POPULATION,34020,19050,14970
All Religions,60 and over,UNMARRIED,681,397,284
All Religions,60 and over,MARRIED,17422,11815,5607
All Religions,60 and over,WIDOWED,15917,6838,9079
All Religions,Total,POPULATION,691068,357489,333579
All Religions,Total,UNMARRIED,244934,138524,106410
All Religions,Total,MARRIED,374132,192076,182056
All Religions,Total,WIDOWED,72002,26889,45113
Hindu (Brahmanic),0-1,POPULATION,15847,7933,7914
Hindu (Brahmanic),0-1,UNMARRIED,14792,7827,6965
Hindu (Brahmanic),0-1,MARRIED,1047,105,942
Hindu (Brahmanic),0-1,WIDOWED,8,1,7
Hindu (Brahmanic),1-5,POPULATION,61390,30370,31020
Hindu (Brahmanic),1-5,UNMARRIED,53835,27330,26505
Hindu (Brahmanic),1-5,MARRIED,7236,2830,4406
Hindu (Brahmanic),1-5,WIDOWED,319,210,109
Hindu (Brahmanic),5-10,POPULATION,57038,28702,28336
Hindu (Brahmanic),5-10,UNMARRIED,40072,22273,17799
Hindu (Brahmanic),5-10,MARRIED,16347,6117,10230
Hindu (Brahmanic),5-10,WIDOWED,619,312,307
Hindu (Brahmanic),10-15,POPULATION,52679,27803,24876
Hindu (Brahmanic),10-15,UNMARRIED,28407,18495,9912
Hindu (Brahmanic),10-15,MARRIED,23289,8884,14405
Hindu (Brahmanic),10-15,WIDOWED,983,424,559
Hindu (Brahmanic),15-20,POPULATION,40066,20389,19677
Hindu (Brahmanic),15-20,UNMARRIED,9247,7537,1710
Hindu (Brahmanic),15-20,MARRIED,29402,12213,17189
Hindu (Brahmanic),15-20,WIDOWED,1417,639,778
Hindu (Brahmanic),20-30,POPULATION,80060,40436,39624
Hindu (Brahmanic),20-30,UNMARRIED,7583,4987,2596
Hindu (Brahmanic),20-30,MARRIED,66358,33237,33121
Hindu (Brahmanic),20-30,WIDOWED,6119,2212,3907
Hindu (Brahmanic),30-40,POPULATION,63875,33932,29943
Hindu (Brahmanic),30-40,UNMARRIED,3301,1422,1879
Hindu (Brahmanic),30-40,MARRIED,50747,28990,21757
Hindu (Brahmanic),30-40,WIDOWED,9827,3520,6307
Hindu (Brahmanic),40-50,POPULATION,43384,23596,19788
Hindu (Brahmanic),40-50,UNMARRIED,1517,603,914
Hindu (Brahmanic),40-50,MARRIED,29950,18735,11215
Hindu (Brahmanic),40-50,WIDOWED,11917,4258,7659
Hindu (Brahmanic),50-60,POPULATION,26912,15345,11567
Hindu (Brahmanic),50-60,UNMARRIED,689,308,381
Hindu (Brahmanic),50-60,MARRIED,15666,11065,4601
Hindu (Brahmanic),50-60,WIDOWED,10557,3972,6585
Hindu (Brahmanic),60 and over,POPULATION,23204,12867,10337
Hindu (Brahmanic),60 and over,UNMARRIED,414,202,212
Hindu (Brahmanic),60 and over,MARRIED,11176,7633,3543
Hindu (Brahmanic),60 and over,WIDOWED,11614,5032,6582
Hindu (Brahmanic),Total,POPULATION,464455,241373,223082
Hindu (Brahmanic),Total,UNMARRIED,159857,90984,68873
Hindu (Brahmanic),Total,MARRIED,251218,129809,121409
Hindu (Brahmanic),Total,WIDOWED,53380,20580,32800
Adi Hindu,0-1,POPULATION,4852,2415,2437
Adi Hindu,0-1,UNMARRIED,4680,2270,2410
Adi Hindu,0-1,MARRIED,168,142,26
Adi Hindu,0-1,WIDOWED,4,3,1
Adi Hindu,1-5,POPULATION,19368,9069,10299
Adi Hindu,1-5,UNMARRIED,18055,8617,9438
Adi Hindu,1-5,MARRIED,1225,417,808
Adi Hindu,1-5,WIDOWED,88,35,53
Adi Hindu,5-10,POPULATION,16892,8628,8264
Adi Hindu,5-10,UNMARRIED,12577,7155,5422
Adi Hindu,5-10,MARRIED,4141,1401,2740
Adi Hindu,5-10,WIDOWED,174,72,102
Adi Hindu,10-15,POPULATION,14412,7602,6810
Adi Hindu,10-15,UNMARRIED,7931,5284,2647
Adi Hindu,10-15,MARRIED,6373,2280,4093
Adi Hindu,10-15,WIDOWED,108,38,70
Adi Hindu,15-20,POPULATION,10516,4994,5522
Adi Hindu,15-20,UNMARRIED,1767,1435,332
Adi Hindu,15-20,MARRIED,8567,3503,5064
Adi Hindu,15-20,WIDOWED,182,56,126
Adi Hindu,20-30,POPULATION,22630,10912,11718
Adi Hindu,20-30,UNMARRIED,1193,861,332
Adi Hindu,20-30,MARRIED,20472,9797,10675
Adi Hindu,20-30,WIDOWED,965,254,711
Adi Hindu,30-40,POPULATION,17669,8934,8735
Adi Hindu,30-40,UNMARRIED,357,218,139
Adi Hindu,30-40,MARRIED,15405,8225,7180
Adi Hindu,30-40,WIDOWED,1907,491,1416
Adi Hindu,40-50,POPULATION,11706,6287,5419
Adi Hindu,40-50,UNMARRIED,199,142,57
Adi Hindu,40-50,MARRIED,9212,5451,3761
Adi Hindu,40-50,WIDOWED,2295,694,1601
Adi Hindu,50-60,POPULATION,7318,4243,3075
Adi Hindu,50-60,UNMARRIED,79,45,34
Adi Hindu,50-60,MARRIED,4972,3419,1553
Adi Hindu,50-60,WIDOWED,2267,779,1488
Adi Hindu,60 and over,POPULATION,6541,3837,2704
Adi Hindu,60 and over,UNMARRIED,151,108,43
Adi Hindu,60 and over,MARRIED,3854,2622,1232
Adi Hindu,60 and over,WIDOWED,2536,1107,1429
Adi Hindu,Total,POPULATION,131904,66921,64983
Adi Hindu,Total,UNMARRIED,46989,26135,20854
Adi Hindu,Total,MARRIED,74389,37257,37132
Adi Hindu,Total,WIDOWED,10526,3529,6997
