section,age,group,persons,males,females
1. ALL COMMUNITIES.,0-1,POPULATION,26288,12434,13854
1. ALL COMMUNITIES.,0-1,UNMARRIED,26125,12345,13780
1. ALL COMMUNITIES.,0-1,MARRIED,156,88,68
1. ALL COMMUNITIES.,0-1,WIDOWED,7,1,6
1. ALL COMMUNITIES.,0-1,DIVORCED,0,0,0
1. ALL COMMUNITIES.,1-5,POPULATION,121009,59254,61755
1. ALL COMMUNITIES.,1-5,UNMARRIED,116638,57200,59438
1. ALL COMMUNITIES.,1-5,MARRIED,4104,1994,2110
1. ALL COMMUNITIES.,1-5,WIDOWED,267,60,207
1. ALL COMMUNITIES.,1-5,DIVORCED,0,0,0
1. ALL COMMUNITIES.,5-10,POPULATION,100679,54572,46107
1. ALL COMMUNITIES.,5-10,UNMARRIED,76284,43841,32443
1. ALL COMMUNITIES.,5-10,MARRIED,23956,10696,13260
1. ALL COMMUNITIES.,5-10,WIDOWED,439,35,404
1. ALL COMMUNITIES.,5-10,DIVORCED,0,0,0
1. ALL COMMUNITIES.,10-15,POPULATION,93547,53907,39640
1. ALL COMMUNITIES.,10-15,UNMARRIED,50199,34567,15632
1. ALL COMMUNITIES.,10-15,MARRIED,42508,19252,23256
1. ALL COMMUNITIES.,10-15,WIDOWED,840,88,752
1. ALL COMMUNITIES.,10-15,DIVORCED,0,0,0
1. ALL COMMUNITIES.,15-20,POPULATION,74766,38772,35994
1. ALL COMMUNITIES.,15-20,UNMARRIED,18763,12543,6220
1. ALL COMMUNITIES.,15-20,MARRIED,53919,25445,28474
1. ALL COMMUNITIES.,15-20,WIDOWED,1948,738,1210
1. ALL COMMUNITIES.,15-20,DIVORCED,136,46,90
1. ALL COMMUNITIES.,20-30,POPULATION,154553,80006,74547
1. ALL COMMUNITIES.,20-30,UNMARRIED,10977,9165,1812
1. ALL COMMUNITIES.,20-30,MARRIED,134662,67686,66976
1. ALL COMMUNITIES.,20-30,WIDOWED,8318,2887,5431
1. ALL COMMUNITIES.,20-30,DIVORCED,596,268,328
1. ALL COMMUNITIES.,30-40,POPULATION,133992,65803,68189
1. ALL COMMUNITIES.,30-40,UNMARRIED,3356,2010,1346
1. ALL COMMUNITIES.,30-40,MARRIED,116577,58775,57802
1. ALL COMMUNITIES.,30-40,WIDOWED,13415,4709,8706
1. ALL COMMUNITIES.,30-40,DIVORCED,644,309,335
