section,age,group,persons,males,females
1. ALL COMMUNITIES,Total,POPULATION,1041959,529145,512814
1. ALL COMMUNITIES,Total,UNMARRIED,429824,249966,179858
1. ALL COMMUNITIES,Total,MARRIED,512666,257056,255610
1. ALL COMMUNITIES,Total,WIDOWED,94885,20939,73946
1. ALL COMMUNITIES,Total,DIVORCED,4584,1184,3400
1. ALL COMMUNITIES,0-1,POPULATION,27590,13025,14565
1. ALL COMMUNITIES,0-1,UNMARRIED,27411,12962,14449
1. ALL COMMUNITIES,0-1,MARRIED,166,61,105
1. ALL COMMUNITIES,0-1,WIDOWED,13,2,11
1. ALL COMMUNITIES,0-1,DIVORCED,0,0,0
1. ALL COMMUNITIES,1-5,POPULATION,125614,58253,67361
1. ALL COMMUNITIES,1-5,UNMARRIED,122469,57209,65260
1. ALL COMMUNITIES,1-5,MARRIED,2774,962,1812
1. ALL COMMUNITIES,1-5,WIDOWED,371,82,289
1. ALL COMMUNITIES,1-5,DIVORCED,0,0,0
1. ALL COMMUNITIES,5-10,POPULATION,115357,58475,56882
1. ALL COMMUNITIES,5-10,UNMARRIED,96387,52971,43416
1. ALL COMMUNITIES,5-10,MARRIED,18565,5398,13167
1. ALL COMMUNITIES,5-10,WIDOWED,398,106,292
1. ALL COMMUNITIES,5-10,DIVORCED,7,0,7
1. ALL COMMUNITIES,10-15,POPULATION,109815,62953,46862
1. ALL COMMUNITIES,10-15,UNMARRIED,81425,53295,28130
1. ALL COMMUNITIES,10-15,MARRIED,27525,9384,18141
1. ALL COMMUNITIES,10-15,WIDOWED,838,273,565
1. ALL COMMUNITIES,10-15,DIVORCED,27,1,26
1. ALL COMMUNITIES,15-20,POPULATION,101111,51242,49869
1. ALL COMMUNITIES,15-20,UNMARRIED,49380,32054,17326
1. ALL COMMUNITIES,15-20,MARRIED,49894,18793,31101
1. ALL COMMUNITIES,15-20,WIDOWED,1651,370,1281
1. ALL COMMUNITIES,15-20,DIVORCED,186,25,161
1. ALL COMMUNITIES,20-30,POPULATION,198816,104836,93980
1. ALL COMMUNITIES,20-30,UNMARRIED,33881,27638,6243
1. ALL COMMUNITIES,20-30,MARRIED,156228,75719,80509
1. ALL COMMUNITIES,20-30,WIDOWED,7874,1300,6574
1. ALL COMMUNITIES,20-30,DIVORCED,833,179,654
1. ALL COMMUNITIES,30-40,POPULATION,157477,80790,76687
1. ALL COMMUNITIES,30-40,UNMARRIED,12307,9303,3004
1. ALL COMMUNITIES,30-40,MARRIED,126541,68469,58072
1. ALL COMMUNITIES,30-40,WIDOWED,17494,2800,14694
1. ALL COMMUNITIES,30-40,DIVORCED,1135,218,917
1. ALL COMMUNITIES,40-50,POPULATION,101371,50187,51184
1. ALL COMMUNITIES,40-50,UNMARRIED,4502,3079,1423
1. ALL COMMUNITIES,40-50,MARRIED,73138,42881,30257
1. ALL COMMUNITIES,40-50,WIDOWED,22677,3959,18718
1. ALL COMMUNITIES,40-50,DIVORCED,1054,268,786
1. ALL COMMUNITIES,50-60,POPULATION,65362,30920,34442
1. ALL COMMUNITIES,50-60,UNMARRIED,1227,826,401
1. ALL COMMUNITIES,50-60,MARRIED,39536,23929,15607
1. ALL COMMUNITIES,50-60,WIDOWED,23867,5970,17897
1. ALL COMMUNITIES,50-60,DIVORCED,732,195,537
1. ALL COMMUNITIES,60 & over,POPULATION,39446,18464,20982
1. ALL COMMUNITIES,60 & over,UNMARRIED,835,629,206
1. ALL COMMUNITIES,60 & over,MARRIED,18299,11460,6839
1. ALL COMMUNITIES,60 & over,WIDOWED,19702,6077,13625
1. ALL COMMUNITIES,60 & over,DIVORCED,610,298,312
2. Brahmanic Hindus,Total,POPULATION,38574,19398,19176
2. Brahmanic Hindus,Total,UNMARRIED,13861,7311,6550
2. Brahmanic Hindus,Total,MARRIED,23055,11474,11581
2. Brahmanic Hindus,Total,WIDOWED,1654,610,1044
2. Brahmanic Hindus,Total,DIVORCED,4,3,1
2. Brahmanic Hindus,0-1,POPULATION,1134,573,561
2. Brahmanic Hindus,0-1,UNMARRIED,1134,573,561
2. Brahmanic Hindus,0-1,MARRIED,0,0,0
2. Brahmanic Hindus,0-1,WIDOWED,0,0,0
