section,age,group,persons,males,females
All Religions,0-1,POPULATION,31874,15626,16248
All Religions,0-1,UNMARRIED,31825,15599,16226
All Religions,0-1,MARRIED,47,27,20
All Religions,0-1,WIDOWED,2,0,2
All Religions,1-5,POPULATION,152214,73636,78578
All Religions,1-5,UNMARRIED,149574,72021,77553
All Religions,1-5,MARRIED,2532,1587,945
All Religions,1-5,WIDOWED,108,28,80
All Religions,5-10,POPULATION,142556,72643,69913
All Religions,5-10,UNMARRIED,123518,68158,55360
All Religions,5-10,MARRIED,18529,4413,14116
All Religions,5-10,WIDOWED,509,72,437
All Religions,10-15,POPULATION,122725,64312,58413
All Religions,10-15,UNMARRIED,86410,55709,30701
All Religions,10-15,MARRIED,35422,8487,26935
All Religions,10-15,WIDOWED,893,116,777
All Religions,15-20,POPULATION,100558,50512,50046
All Religions,15-20,UNMARRIED,32102,26659,5443
All Religions,15-20,MARRIED,66002,23469,42533
All Religions,15-20,WIDOWED,2454,384,2070
All Religions,20-30,POPULATION,210171,104086,106085
All Religions,20-30,UNMARRIED,23067,19436,3631
All Religions,20-30,MARRIED,176008,82777,93231
All Religions,20-30,WIDOWED,11096,1873,9223
All Religions,30-40,POPULATION,148213,80299,67914
All Religions,30-40,UNMARRIED,4822,3948,874
All Religions,30-40,MARRIED,125399,73157,52242
All Religions,30-40,WIDOWED,17992,3194,14798
All Religions,40-50,POPULATION,100273,56375,43898
All Religions,40-50,UNMARRIED,2466,1970,496
All Religions,40-50,MARRIED,73356,49695,23661
All Religions,40-50,WIDOWED,24451,4710,19741
All Religions,50-60,POPULATION,57884,31977,25907
All Religions,50-60,UNMARRIED,1268,1028,240
All Religions,50-60,MARRIED,34529,25914,8615
All Religions,50-60,WIDOWED,22087,5035,17052
All Religions,60 and over,POPULATION,51225,26353,24872
All Religions,60 and over,UNMARRIED,789,612,177
All Religions,60 and over,MARRIED,27348,19898,7450
All Religions,60 and over,WIDOWED,23088,5843,17245
All Religions,Total,POPULATION,1117693,575819,541874
All Religions,Total,UNMARRIED,455841,265140,190701
All Religions,Total,MARRIED,559172,289424,269748
All Religions,Total,WIDOWED,102680,21255,81425
Hindu (Brahmanic),0-1,POPULATION,19464,9642,9822
Hindu (Brahmanic),0-1,UNMARRIED,19443,9629,9814
Hindu (Brahmanic),0-1,MARRIED,20,13,7
Hindu (Brahmanic),0-1,WIDOWED,1,0,1
Hindu (Brahmanic),1-5,POPULATION,90209,43189,47020
Hindu (Brahmanic),1-5,UNMARRIED,88470,42073,46397
Hindu (Brahmanic),1-5,MARRIED,1671,1102,569
Hindu (Brahmanic),1-5,WIDOWED,68,14,54
Hindu (Brahmanic),5-10,POPULATION,89431,44871,44560
Hindu (Brahmanic),5-10,UNMARRIED,74865,41671,33194
Hindu (Brahmanic),5-10,MARRIED,14219,3158,11061
Hindu (Brahmanic),5-10,WIDOWED,347,42,305
Hindu (Brahmanic),10-15,POPULATION,77303,40654,36649
Hindu (Brahmanic),10-15,UNMARRIED,51319,34263,17056
Hindu (Brahmanic),10-15,MARRIED,25345,6322,19023
Hindu (Brahmanic),10-15,WIDOWED,639,69,570
Hindu (Brahmanic),15-20,POPULATION,64071,33021,31050
Hindu (Brahmanic),15-20,UNMARRIED,19265,16053,3212
Hindu (Brahmanic),15-20,MARRIED,43019,16747,26272
Hindu (Brahmanic),15-20,WIDOWED,1787,221,1566
Hindu (Brahmanic),20-30,POPULATION,132997,67034,65963
Hindu (Brahmanic),20-30,UNMARRIED,14209,11533,2676
Hindu (Brahmanic),20-30,MARRIED,110857,54410,56447
Hindu (Brahmanic),20-30,WIDOWED,7931,1091,6840
Hindu (Brahmanic),30-40,POPULATION,94265,51102,43163
Hindu (Brahmanic),30-40,UNMARRIED,2799,2253,546
Hindu (Brahmanic),30-40,MARRIED,79066,46855,32211
Hindu (Brahmanic),30-40,WIDOWED,12400,1994,10406
Hindu (Brahmanic),40-50,POPULATION,64676,35355,29321
Hindu (Brahmanic),40-50,UNMARRIED,1157,876,281
Hindu (Brahmanic),40-50,MARRIED,46721,31423,15298
Hindu (Brahmanic),40-50,WIDOWED,16798,3056,13742
Hindu (Brahmanic),50-60,POPULATION,37667,20125,17542
Hindu (Brahmanic),50-60,UNMARRIED,578,418,160
Hindu (Brahmanic),50-60,MARRIED,21985,16474,5511
Hindu (Brahmanic),50-60,WIDOWED,15104,3233,11871
Hindu (Brahmanic),60 and over,POPULATION,35019,17132,17887
Hindu (Brahmanic),60 and over,UNMARRIED,315,203,112
Hindu (Brahmanic),60 and over,MARRIED,18188,12870,5318
Hindu (Brahmanic),60 and over,WIDOWED,16516,4059,12457
Hindu (Brahmanic),Total,POPULATION,705102,362125,342977
Hindu (Brahmanic),Total,UNMARRIED,272420,158972,113448
Hindu (Brahmanic),Total,MARRIED,361091,189374,171717
Hindu (Brahmanic),Total,WIDOWED,71591,13779,57812
