section,age,group,persons,males,females
"Age, Sex and Civil Condition. - Western Division. A - Total Population.",0-1,MARRIED.,0,0,0
"Age, Sex and Civil Condition. - Western Division. A - Total Population.",0-1,WIDOWED.,0,0,0
"Age, Sex and Civil Condition. - Western Division. A - Total Population.",1-2,MARRIED.,0,0,0
"Age, Sex and Civil Condition. - Western Division. A - Total Population.",1-2,WIDOWED.,0,0,0
"Age, Sex and Civil Condition. - Western Division. A - Total Population.",2-3,MARRIED.,0,0,0
"Age, Sex and Civil Condition. - Western Division. A - Total Population.",2-3,WIDOWED.,0,0,0
"Age, Sex and Civil Condition. - Western Division. A - Total Population.",3-4,MARRIED.,4,0,4
"Age, Sex and Civil Condition. - Western Division. A - Total Population.",3-4,WIDOWED.,0,0,0
"Age, Sex and Civil Condition. - Western Division. A - Total Population.",4-5,MARRIED.,7,0,7
"Age, Sex and Civil Condition. - Western Division. A - Total Population.",4-5,WIDOWED.,0,0,0
"Age, Sex and Civil Condition. - Western Division. A - Total Population.",0-5,MARRIED.,11,0,11
"Age, Sex and Civil Condition. - Western Division. A - Total Population.",0-5,WIDOWED.,0,0,0
"Age, Sex and Civil Condition. - Western Division. A - Total Population.",5-10,MARRIED.,556,97,459
"Age, Sex and Civil Condition. - Western Division. A - Total Population.",5-10,WIDOWED.,73,32,41
"Age, Sex and Civil Condition. - Western Division. A - Total Population.",10-15,MARRIED.,7926,890,7036
"Age, Sex and Civil Condition. - Western Division. A - Total Population.",10-15,WIDOWED.,425,112,313
"Age, Sex and Civil Condition. - Western Division. A - Total Population.",15-20,MARRIED.,49359,7237,42122
"Age, Sex and Civil Condition. - Western Division. A - Total Population.",15-20,WIDOWED.,2184,460,1724
"Age, Sex and Civil Condition. - Western Division. A - Total Population.",20-25,MARRIED.,90671,27696,62975
"Age, Sex and Civil Condition. - Western Division. A - Total Population.",20-25,WIDOWED.,6179,1790,4389
"Age, Sex and Civil Condition. - Western Division. A - Total Population.",25-30,MARRIED.,127086,56659,70427
"Age, Sex and Civil Condition. - Western Division. A - Total Population.",25-30,WIDOWED.,11206,3456,7750
"Age, Sex and Civil Condition. - Western Division. A - Total Population.",30-35,MARRIED.,106780,54975,51805
"Age, Sex and Civil Condition. - Western Division. A - Total Population.",30-35,WIDOWED.,13766,4088,9678
"Age, Sex and Civil Condition. - Western Division. A - Total Population.",35-40,MARRIED.,101116,59201,41915
"Age, Sex and Civil Condition. - Western Division. A - Total Population.",35-40,WIDOWED.,15644,4179,11465
"Age, Sex and Civil Condition. - Western Division. A - Total Population.",40-45,MARRIED.,71930,44642,27288
"Age, Sex and Civil Condition. - Western Division. A - Total Population.",40-45,WIDOWED.,20065,4413,15652
"Age, Sex and Civil Condition. - Western Division. A - Total Population.",45-50,MARRIED.,52849,35150,17699
"Age, Sex and Civil Condition. - Western Division. A - Total Population.",45-50,WIDOWED.,18226,3922,14304
"Age, Sex and Civil Condition. - Western Division. A - Total Population.",50-55,MARRIED.,37206,26030,11176
"Age, Sex and Civil Condition. - Western Division. A - Total Population.",50-55,WIDOWED.,23031,4641,18390
"Age, Sex and Civil Condition. - Western Division. A - Total Population.",55-60,MARRIED.,21043,15767,5276
"Age, Sex and Civil Condition. - Western Division. A - Total Population.",55-60,WIDOWED.,14733,3261,11472
"Age, Sex and Civil Condition. - Western Division. A - Total Population.",60 and over,MARRIED.,28120,23042,5078
"Age, Sex and Civil Condition. - Western Division. A - Total Population.",60 and over,WIDOWED.,42537,10283,32254
"Age, Sex and Civil Condition. - Western Division. A - Total Population.",Total,MARRIED.,694653,351386,343267
"Age, Sex and Civil Condition. - Western Division. A - Total Population.",Total,WIDOWED.,168069,40637,127432
