filename,year,sections,groups,total_checks,passed,failed,pass_rate,api_calls,elapsed_seconds
Nizamabad_1931,1931,3,4,663,613,50,92.46,5,312.1
Osmanabad_1931,1931,3,4,663,626,37,94.42,5,260.3
Raichur_1931,1931,3,4,663,635,28,95.78,5,382.7
Parbhani_1931,1931,3,4,663,639,24,96.38,5,269.8
Warangal_1931,1931,3,4,663,639,24,96.38,5,253.9
Atraf-i-balda_1941,1941,3,5,735,716,19,97.41,5,561.5
Warangal_1941,1941,3,5,804,784,20,97.51,5,279.1
Parbhani_1941,1941,3,5,804,792,12,98.51,5,305.7
Western_division_age_1901,1901,1,2,158,156,2,98.73,3,228.1
Adilabad,unknown,3,4,663,659,4,99.4,5,389.3
Medak_1931,1931,3,4,663,659,4,99.4,5,407.3
Aurangabad_1941,1941,3,5,804,800,4,99.5,5,315.5
Nander_1941,1941,3,5,804,800,4,99.5,5,310.9
Raichur_1941,1941,3,5,804,800,4,99.5,5,283.1
Aurangabad_1931,1931,4,4,884,880,4,99.55,6,806.1
Nizamabad_1941,1941,3,5,804,801,3,99.63,5,289.4
Adilabad_1931,1931,3,4,663,663,0,100.0,4,302.1
Adilabad_1941,1941,3,5,804,804,0,100.0,4,434.9
Atraf-i-Balda_1931,1931,3,4,663,663,0,100.0,4,271.0
Baghat_1941,1941,3,5,804,804,0,100.0,4,290.0
Bidar_1931,1931,3,4,663,663,0,100.0,4,265.7
Bidar_1941,1941,3,5,804,804,0,100.0,4,471.5
Bir_1931,1931,2,4,442,442,0,100.0,3,595.1
Bir_1941,1941,3,5,804,804,0,100.0,4,739.0
Cochin_age_1891_01,1891,1,2,144,144,0,100.0,2,138.9
Coorg_age_1901,1901,1,3,174,174,0,100.0,2,139.4
Eastern_division_age_1901,1901,1,2,164,164,0,100.0,2,83.9
Gulbarga_1931,1931,4,4,884,884,0,100.0,5,594.1
Gulbarga_1941,1941,3,5,804,804,0,100.0,4,389.9
Hyderabad_state_summary_age_1901,1901,1,4,404,404,0,100.0,5,575.2
Karimnagar_1931,1931,3,4,663,663,0,100.0,4,256.8
Karimnagar_1941,1941,3,5,804,804,0,100.0,4,402.2
Mahbubnagar_1931,1931,3,4,663,663,0,100.0,4,269.6
Mahbubnagar_1941,1941,3,5,804,804,0,100.0,4,456.8
Medak_1941,1941,3,5,804,804,0,100.0,4,383.1
Nalgonda_1931,1931,3,4,663,663,0,100.0,4,815.4
Nalgonda_1941,1941,1,5,268,268,0,100.0,2,225.9
Nander_1931,1931,1,4,221,221,0,100.0,2,497.5
Osmanabad_1941,1941,3,5,804,804,0,100.0,4,263.0
