TABLE VII.                                                                 Page, Sex &amp; Civil Condition.                                                                 56
AGE, SEX &amp; CIVIL CONDITION.                                                                 56

# TABLE VII.

## Age, Sex and Civil Condition Part II.—Districts.

|  District | Religion and Age | POPULATION |   |   | UNMARRIED |   |   | MARRIED |   |   | WIDOWED  |   |   |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|   |   |  Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | Persons | Males | Females  |
|  1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14  |
|  Adilabad | All Religions | 762,030 | 389,754 | 372,276 | 284,409 | 161,772 | 122,637 | 411,284 | 211,532 | 199,752 | 66,337 | 16,450 | 49,887  |
|   | 0-1 | 30,033 | 13,323 | 10 | 29,456 | 13,058 | 16,398 | 568 | 262 | 306 | 9 | 3 | 6  |
|   | 1-5 | 111,721 | 55,113 | 56,008 | 102,722 | 51,668 | 51,054 | 5,309 | 3,165 | 5,114 | 690 | 280 | 410  |
|   | 5-10 | 99,627 | 53,549 | 46,078 | 72,578 | 42,578 | 30,000 | 25,776 | 16,511 | 15,265 | 1,273 | 460 | 813  |
|   | 10-15 | 83,810 | 44,943 | 38,867 | 43,822 | 28,496 | 15,326 | 38,644 | 16,031 | 22,613 | 1,344 | 116 | 928  |
|   | 15-20 | 66,092 | 32,136 | 33,956 | 12,779 | 9,819 | 2,960 | 51,529 | 21,891 | 29,638 | 1,784 | 126 | 1,358  |
|   | 20-30 | 138,822 | 70,112 | 68,710 | 11,802 | 8,747 | 3,055 | 119,938 | 59,438 | 60,500 | 7,082 | 1,927 | 5,155  |
|   | 30-40 | 100,561 | 53,274 | 47,287 | 5,398 | 3,252 | 2,116 | 83,203 | 47,170 | 36,033 | 11,960 | 2,852 | 9,108  |
|   | 40-50 | 65,940 | 35,430 | 30,510 | 3,080 | 2,149 | 931 | 47,380 | 29,647 | 17,733 | 15,480 | 3,634 | 11,846  |
|   | 50-60 | 37,883 | 19,473 | 18,410 | 1,517 | 1,117 | 400 | 22,572 | 15,018 | 7,554 | 13,794 | 3,338 | 10,456  |
|   | 60 and over | 27,541 | 12,401 | 15,140 | 1,255 | 888 | 367 | 13,365 | 8,399 | 4,966 | 12,921 | 3,114 | 9,807  |
|   | Hindu (Brahmanic) | 491,088 | 252,021 | 239,067 | 176,408 | 101,853 | 74,555 | 266,090 | 137,930 | 128,160 | 48,590 | 12,238 | 36,352  |
|   | 0-1 | 19,817 | 8,495 | 11,322 | 19,523 | 8,120 | 11,103 | 290 | 72 | 218 | 4 | 3 | 1  |
|   | 1-5 | 68,375 | 34,289 | 34,086 | 62,739 | 32,284 | 30,455 | 5,092 | 1,756 | 3,336 | 544 | 249 | 295  |
|   | 5-10 | 63,081 | 34,742 | 28,339 | 43,932 | 26,901 | 17,031 | 18,092 | 7,435 | 10,657 | 1,057 | 406 | 651  |
|   | 10-15 | 54,766 | 29,427 | 25,339 | 26,217 | 17,264 | 8,953 | 27,461 | 11,821 | 15,640 | 1,055 | 342 | 746  |
|   | 15-20 | 43,567 | 21,075 | 22,492 | 7,927 | 5,890 | 2,037 | 34,294 | 14,876 | 19,418 | 1,346 | 509 | 1,037  |
|   | 20-30 | 89,433 | 45,956 | 43,477 | 7,759 | 5,612 | 2,147 | 76,293 | 38,922 | 37,371 | 5,381 | 1,422 | 3,959  |
|   | 30-40 | 65,107 | 34,403 | 30,704 | 4,221 | 2,485 | 1,736 | 52,131 | 29,786 | 22,345 | 8,755 | 2,132 | 6,623  |
|   | 40-50 | 43,132 | 23,064 | 20,068 | 2,310 | 1,548 | 702 | 29,503 | 18,748 | 10,755 | 11,319 | 2,768 | 8,551  |
|   | 50-60 | 25,075 | 12,568 | 12,507 | 1,021 | 785 | 236 | 14,247 | 9,370 | 4,877 | 9,807 | 2,413 | 7,394  |
|   | 60 and over | 18,735 | 8,002 | 10,733 | 759 | 664 | 95 | 8,687 | 5,144 | 3,543 | 9,289 | 2,194 | 7,095  |
