```json
[
  {"age": "17", "Males": 15901, "Females": 12482, "Persons": 28383},
  {"age": "18", "Males": 75510, "Females": 58172, "Persons": 133682},
  {"age": "19", "Males": 43058, "Females": 6717, "Persons": 49775},
  {"age": "20", "Males": 13377, "Females": 6717, "Persons": 20094},
  {"age": "21", "Males": 10913, "Females": 5170, "Persons": 16083},
  {"age": "22", "Males": 55442, "Females": 29348, "Persons": 84790},
  {"age": "23", "Males": 11607, "Females": 1649, "Persons": 13256},
  {"age": "24", "Males": 31282, "Females": 4064, "Persons": 35346},
  {"age": "25", "Males": 4793, "Females": 4793, "Persons": 9586},
  {"age": "26", "Males": 14380, "Females": 1737, "Persons": 16117},
  {"age": "27", "Males": 11843, "Females": 1589, "Persons": 13432},
  {"age": "28", "Males": 10258, "Females": 889, "Persons": 11147},
  {"age": "29", "Males": 4562, "Females": 4562, "Persons": 9124},
  {"age": "30", "Males": 346, "Females": 30, "Persons": 376},
  {"Males": 233049, "Females": 130027, "Persons": 363076},
  {"Males": 149078, "Females": 68264, "Persons": 217342},
  {"Males": 483, "Females": 306, "Persons": 789},
  {"Males": 5758, "Females": 4857, "Persons": 10615},
  {"Males": 5010, "Females": 4346, "Persons": 9356},
  {"Males": 4419, "Females": 4306, "Persons": 8725},
  {"Males": 15998, "Females": 17295, "Persons": 33293},
  {"Males": 184084, "Females": 89457, "Persons": 273541},
  {"Males": 170013, "Females": 82497, "Persons": 252510},
  {"Males": 182497, "Females": 133451, "Persons": 315948},
  {"Males": 783, "Females": 603, "Persons": 1386},
  {"Males": 5008, "Females": 5161, "Persons": 10169},
  {"Males": 4529, "Females": 5077, "Persons": 9606},
  {"Males": 6829, "Females": 4715, "Persons": 11544},
  {"Males": 16841, "Females": 10562, "Persons": 27403},
  {"Males": 195388, "Females": 170013, "Persons": 365401},
  {"Males": 4031, "Females": 2012, "Persons": 6043},
  {"Males": 73567, "Females": 68264, "Persons": 141831},
  {"Males": 291, "Females": 312, "Persons": 603},
  {"Males": 5841, "Females": 2542, "Persons": 8383},
  {"Males": 2048, "Females": 931, "Persons": 2979},
  {"Males": 1813, "Females": 1373, "Persons": 3186},
  {"Males": 36, "Females": 31, "Persons": 67},
  {"Males": 6890, "Females": 10148, "Persons": 17038},
  {"Males": 72587, "Females": 78239, "Persons": 150826},
  {"Males": 1996, "Females": 124, "Persons": 2120},
  {"Males": 22395, "Females": 1688, "Persons": 24083},
  {"Males": 182, "Females": 193, "Persons": 375},
  {"Males": 903, "Females": 982, "Persons": 1885},
  {"Males": 1114, "Females": 1104, "Persons": 2218},
  {"Males": 32, "Females": 4595, "Persons": 4627},
  {"Males": 4555, "Females": 4555, "Persons": 9110},
  {"Males": 29693, "Females": 29693, "Persons": 59386},
  {"Males": 1886, "Females": 194, "Persons": 2080},
  {"Males": 24639, "Females": 1608, "Persons": 26247},
  {"Males": 1346, "Females": 188, "Persons": 1534},
  {"Males": 1890, "Females": 1003, "Persons": 2893},
  {"Males": 2169, "Females": 1106, "Persons": 3275},
  {"Males": 32, "Females": 4539, "Persons": 4571},
  {"Males": 7149, "Females": 4539, "Persons": 11688},
  {"Males": 61738, "Females": 60690, "Persons": 122428},
  {"Males": 1806, "Females": 124, "Persons": 1930},
  {"Males": 24639, "Females": 24703, "Persons": 49342},
  {"Males": 186, "Females": 184, "Persons": 370},
  {"Males": 951, "Females": 1068, "Persons": 2019},
  {"Males": 1162, "Females": 1030, "Persons": 2192},
  {"Males": 81730, "Females": 90680, "Persons": 172410},
  {"Males": 4605, "Females": 4539, "Persons": 9144},
  {"Males": 1796, "Females": 1489, "Persons": 3285},
  {"Males": 82678, "Females": 7796, "Persons": 90474},
  {"Males": 516, "Females": 436, "Persons": 952},
  {"Males": 1108, "Females": 836, "Persons": 1944},
  {"Males": 1368, "Females": 682, "Persons": 2050},
  {"Males": 3831, "Females": 1489, "Persons": 5320},
  {"Males": 16505, "Females": 7796, "Persons": 24301}
]
```
