```json
[
  {
    "age": "30-34",
    "Males": 7,
    "Females": 413,
    "Total": 420,
    "Males.": 3,
    "Females.": 11,
    "Total.": 14,
    "Males..": 1,
    "Females..": 4,
    "Total..": 5,
    "Males...": 1,
    "Females...": 1,
    "Total...": 2,
    "Males....": 1,
    "Females....": 1,
    "Total....": 2,
    "Males.....": 1,
    "Females.....": 1,
    "Total.....": 2,
    "Males......": 1,
    "Females......": 1,
    "Total......": 2,
    "Males.......": 1,
    "Females.......": 1,
    "Total.......": 2,
    "Males........": 1,
    "Females........": 1,
    "Total........": 2,
    "Males.........": 1,
    "Females.........": 1,
    "Total.........": 2,
    "Males..........": 1,
    "Females..........": 1,
    "Total..........": 2,
    "Males...........": 1,
    "Females...........": 1,
    "Total...........": 2,
    "Males............": 1,
    "Females............": 1,
    "Total............": 2,
    "Males.............": 1,
    "Females.............": 1,
    "Total.............": 2,
    "Males..............": 1,
    "Females..............": 1,
    "Total..............": 2,
    "Males...............": 1,
    "Females...............": 1,
    "Total...............": 2,
    "Males................": 1,
    "Females................": 1,
    "Total................": 2,
    "Males.................": 1,
    "Females.................": 1,
    "Total.................": 2,
    "Males..................": 1,
    "Females..................": 1,
    "Total..................": 2,
    "Males...................": 1,
    "Females...................": 1,
    "Total...................": 2,
    "Males....................": 1,
    "Females....................": 1,
    "Total....................": 2,
    "Males.....................": 1,
    "Females.....................": 1,
    "Total.....................": 2,
    "Males......................": 1,
    "Females......................": 1,
    "Total......................": 2,
    "Males.......................": 1,
    "Females.......................": 1,
    "Total.......................": 2,
    "Males........................": 1,
    "Females........................": 1,
    "Total........................": 2,
    "Males.........................": 1,
    "Females.........................": 1,
    "Total.........................": 2,
    "Males..........................": 1,
    "Females..........................": 1,
    "Total..........................": 2,
    "Males...........................": 1,
    "Females...........................": 1,
    "Total...........................": 2,
    "Males............................": 1,
    "Females............................": 1,
    "Total............................": 2,
    "Males.............................": 1,
    "Females.............................": 1,
    "Total.............................": 2,
    "Males..............................": 1,
    "Females..............................": 1,
    "Total..............................": 2,
    "Males...............................": 1,
    "Females...............................": 1,
    "Total...............................": 2,
    "Males................................": 1,
