TABLE VII.
Age, Sex and Civil Condition Part II.—Districts.

|  District | Religion and Age | POPULATION |   |   | UNMARRIED |   |   | MARRIED |   |   | WIDOWED  |   |   |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|   |   |  Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | Persons | Males | Females  |
|  1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14  |
|  Atraf-i-Balda | All Religions | 499,661 | 253,975 | 245,686 | 198,212 | 119,097 | 79,115 | 246,108 | 123,332 | 122,776 | 55,341 | 11,546 | 43,795  |
|   | 0-1 | 16,433 | 7,759 | 8,674 | 16,272 | 7,687 | 8,585 | 148 | 72 | 76 | 13 | .. | 13  |
|   | 1-5 | 72,365 | 35,697 | 36,668 | 69,642 | 34,716 | 34,926 | 2,483 | 936 | 1,547 | 240 | 45 | 195  |
|   | 5-10 | 62,029 | 33,321 | 28,705 | 51,524 | 30,750 | 20,774 | 10,074 | 2,521 | 7,553 | 431 | 53 | 378  |
|   | 10-15 | 50,969 | 27,819 | 23,150 | 34,664 | 23,716 | 10,948 | 15,778 | 4,023 | 11,755 | 527 | 80 | 447  |
|   | 15-20 | 37,764 | 18,258 | 19,506 | 12,176 | 10,600 | 1,516 | 24,485 | 7,352 | 17,133 | 1,103 | 246 | 857  |
|   | 20-30 | 83,291 | 38,033 | 45,258 | 10,072 | 8,831 | 1,241 | 67,965 | 28,130 | 39,835 | 5,254 | 1,072 | 4,182  |
|   | 30-40 | 69,649 | 36,458 | 33,191 | 2,161 | 1,612 | 549 | 58,153 | 33,261 | 24,892 | 9,335 | 1,585 | 7,750  |
|   | 40-50 | 50,180 | 26,892 | 23,288 | 904 | 608 | 296 | 36,343 | 23,920 | 12,423 | 12,933 | 2,364 | 10,569  |
|   | 50-60 | 31,115 | 16,526 | 11,589 | 494 | 335 | 159 | 18,587 | 13,593 | 4,994 | 12,034 | 2,598 | 9,436  |
|   | 60 and over | 25,866 | 13,209 | 12,657 | 303 | 182 | 121 | 12,092 | 9,524 | 2,568 | 13,471 | 3,503 | 9,968  |
|   | Hindu (Brahmanic) | 333,919 | 169,509 | 164,410 | 132,125 | 80,537 | 51,588 | 162,423 | 80,802 | 81,621 | 39,371 | 8,170 | 31,201  |
|   | 0-1 | 10,659 | 5,071 | 5,588 | 10,585 | 5,009 | 5,576 | 69 | 62 | 7 | 5 | .. | 5  |
|   | 1-5 | 47,535 | 23,888 | 23,647 | 45,790 | 23,210 | 22,580 | 1,624 | 666 | 958 | 121 | 12 | 109  |
|   | 5-10 | 42,644 | 23,125 | 19,519 | 35,657 | 21,405 | 14,252 | 6,666 | 3,678 | 4,988 | 321 | 42 | 279  |
|   | 10-15 | 34,734 | 19,253 | 15,481 | 23,742 | 16,635 | 7,107 | 10,595 | 2,555 | 8,040 | 397 | 63 | 334  |
|   | 15-20 | 24,333 | 12,208 | 12,125 | 7,702 | 7,032 | 670 | 15,803 | 4,983 | 10,820 | 828 | 193 | 635  |
|   | 20-30 | 53,857 | 23,515 | 30,342 | 6,318 | 5,638 | 680 | 43,674 | 17,059 | 26,615 | 3,865 | 818 | 3,047  |
|   | 30-40 | 46,940 | 21,148 | 22,792 | 1,241 | 880 | 361 | 39,126 | 22,157 | 16,909 | 6,573 | 1,111 | 5,462  |
|   | 40-50 | 34,463 | 18,526 | 15,937 | 553 | 402 | 181 | 24,647 | 16,437 | 8,210 | 9,233 | 1,687 | 7,546  |
|   | 50-60 | 21,239 | 11,118 | 10,121 | 320 | 217 | 103 | 12,294 | 9,006 | 3,288 | 8,625 | 1,895 | 6,730  |
|   | 60 and over | 17,515 | 8,657 | 8,858 | 187 | 109 | 78 | 7,925 | 6,199 | 1,726 | 9,403 | 2,340 | 7,054  |
|   | Adi Hindu | 98,366 | 50,243 | 48,123 | 41,056 | 24,266 | 16,790 | 47,713 | 23,853 | 23,860 | 9,597 | 2,124 | 7,473  |
|   | 0-1 | 3,475 | 1,687 | 1,788 | 3,451 | 1,680 | 1,771 | 18 | 7 | 11 | 6 | .. | 6  |
|   | 1-5 | 15,913 | 7,184 | 8,429 | 15,412 | 7,336 | 8,076 | 444 | 146 | 298 | 57 | 2 | 55  |
|   | 5-10 | 13,164 | 6,886 | 6,278 | 10,809 | 6,467 | 4,342 | 2,292 | 411 | 1,881 | 63 | 8 | 55  |
|   | 10-15 | 10,158 | 5,862 | 4,296 | 6,990 | 5,012 | 1,978 | 3,093 | 842 | 2,251 | 75 | 8 | 67  |
|   | 15-20 | 7,030 | 3,220 | 3,810 | 2,172 | 2,016 | 156 | 4,689 | 1,174 | 3,515 | 169 | 30 | 139  |
|   | 20-30 | 15,858 | 7,190 | 8,329 | 1,547 | 1,332 | 215 | 13,437 | 6,002 | 7,435 | 874 | 165 | 709  |
|   | 30-40 | 13,225 | 7,241 | 5,984 | 344 | 218 | 126 | 11,152 | 6,720 | 4,432 | 1,729 | 303 | 1,426  |
|   | 40-50 | 8,958 | 4,517 | 4,441 | 172 | 105 | 67 | 6,568 | 3,984 | 2,584 | 2,216 | 428 | 1,790  |
|   | 50-60 | 5,811 | 3,213 | 2,598 | 102 | 69 | 33 | 3,684 | 2,682 | 1,002 | 2,025 | 402 | 1,563  |
|   | 60 and over | 4,774 | 2,634 | 2,140 | 57 | 31 | 26 | 2,336 | 1,885 | 451 | 2,381 | 718 | 1,063  |
