VII.—PART II—AGE AND CIVIL CONDITION BY DISTRICTS.—ATRAF-I-BALDA DISTRICT.

|  Srl. Communities
No. and Ages | POPULATION |   |   | UNMARRIED |   |   | MARRIED |   |   | WIDOWED |   |   | DIVORCED  |   |   |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|   |  Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | P. | M. | F.  |
|  1 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17  |
|  1. ALL COMMUNITIES. | 612,493 | 309,494 | 302,999 | 250,956 | 146,156 | 104,800 | 294,031 | 149,023 | 145,008 | 64,718 | 13,160 | 51,558 | 2,788 | 1,155 | 1,633  |
|  0—1 | 21,187 | 9,627 | 11,560 | 21,152 | 9,613 | 11,539 | 31 | 14 | 17 | 4 | .. | 4 | .. | .. | ..  |
|  1—5 | 81,447 | 40,093 | 41,354 | 81,129 | 39,947 | 41,182 | 247 | 136 | 111 | 69 | 8 | 61 | 2 | 2 | ..  |
|  5—10 | 65,477 | 36,181 | 29,296 | 60,934 | 34,791 | 26,143 | 4,248 | 1,349 | 2,899 | 290 | 37 | 253 | 5 | 4 | 1  |
|  10—15 | 57,220 | 31,357 | 25,863 | 45,379 | 27,993 | 17,386 | 11,088 | 3,310 | 7,778 | 737 | 48 | 689 | 16 | 6 | 10  |
|  15—20 | 50,830 | 27,638 | 23,192 | 20,370 | 15,490 | 4,880 | 28,608 | 11,787 | 16,821 | 1,716 | 326 | 1,390 | 136 | 35 | 101  |
|  20—30 | 103,801 | 51,354 | 52,447 | 15,763 | 13,488 | 2,275 | 81,111 | 36,685 | 44,426 | 6,472 | 1,067 | 5,405 | 555 | 114 | 441  |
|  30—40 | 82,939 | 41,794 | 41,145 | 3,792 | 2,961 | 831 | 68,147 | 36,663 | 31,484 | 10,397 | 1,923 | 8,474 | 503 | 247 | 256  |
|  40—50 | 67,041 | 32,728 | 34,313 | 1,203 | 905 | 298 | 50,285 | 29,049 | 21,236 | 14,948 | 2,531 | 12,417 | 605 | 243 | 362  |
|  50—60 | 45,418 | 21,097 | 24,321 | 798 | 644 | 154 | 30,602 | 17,574 | 13,028 | 13,554 | 2,662 | 10,892 | 464 | 217 | 247  |
|  60 & over | 37,133 | 17,625 | 19,508 | 436 | 324 | 112 | 19,664 | 12,456 | 7,208 | 16,531 | 4,558 | 11,973 | 502 | 287 | 215  |
|  2. Brahmanic Hindus. | 13,984 | 6,941 | 7,043 | 5,979 | 3,147 | 2,832 | 7,628 | 3,762 | 3,866 | 377 | 32 | 345 | .. | .. | ..  |
|  0—1 | 387 | 146 | 241 | 387 | 146 | 241 | .. | .. | .. | .. | .. | .. | .. | .. | ..  |
|  1—5 | 1,583 | 578 | 1,005 | 1,578 | 578 | 1,000 | 5 | .. | 5 | .. | .. | .. | .. | .. | ..  |
|  5—10 | 1,255 | 576 | 679 | 1,202 | 558 | 644 | 53 | 18 | 35 | .. | .. | .. | .. | .. | ..  |
|  10—15 | 1,691 | 622 | 1,069 | 1,314 | 556 | 758 | 377 | 66 | 311 | .. | .. | .. | .. | .. | ..  |
|  15—20 | 1,518 | 963 | 555 | 778 | 611 | 167 | 726 | 352 | 374 | 14 | .. | 14 | .. | .. | ..  |
|  20—30 | 2,196 | 1,329 | 867 | 542 | 520 | 22 | 1,619 | 806 | 813 | 35 | 3 | 32 | .. | .. | ..  |
|  30—40 | 1,826 | 1,060 | 766 | 138 | 138 | .. | 1,623 | 920 | 703 | 65 | 2 | 63 | .. | .. | ..  |
|  40—50 | 1,535 | 782 | 753 | 35 | 35 | .. | 1,414 | 741 | 673 | 86 | 6 | 80 | .. | .. | ..  |
|  50—60 | 1,322 | 610 | 712 | 5 | 5 | .. | 1,228 | 593 | 635 | 89 | 12 | 77 | .. | .. | ..  |
|  60 & over | 671 | 275 | 896 | .. | .. | .. | 583 | 266 | 317 | 88 | 9 | 79 | .. | .. | ..  |
|  8. Other Hindus. | 353,795 | 178,536 | 175,259 | 142,933 | 83,845 | 59,088 | 167,527 | 85,243 | 82,284 | 41,645 | 8,738 | 32,907 | 1,690 | 710 | 980  |
|  0—1 | 12,076 | 5,397 | 6,679 | 12,067 | 5,391 | 6,676 | 9 | 6 | 3 | .. | .. | .. | .. | .. | ..  |
|  1—5 | 44,581 | 21,098 | 23,483 | 44,411 | 21,003 | 23,408 | 137 | 92 | 45 | 31 | 1 | 30 | 2 | 2 | ..  |
|  5—10 | 42,623 | 23,768 | 18,855 | 39,348 | 22,944 | 16,404 | 3,102 | 806 | 2,296 | 169 | 14 | 155 | 4 | 4 | ..  |
|  10—15 | 33,926 | 19,618 | 14,308 | 27,301 | 17,510 | 9,791 | 6,229 | 2,083 | 4,146 | 387 | 22 | 365 | 9 | 3 | 6  |
|  15—20 | 25,021 | 14,874 | 10,147 | 9,032 | 8,123 | 909 | 14,939 | 6,485 | 8,454 | 967 | 235 | 732 | 83 | 31 | 52  |
|  20—30 | 59,449 | 26,928 | 32,521 | 7,863 | 6,877 | 986 | 47,028 | 19,276 | 27,752 | 4,321 | 710 | 3,611 | 237 | 65 | 172  |
|  30—40 | 47,599 | 24,252 | 23,347 | 1,516 | 1,002 | 514 | 39,163 | 21,808 | 17,355 | 6,536 | 1,281 | 5,255 | 384 | 161 | 223  |
