64
65

# TABLE VII.

## Age, Sex and Civil Condition Part II.—Districts.

|  District | Religion and Age | POPULATION |   |   | UNMARRIED |   |   | MARRIED |   |   | WIDOWED  |   |   |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|   |   |  Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | Persons | Males | Females  |
|  1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14  |
|  Aurangabad | All Religions | 944,793 | 480,498 | 464,295 | 335,575 | 194,579 | 140,996 | 531,071 | 266,654 | 264,417 | 78,147 | 19,265 | 58,882  |
|   | 0-1 | 28,555 | 13,941 | 11,614 | 27,813 | 13,632 | 11,181 | 713 | 306 | 107 | 29 | 3 | 26  |
|   | 1-5 | 126,367 | 64,182 | 62,185 | 115,759 | 59,052 | 56,707 | 10,474 | 5,081 | 5,393 | 134 | 49 | 85  |
|   | 5-10 | 120,491 | 62,636 | 57,855 | 88,021 | 49,922 | 38,099 | 31,911 | 12,517 | 19,394 | 559 | 197 | 362  |
|   | 10-15 | 106,672 | 54,727 | 51,945 | 58,521 | 37,127 | 21,394 | 47,135 | 17,302 | 29,833 | 1,016 | 298 | 718  |
|   | 15-20 | 87,004 | 41,359 | 45,645 | 18,697 | 15,027 | 3,670 | 66,556 | 25,913 | 40,613 | 1,751 | 389 | 1,362  |
|   | 20-30 | 171,411 | 85,906 | 85,505 | 17,829 | 13,965 | 3,864 | 146,845 | 70,129 | 76,716 | 6,737 | 1,812 | 4,925  |
|   | 30-40 | 127,118 | 66,141 | 60,977 | 4,542 | 3,185 | 1,337 | 108,674 | 59,151 | 49,223 | 13,902 | 3,505 | 10,397  |
|   | 40-50 | 86,284 | 45,686 | 40,598 | 2,468 | 1,445 | 1,023 | 64,465 | 39,178 | 24,987 | 19,351 | 4,763 | 14,588  |
|   | 50-60 | 52,714 | 27,162 | 25,552 | 955 | 600 | 355 | 33,827 | 22,361 | 11,466 | 17,932 | 4,201 | 13,731  |
|   | 60 and over | 38,177 | 18,758 | 19,419 | 970 | 624 | 346 | 20,471 | 14,086 | 6,385 | 16,736 | 4,018 | 12,688  |
|   | Hindu (Brahmanic) | 641,214 | 325,257 | 315,957 | 218,084 | 128,695 | 89,389 | 366,499 | 182,620 | 183,879 | 56,631 | 13,942 | 42,689  |
|   | 0-1 | 19,199 | 9,420 | 9,779 | 18,701 | 9,193 | 9,508 | 471 | 225 | 216 | 27 | 2 | 25  |
|   | 1-5 | 83,903 | 43,090 | 40,813 | 76,860 | 39,816 | 37,014 | 6,956 | 3,218 | 3,738 | 87 | 26 | 61  |
|   | 5-10 | 80,346 | 41,519 | 38,827 | 56,677 | 32,800 | 23,877 | 23,241 | 8,570 | 14,671 | 428 | 119 | 279  |
|   | 10-15 | 71,054 | 36,795 | 34,259 | 37,353 | 24,833 | 12,520 | 32,878 | 11,718 | 21,160 | 823 | 214 | 579  |
|   | 15-20 | 58,810 | 27,681 | 31,129 | 11,490 | 9,538 | 1,952 | 46,054 | 17,813 | 28,211 | 1,266 | 300 | 966  |
|   | 20-30 | 118,152 | 59,347 | 58,805 | 11,474 | 8,983 | 2,101 | 101,614 | 49,073 | 52,541 | 5,064 | 1,291 | 3,773  |
|   | 30-40 | 87,099 | 44,706 | 42,393 | 2,803 | 1,800 | 1,603 | 74,328 | 40,583 | 33,745 | 9,968 | 2,323 | 7,645  |
|   | 40-50 | 60,234 | 31,551 | 28,680 | 1,575 | 900 | 675 | 44,476 | 27,068 | 17,108 | 14,183 | 3,586 | 10,597  |
|   | 50-60 | 36,835 | 18,510 | 18,325 | 608 | 378 | 230 | 23,338 | 15,075 | 8,263 | 12,889 | 3,057 | 9,832  |
|   | 60 and over | 25,582 | 12,635 | 12,947 | 543 | 424 | 119 | 13,143 | 9,247 | 3,896 | 11,896 | 2,964 | 8,932  |
