VII.—PART II—AGE AND CIVIL CONDITION BY DISTRICTS.—AURANGABAD DISTRICT.

|  Srd. No. | Communities and Age | POPULATION |   |   | UNMARRIED |   |   | MARRIED |   |   | WIDOWED |   |   | DIVORCED  |   |   |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|   |   |  Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | P. | M. | F.  |
|  1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17  |
|  1. ALL COM-MUNITIES. |  | 1,071,950 | 548,002 | 523,948 | 393,024 | 220,555 | 172,469 | 589,472 | 298,588 | 290,884 | 80,581 | 24,960 | 55,621 | 8,873 | 3,899 | 4,974  |
|   | 0—1 | 36,955 | 17,857 | 19,098 | 36,672 | 17,769 | 18,903 | 271 | 88 | 183 | 12 | .. | 12 | .. | .. | ..  |
|   | 1—5 | 135,913 | 68,893 | 67,020 | 130,126 | 65,597 | 64,529 | 5,635 | 3,296 | 2,339 | 152 | .. | 152 | .. | .. | ..  |
|   | 5—10 | 123,705 | 58,303 | 65,402 | 95,474 | 50,297 | 45,177 | 27,721 | 7,914 | 19,807 | 455 | 83 | 372 | 55 | 9 | 46  |
|   | 10—15 | 132,482 | 66,905 | 65,577 | 68,950 | 42,582 | 26,368 | 60,228 | 22,433 | 37,795 | 2,118 | 1,407 | 711 | 1,186 | 483 | 703  |
|   | 15—20 | 93,919 | 45,519 | 48,400 | 29,650 | 21,636 | 8,014 | 61,488 | 22,816 | 38,672 | 2,255 | 829 | 1,426 | 526 | 238 | 288  |
|   | 20—30 | 188,779 | 97,084 | 91,695 | 21,059 | 15,321 | 5,738 | 157,035 | 77,222 | 79,813 | 8,210 | 3,393 | 4,817 | 2,475 | 1,148 | 1,327  |
|   | 30—40 | 141,586 | 77,790 | 63,796 | 5,699 | 3,967 | 1,732 | 122,888 | 69,019 | 53,869 | 11,003 | 4,046 | 6,957 | 1,996 | 758 | 1,238  |
|   | 40—50 | 101,129 | 55,946 | 45,183 | 2,819 | 1,710 | 1,109 | 80,470 | 48,710 | 31,760 | 16,779 | 4,993 | 11,786 | 1,061 | 533 | 528  |
|   | 50—60 | 62,775 | 33,651 | 29,124 | 1,410 | 881 | 529 | 42,874 | 27,267 | 15,607 | 17,613 | 5,125 | 12,488 | 878 | 378 | 500  |
|   | 60 & over | 54,707 | 26,054 | 28,653 | 1,165 | 795 | 370 | 30,862 | 19,823 | 11,039 | 21,984 | 5,084 | 16,900 | 696 | 352 | 344  |
|  2. Brahmanic Hindus. |  | 36,308 | 18,467 | 17,841 | 15,110 | 8,335 | 6,775 | 18,902 | 9,437 | 9,465 | 2,296 | 695 | 1,601 | .. | .. | ..  |
|   | 0—1 | 1,163 | 637 | 526 | 1,163 | 637 | 526 | .. | .. | .. | .. | .. | .. | .. | .. | ..  |
|   | 1—5 | 4,492 | 2,729 | 1,763 | 4,430 | 2,703 | 1,727 | 57 | 26 | 31 | 5 | .. | 5 | .. | .. | ..  |
|   | 5—10 | 4,314 | 1,275 | 3,039 | 4,064 | 1,211 | 2,853 | 221 | 64 | 157 | 29 | .. | 29 | .. | .. | ..  |
|   | 10—15 | 4,621 | 2,024 | 2,597 | 3,072 | 1,599 | 1,473 | 1,508 | 413 | 1,095 | 41 | 12 | 29 | .. | .. | ..  |
|   | 15—20 | 3,914 | 2,135 | 1,779 | 1,857 | 1,668 | 189 | 2,017 | 459 | 1,558 | 40 | 8 | 32 | .. | .. | ..  |
|   | 20—30 | 6,411 | 3,213 | 3,198 | 426 | 419 | 7 | 5,778 | 2,737 | 3,041 | 207 | 57 | 150 | .. | .. | ..  |
|   | 30—40 | 4,639 | 2,151 | 2,488 | 37 | 37 | .. | 4,141 | 2,011 | 2,130 | 461 | 103 | 358 | .. | .. | ..  |
|   | 40—50 | 3,357 | 2,237 | 1,120 | 20 | 20 | .. | 2,760 | 2,027 | 733 | 577 | 190 | 387 | .. | .. | ..  |
|   | 50—60 | 2,104 | 1,388 | 716 | 32 | 32 | .. | 1,617 | 1,185 | 432 | 455 | 171 | 284 | .. | .. | ..  |
|   | 60 & over | 1,293 | 678 | 615 | 9 | 9 | .. | 803 | 515 | 288 | 481 | 154 | 327 | .. | .. | ..  |
|  3. Other Hindus |  | 630,471 | 323,870 | 306,601 | 218,551 | 128,427 | 90,124 | 362,585 | 180,784 | 181,801 | 44,648 | 12,723 | 31,925 | 4,687 | 1,936 | 2,751  |
|   | 0—1 | 20,804 | 10,457 | 10,347 | 20,658 | 10,412 | 10,246 | 139 | 45 | 94 | 7 | .. | 7 | .. | .. | ..  |
|   | 1—5 | 77,128 | 39,913 | 37,215 | 73,850 | 37,635 | 36,215 | 3,179 | 2,278 | 901 | 99 | .. | 99 | .. | .. | ..  |
