VII.—PART II.—AGE AND CIVIL CONDITION BY DISTRICTS—BAGHAT DISTRICT.

|  Srl. No. | Communities and Ages | POPULATION |   |   | UNMARRIED |   |   | MARRIED |   |   | WIDOWED |   |   | DIVORCED  |   |   |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|   |   |  Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | P. | M. | F.  |
|  1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17  |
|  1. ALL COM-MUNITIES. | 90,415 | 46,043 | 44,372 | 33,598 | 19,833 | 13,765 | 51,192 | 24,923 | 26,269 | 5,372 | 1,231 | 4,141 | 253 | 56 | 197 |   |
|  0—1 | 1,569 | 754 | 815 | 1,558 | 754 | 804 | 11 | .. | 11 | .. | .. | .. | .. | .. | .. |   |
|  1—5 | 6,157 | 2,527 | 3,630 | 5,951 | 2,499 | 3,452 | 199 | 28 | 171 | 7 | .. | 7 | .. | .. | .. |   |
|  5—10 | 8,432 | 3,451 | 4,981 | 7,375 | 3,310 | 4,065 | 1,040 | 141 | 899 | 17 | .. | 17 | .. | .. | .. |   |
|  10—15 | 10,547 | 4,815 | 5,732 | 7,315 | 3,987 | 3,328 | 3,106 | 825 | 2,281 | 126 | 3 | 123 | .. | .. | .. |   |
|  15—20 | 11,732 | 6,316 | 5,416 | 6,328 | 4,749 | 1,579 | 5,198 | 1,554 | 3,644 | 206 | 13 | 193 | .. | .. | .. |   |
|  20—30 | 18,215 | 10,495 | 7,720 | 4,259 | 3,860 | 399 | 13,111 | 6,418 | 6,693 | 831 | 207 | 624 | 14 | 10 | 4 |   |
|  30—40 | 13,354 | 6,490 | 6,864 | 375 | 300 | 75 | 11,717 | 5,840 | 5,877 | 1,213 | 336 | 877 | 49 | 14 | 35 |   |
|  40—50 | 10,955 | 5,834 | 5,121 | 263 | 216 | 47 | 9,363 | 5,339 | 4,024 | 1,271 | 268 | 1,003 | 58 | 11 | 47 |   |
|  50—60 | 6,375 | 3,737 | 2,638 | 120 | 104 | 16 | 5,219 | 3,407 | 1,812 | 950 | 215 | 735 | 86 | 11 | 75 |   |
|  60 & over | 3,079 | 1,624 | 1,455 | 54 | 54 | .. | 2,228 | 1,371 | 857 | 751 | 189 | 562 | 46 | 10 | 36 |   |
|  2. Brahmanic Hindus. | 1,381 | 683 | 698 | 529 | 275 | 254 | 794 | 395 | 399 | 58 | 13 | 45 | .. | .. | .. |   |
|  0—1 | 28 | 11 | 17 | 28 | 11 | 17 | .. | .. | .. | .. | .. | .. | .. | .. | .. |   |
|  1—5 | 73 | 30 | 43 | 73 | 30 | 43 | .. | .. | .. | .. | .. | .. | .. | .. | .. |   |
|  5—10 | 53 | 19 | 34 | 51 | 19 | 32 | 2 | .. | 2 | .. | .. | .. | .. | .. | .. |   |
|  10—15 | 162 | 54 | 108 | 133 | 44 | 89 | 29 | 10 | 19 | .. | .. | .. | .. | .. | .. |   |
|  15—20 | 181 | 67 | 114 | 124 | 51 | 73 | 57 | 16 | 41 | .. | .. | .. | .. | .. | .. |   |
|  20—30 | 317 | 204 | 113 | 92 | 92 | .. | 221 | 112 | 109 | 4 | .. | 4 | .. | .. | .. |   |
|  30—40 | 275 | 142 | 133 | 18 | 18 | .. | 245 | 122 | 123 | 12 | 2 | 10 | .. | .. | .. |   |
|  40—50 | 190 | 100 | 90 | 7 | 7 | .. | 169 | 91 | 78 | 14 | 2 | 12 | .. | .. | .. |   |
|  50—60 | 85 | 51 | 34 | 3 | 3 | .. | 69 | 44 | 25 | 13 | 4 | 9 | .. | .. | .. |   |
|  60 & over | 17 | 5 | 12 | .. | .. | .. | 2 | .. | 2 | 15 | 5 | 10 | .. | .. | .. |   |
|  3. Other Hindus | 56,664 | 28,862 | 27,802 | 20,691 | 11,675 | 9,016 | 32,702 | 16,606 | 16,096 | 3,128 | 555 | 2,573 | 143 | 26 | 117 |   |
|  0—1 | 883 | 433 | 450 | 872 | 433 | 439 | 11 | .. | 11 | .. | .. | .. | .. | .. | .. |   |
|  1—5 | 2,927 | 1,410 | 1,517 | 2,828 | 1,400 | 1,428 | 96 | 10 | 86 | 3 | .. | 3 | .. | .. | .. |   |
|  5—10 | 6,306 | 2,261 | 4,045 | 5,428 | 2,167 | 3,261 | 867 | 94 | 773 | 11 | .. | 11 | .. | .. | .. |   |
|  10—15 | 7,345 | 2,830 | 4,515 | 5,115 | 2,300 | 2,815 | 2,130 | 527 | 1,603 | 100 | 3 | 97 | .. | .. | .. |   |
|  15—20 | 6,667 | 3,762 | 2,905 | 3,752 | 2,891 | 861 | 2,759 | 858 | 1,901 | 156 | 13 | 143 | .. | .. | .. |   |
