TABLE VII.
Age, Sex and Civil Condition Part II.—Districts.

|  District | Religion and Age | POPULATION |   |   | UNMARRIED |   |   | MARRIED |   |   | WIDOWED  |   |   |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|   |   |  Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | Persons | Males | Females  |
|  1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14  |
|  Bidar | All Religions | 873,615 | 446,256 | 427,359 | 317,618 | 171,157 | 146,461 | 471,962 | 246,734 | 225,228 | 84,035 | 28,365 | 55,670  |
|   | 0-1 | 37,291 | 14,606 | 22,625 | 36,654 | 14,353 | 22,301 | 617 | 309 | 308 | 20 | 4 | 16  |
|   | 1-3 | 138,166 | 65,700 | 72,406 | 124,162 | 58,464 | 65,698 | 13,312 | 6,926 | 6,386 | 692 | 370 | 322  |
|   | 5-10 | 103,377 | 52,652 | 50,725 | 72,047 | 40,251 | 31,796 | 30,057 | 11,783 | 18,274 | 1,273 | 618 | 655  |
|   | 10-15 | 91,821 | 49,381 | 42,440 | 47,231 | 31,200 | 16,031 | 43,097 | 17,451 | 25,646 | 1,493 | 730 | 765  |
|   | 15-20 | 74,122 | 37,342 | 36,780 | 17,155 | 13,550 | 3,605 | 54,900 | 22,954 | 31,946 | 2,067 | 838 | 1,229  |
|   | 20-30 | 144,075 | 73,408 | 70,667 | 12,639 | 9,044 | 3,595 | 123,377 | 61,523 | 61,854 | 8,059 | 2,841 | 5,218  |
|   | 30-40 | 113,126 | 60,032 | 53,094 | 3,761 | 2,060 | 1,701 | 95,057 | 53,503 | 41,554 | 14,308 | 4,469 | 9,839  |
|   | 40-50 | 79,002 | 43,232 | 35,770 | 1,888 | 987 | 901 | 88,045 | 36,147 | 21,898 | 19,069 | 6,098 | 12,971  |
|   | 50-60 | 51,767 | 28,596 | 23,171 | 1,091 | 594 | 497 | 32,660 | 22,132 | 10,528 | 18,016 | 5,870 | 12,146  |
|   | 60 and over | 40,868 | 21,187 | 19,681 | 990 | 654 | 336 | 20,840 | 14,006 | 6,834 | 19,038 | 6,527 | 12,511  |
|   | Hindu (Brahmanic) | 554,768 | 284,718 | 270,050 | 190,842 | 101,659 | 89,183 | 304,977 | 161,930 | 143,047 | 58,949 | 21,129 | 37,820  |
|   | 0-1 | 23,686 | 9,419 | 14,267 | 23,343 | 9,303 | 14,040 | 327 | 112 | 215 | 16 | 4 | 12  |
|   | 1-3 | 86,196 | 39,023 | 47,173 | 76,781 | 34,020 | 42,761 | 8,906 | 4,692 | 4,214 | 509 | 311 | 198  |
|   | 5-10 | 61,543 | 32,591 | 28,952 | 41,655 | 23,661 | 17,994 | 18,923 | 8,413 | 10,510 | 965 | 517 | 448  |
|   | 10-15 | 57,399 | 31,723 | 25,676 | 27,690 | 18,944 | 8,746 | 28,637 | 12,208 | 16,429 | 1,072 | 571 | 501  |
|   | 15-20 | 46,550 | 23,409 | 23,141 | 9,703 | 7,825 | 1,878 | 35,410 | 14,939 | 20,471 | 1,437 | 645 | 792  |
|   | 20-30 | 90,532 | 46,376 | 44,156 | 7,076 | 5,173 | 1,903 | 77,705 | 39,022 | 38,683 | 5,751 | 2,181 | 3,570  |
|   | 30-40 | 74,116 | 40,065 | 34,051 | 2,254 | 1,290 | 964 | 61,506 | 35,254 | 26,252 | 10,356 | 3,521 | 6,835  |
|   | 40-50 | 52,907 | 28,985 | 23,922 | 1,060 | 594 | 466 | 38,271 | 23,806 | 14,465 | 13,576 | 4,585 | 8,991  |
|   | 50-60 | 35,119 | 19,625 | 15,494 | 663 | 386 | 277 | 21,918 | 15,062 | 6,856 | 12,538 | 4,177 | 8,361  |
|   | 60 and over | 26,720 | 13,502 | 13,218 | 617 | 463 | 154 | 13,374 | 8,422 | 4,952 | 12,729 | 4,617 | 8,112  |
|   | Adi Hindu | 163,143 | 81,971 | 81,172 | 56,426 | 31,744 | 24,682 | 93,203 | 46,128 | 47,075 | 13,514 | 4,099 | 9,415  |
|   | 0-1 | 6,010 | 2,749 | 3,261 | 5,843 | 2,635 | 3,208 | 164 | 114 | 50 | 3 | .. | 3  |
|   | 1-3 | 27,240 | 15,092 | 12,148 | 24,458 | 13,566 | 10,892 | 2,649 | 1,500 | 1,149 | 133 | 26 | 107  |
|   | 5-10 | 21,914 | 10,031 | 11,883 | 14,135 | 7,885 | 6,250 | 7,558 | 2,082 | 5,476 | 221 | 64 | 157  |
|   | 10-15 | 16,588 | 8,084 | 8,504 | 7,838 | 4,968 | 2,870 | 8,442 | 2,994 | 5,448 | 308 | 122 | 186  |
|   | 15-20 | 12,398 | 6,129 | 7,269 | 2,011 | 1,452 | 559 | 10,944 | 4,539 | 6,405 | 443 | 138 | 305  |
|   | 20-30 | 27,731 | 13,420 | 14,311 | 1,317 | 832 | 485 | 25,060 | 12,167 | 12,893 | 1,354 | 421 | 953  |
|   | 30-40 | 21,261 | 10,532 | 10,729 | 374 | 176 | 198 | 18,675 | 9,808 | 8,867 | 2,212 | 548 | 1,664  |
|   | 40-50 | 13,938 | 7,753 | 6,185 | 230 | 126 | 104 | 10,666 | 6,717 | 3,949 | 3,042 | 910 | 2,132  |
|   | 50-60 | 8,458 | 4,700 | 3,758 | 120 | 49 | 71 | 5,405 | 3,644 | 1,761 | 2,933 | 1,007 | 1,926  |
|   | 60 and over | 6,605 | 3,481 | 3,124 | 100 | 55 | 45 | 3,640 | 2,563 | 1,077 | 2,865 | 863 | 2,002  |
