VII.—PART II.—AGE AND CIVIL CONDITION BY DISTRICTS.—BIDAR DISTRICT.

|  Srl. No. | Communities and age | POPULATION |   |   | UNMARRIED |   |   | MARRIED |   |   | WIDOWED |   |   | DIVORCED  |   |   |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|   |   |  Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | P. | M. | F.  |
|  1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17  |
|  1. ALL COM-MUNITIES. |  | 1,023,482 | 525,594 | 497,888 | 343,526 | 198,307 | 145,219 | 596,262 | 300,819 | 295,443 | 80,200 | 25,318 | 54,882 | 3,494 | 1,150 | 2,344  |
|  0—1 | .. | 39,492 | 18,359 | 21,133 | 39,004 | 18,138 | 20,866 | 478 | 220 | 258 | 10 | 1 | 9 | .. | .. | ..  |
|  1—5 | .. | 121,922 | 59,655 | 62,267 | 114,895 | 56,468 | 58,427 | 6,714 | 3,057 | 3,637 | 313 | 130 | 183 | .. | .. | ..  |
|  5—10 | .. | 92,708 | 45,327 | 47,381 | 64,523 | 34,442 | 30,081 | 27,542 | 10,641 | 16,901 | 627 | 244 | 383 | 16 | .. | 16  |
|  10—15 | .. | 114,587 | 61,560 | 53,027 | 63,562 | 40,455 | 23,107 | 49,770 | 20,669 | 29,101 | 1,207 | 429 | 778 | 48 | 7 | 41  |
|  15—20 | .. | 100,442 | 55,593 | 44,849 | 32,967 | 26,943 | 6,024 | 65,766 | 28,061 | 37,705 | 1,589 | 551 | 1,038 | 120 | 38 | 82  |
|  20—30 | .. | 149,911 | 74,928 | 74,983 | 18,298 | 14,392 | 3,906 | 125,435 | 58,933 | 66,502 | 5,737 | 1,467 | 4,270 | 441 | 136 | 305  |
|  30—40 | .. | 133,680 | 66,881 | 66,799 | 5,307 | 3,885 | 1,422 | 113,770 | 59,109 | 54,661 | 13,884 | 3,675 | 10,209 | 719 | 212 | 507  |
|  40—50 | .. | 116,287 | 60,233 | 56,054 | 2,850 | 2,094 | 756 | 98,399 | 53,561 | 44,838 | 14,355 | 4,345 | 10,010 | 683 | 233 | 450  |
|  50—60 | .. | 90,611 | 49,425 | 41,186 | 1,267 | 923 | 344 | 68,099 | 41,613 | 26,486 | 20,525 | 6,640 | 13,885 | 720 | 249 | 471  |
|  60 & over | .. | 63,842 | 33,633 | 30,209 | 853 | 567 | 286 | 40,289 | 24,955 | 15,334 | 21,953 | 7,836 | 14,117 | 747 | 275 | 472  |
|  2. Brahmanic Hindus. |  | 22,246 | 11,706 | 10,540 | 8,579 | 5,203 | 3,376 | 12,399 | 6,179 | 6,220 | 1,263 | 322 | 941 | 5 | 2 | 3  |
|  0—1 | .. | 488 | 257 | 231 | 488 | 257 | 231 | .. | .. | .. | .. | .. | .. | .. | .. | ..  |
|  1—5 | .. | 2,128 | 1,039 | 1,089 | 2,058 | 1,034 | 1,024 | 70 | 5 | 65 | .. | .. | .. | .. | .. | ..  |
|  5—10 | .. | 2,103 | 830 | 1,273 | 1,805 | 803 | 1,002 | 296 | 27 | 269 | 2 | .. | 2 | .. | .. | ..  |
|  10—15 | .. | 2,994 | 1,028 | 1,966 | 1,826 | 956 | 870 | 1,142 | 71 | 1,071 | 26 | 1 | 25 | .. | .. | ..  |
|  15—20 | .. | 3,009 | 1,479 | 1,530 | 1,159 | 991 | 168 | 1,799 | 478 | 1,321 | 51 | 10 | 41 | .. | .. | ..  |
|  20—30 | .. | 4,948 | 3,053 | 1,895 | 1,039 | 963 | 76 | 3,749 | 2,057 | 1,692 | 159 | 33 | 126 | 1 | .. | 1  |
|  30—40 | .. | 2,794 | 1,646 | 1,148 | 157 | 152 | 5 | 2,425 | 1,441 | 984 | 210 | 53 | 157 | 2 | .. | 2  |
|  40—50 | .. | 1,634 | 1,030 | 604 | 17 | 17 | .. | 1,363 | 952 | 411 | 253 | 60 | 193 | 1 | 1 | ..  |
|  50—60 | .. | 1,221 | 742 | 479 | 7 | 7 | .. | 973 | 662 | 311 | 241 | 73 | 168 | .. | .. | ..  |
|  60 & over | .. | 927 | 602 | 325 | 23 | 23 | .. | 582 | 3486 | 96 | 321 | 92 | 229 | 1 | 1 | ..  |
|  8. Other Hindus. |  | 432,660 | 222,980 | 209,770 | 125,345 | 75,708 | 49,637 | 277,259 | 136,237 | 141,022 | 29,077 | 10,578 | 18,499 | 979 | 367 | 612  |
|  0—1 | .. | 18,836 | 9,881 | 8,955 | 18,699 | 9,819 | 8,880 | 135 | 62 | 73 | 2 | .. | 2 | .. | .. | ..  |
|  1—5 | .. | 47,429 | 23,897 | 23,532 | 43,036 | 21,859 | 21,177 | 4,201 | 1,929 | 2,272 | 192 | 109 | 83 | .. | .. | ..  |
