TABLE VII.                                                                                   AGE, SEX &amp; CIVIL CONDITION.                                                                                   68
TABLE VII.                                                                                   AGE, SEX &amp; CIVIL CONDITION.                                                                                   68

# TABLE VII.

## Age, Sex and Civil Condition Part II. Districts.

|  District | Religion and Age | POPULATION |   |   | UNMARRIED |   |   | MARRIED |   |   | WIDOWED  |   |   |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|   |   |  Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | Persons | Males | Females  |
|  1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14  |
|  Bir | All Religions | 633,690 | 325,396 | 308,294 | 230,556 | 132,962 | 97,594 | 343,495 | 172,441 | 171,054 | 59,639 | 19,993 | 39,646  |
|   | 0-1 | 19,016 | 8,723 | 10,293 | 18,600 | 8,637 | 9,963 | 408 | 82 | 326 | 8 | 1 | 4  |
|   | 1-5 | 87,687 | 41,090 | 46,597 | 80,040 | 39,226 | 40,814 | 7,226 | 1,600 | 5,626 | 421 | 264 | 157  |
|   | 5-10 | 72,752 | 38,584 | 31,168 | 54,890 | 33,508 | 21,382 | 17,257 | 4,770 | 12,487 | 605 | 306 | 299  |
|   | 10-15 | 69,249 | 37,106 | 32,143 | 39,523 | 27,043 | 12,480 | 28,695 | 9,782 | 18,913 | 1,031 | 281 | 750  |
|   | 15-20 | 55,340 | 26,342 | 28,998 | 13,845 | 10,152 | 3,693 | 39,830 | 15,742 | 24,088 | 1,665 | 418 | 1,217  |
|   | 20-30 | 112,818 | 56,037 | 56,781 | 13,882 | 9,440 | 4,442 | 92,021 | 14,214 | 47,807 | 6,915 | 2,383 | 4,532  |
|   | 30-40 | 88,834 | 46,245 | 42,589 | 6,183 | 3,439 | 2,744 | 71,279 | 39,029 | 32,250 | 11,372 | 3,777 | 7,595  |
|   | 40-50 | 61,812 | 34,050 | 27,762 | 2,336 | 871 | 1,465 | 46,494 | 29,050 | 17,144 | 12,982 | 4,129 | 8,853  |
|   | 50-60 | 38,885 | 22,541 | 16,341 | 891 | 410 | 481 | 25,307 | 17,984 | 7,323 | 12,687 | 4,147 | 8,510  |
|   | 60 and over | 27,297 | 14,678 | 12,619 | 366 | 236 | 130 | 14,978 | 10,188 | 4,790 | 11,953 | 4,254 | 7,699  |
|   | Hindu (Brahmanic) | 473,445 | 243,844 | 229,601 | 168,782 | 97,650 | 71,132 | 258,198 | 129,434 | 128,764 | 46,465 | 16,760 | 29,705  |
|   | 0-1 | 13,960 | 6,174 | 7,786 | 13,707 | 6,105 | 7,602 | 251 | 67 | 184 | 2 | 2 | —  |
|   | 1-5 | 63,382 | 29,215 | 34,167 | 57,062 | 27,706 | 29,356 | 6,003 | 1,252 | 4,751 | 317 | 257 | 60  |
|   | 5-10 | 53,522 | 28,491 | 25,031 | 40,160 | 24,905 | 15,255 | 12,895 | 3,300 | 9,595 | 467 | 286 | 181  |
|   | 10-15 | 50,548 | 26,711 | 23,837 | 28,140 | 19,218 | 8,922 | 21,544 | 7,238 | 14,306 | 864 | 255 | 609  |
|   | 15-20 | 42,075 | 20,170 | 21,905 | 10,279 | 7,708 | 2,571 | 30,394 | 12,067 | 18,327 | 1,402 | 395 | 1,607  |
|   | 20-30 | 86,521 | 43,323 | 43,198 | 11,250 | 7,630 | 3,020 | 69,548 | 33,592 | 35,956 | 5,723 | 2,101 | 3,622  |
|   | 30-40 | 67,939 | 35,978 | 31,961 | 5,343 | 3,098 | 2,245 | 53,426 | 29,593 | 23,833 | 9,170 | 3,287 | 5,884  |
|   | 40-50 | 46,775 | 26,196 | 20,579 | 1,833 | 742 | 1,091 | 34,905 | 21,999 | 12,906 | 10,037 | 3,455 | 6,582  |
|   | 50-60 | 28,172 | 16,439 | 11,733 | 731 | 340 | 391 | 17,860 | 12,738 | 5,122 | 9,581 | 3,361 | 6,220  |
