VII.—PART II—AGE AND CIVIL CONDITION BY DISTRICTS.—BIR DISTRICT.

|  Srl. No. | ommunities and Age | POPULATION |   |   | UNMARRIED |   |   | MARRIED |   |   | WIDOWED |   |   | DIVORCED  |   |   |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|   |   |  Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | P. | M. | F.  |
|  1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17  |
|  1. ALL COM-MUNITIES. |   | 713,630 | 367,795 | 345,835 | 264,843 | 150,795 | 114,048 | 385,787 | 194,793 | 190,994 | 58,526 | 20,344 | 38,182 | 4,474 | 1,863 | 2,611  |
|  0—1 | .. | 21,395 | 10,941 | 10,454 | 21,064 | 10,868 | 10,196 | 304 | 71 | 233 | 26 | 2 | 24 | 1 | .. | 1  |
|  1—5 | .. | 84,416 | 44,692 | 39,724 | 81,789 | 43,648 | 38,141 | 2,448 | 989 | 1,459 | 178 | 55 | 123 | 1 | .. | 1  |
|  5—10 | .. | 81,978 | 42,039 | 39,939 | 59,492 | 34,758 | 24,734 | 22,138 | 7,142 | 14,996 | 330 | 139 | 191 | 18 | .. | 18  |
|  10—15 | .. | 86,067 | 41,719 | 44,348 | 46,326 | 28,852 | 17,974 | 38,915 | 13,169 | 25,746 | 714 | 178 | 536 | 112 | 20 | 92  |
|  15—20 | .. | 77,519 | 32,741 | 44,778 | 29,042 | 18,112 | 15,930 | 47,265 | 19,266 | 27,999 | 1,011 | 307 | 704 | 201 | 56 | 145  |
|  20—30 | .. | 123,900 | 67,407 | 56,493 | 15,790 | 10,880 | 4,910 | 103,865 | 55,113 | 48,752 | 3,521 | 1,212 | 2,809 | 724 | 202 | 522  |
|  30—40 | .. | 90,616 | 48,229 | 42,387 | 6,530 | 5,205 | 1,325 | 74,338 | 39,432 | 34,906 | 8,943 | 3,202 | 5,741 | 805 | 390 | 415  |
|  40—50 | .. | 62,441 | 35,884 | 26,557 | 3,253 | 2,775 | 478 | 46,548 | 28,830 | 17,718 | 11,836 | 3,906 | 7,930 | 804 | 373 | 431  |
|  50—60 | .. | 47,664 | 24,617 | 23,047 | 1,015 | 808 | 207 | 30,454 | 18,569 | 11,885 | 15,423 | 4,894 | 10,529 | 772 | 346 | 426  |
|  60 & over | .. | 37,634 | 19,526 | 18,108 | 542 | 389 | 153 | 19,512 | 12,212 | 7,300 | 16,544 | 6,449 | 10,095 | 1,036 | 476 | 560  |
|  2. Brahmanic Hindus. |   | 25,970 | 13,624 | 12,346 | 9,482 | 5,482 | 4,000 | 14,838 | 7,455 | 7,383 | 1,607 | 661 | 946 | 43 | 26 | 17  |
|  0—1 | .. | 1,037 | 536 | 501 | 1,037 | 536 | 501 | .. | .. | .. | .. | .. | .. | .. | .. | ..  |
|  1—5 | .. | 4,310 | 2,292 | 2,018 | 4,280 | 2,272 | 2,008 | 30 | 20 | 10 | .. | .. | .. | .. | .. | ..  |
|  5—10 | .. | 2,346 | 1,074 | 1,272 | 1,586 | 931 | 655 | 759 | 142 | 617 | 1 | 1 | .. | .. | .. | ..  |
|  10—15 | .. | 2,338 | 897 | 1,441 | 1,128 | 631 | 497 | 1,208 | 264 | 944 | 2 | 2 | .. | .. | .. | ..  |
|  15—20 | .. | 2,963 | 1,220 | 1,683 | 791 | 524 | 267 | 2,089 | 691 | 1,398 | 22 | 5 | 17 | 1 | .. | 1  |
|  20—30 | .. | 5,360 | 2,718 | 2,642 | 492 | 423 | 69 | 4,708 | 2,247 | 2,461 | 154 | 45 | 109 | 6 | 3 | 3  |
|  30—40 | .. | 2,705 | 1,785 | 920 | 86 | 86 | .. | 2,296 | 1,587 | 709 | 318 | 108 | 210 | 5 | 4 | 1  |
|  40—50 | .. | 1,980 | 1,271 | 709 | 40 | 39 | 1 | 1,559 | 1,066 | 493 | 368 | 157 | 211 | 13 | 9 | 4  |
|  50—60 | .. | 1,614 | 959 | 655 | 30 | 28 | 2 | 1,230 | 768 | 462 | 344 | 156 | 188 | 10 | 7 | 3  |
|  60 & over | .. | 1,377 | 872 | 505 | 12 | 12 | .. | 959 | 670 | 289 | 398 | 187 | 211 | 8 | 3 | 5  |
|  3. Other Hindus. |   | 451,696 | 232,914 | 218,782 | 169,920 | 96,748 | 73,172 | 243,368 | 122,092 | 121,276 | 35,787 | 12,975 | 22,812 | 2,621 | 1,099 | 1,522  |
|  0—1 | .. | 12,378 | 6,459 | 5,919 | 12,201 | 6,403 | 5,708 | 174 | 56 | 118 | 3 | .. | 3 | .. | .. | ..  |
|  1—5 | .. | 48,763 | 27,121 | 21,642 | 47,084 | 26,417 | 20,667 | 1,617 | 662 | 955 | 62 | 42 | 20 | .. | .. | ..  |
