SUBSIDIARY TABLE 1.—Age distribution of 1,000 of each sex at each of the last three censuses.

|  AGE. | 1901. |   | 1891. |   | 1881.  |   |
| --- | --- | --- | --- | --- | --- | --- |
|   |  Males. | Females. | Males. | Females. | Males. | Females.  |
|  1 | 2 | 3 | 4 | 5 | 6 | 7  |
|  0-1 | 28 | 35 | 22 | 29 | 20 | 28  |
|  1-2 | 8 | 10 | 15 | 20 | 13 | 17  |
|  2-3 | 20 | 26 | 25 | 33 | 14 | 19  |
|  3-4 | 18 | 25 | 26 | 35 | 18 | 25  |
|  4-5 | 21 | 27 | 23 | 29 | 19 | 24  |
|  TOTAL 0-5 | 95 | 123 | 111 | 146 | 84 | 113  |
|  5-10 | 112 | 139 | 115 | 139 | 111 | 142  |
|  10-15 | 119 | 129 | 94 | 99 | 113 | 117  |
|  TOTAL 0-15 | 326 | 391 | 320 | 384 | 308 | 372  |
|  15-20 | 97 | 96 | 99 | 103 | 115 | 110  |
|  20-25 | 101 | 104 | 109 | 112 | 114 | 118  |
|  25-30 | 122 | 109 | 128 | 110 | 131 | 118  |
|  30-35 | 107 | 84 | 103 | 82 | 108 | 85  |
|  35-40 | 79 | 54 | 77 | 54 | 78 | 54  |
|  TOTAL 15-40 | 506 | 447 | 516 | 461 | 546 | 485  |
|  40-45 | 64 | 53 | 61 | 53 | 58 | 48  |
|  45-50 | 35 | 28 | 36 | 27 | 31 | 26  |
|  50-55 | 32 | 35 | 31 | 33 | 28 | 29  |
|  55-60 | 13 | 13 | 13 | 11 | 10 | 10  |
|  TOTAL 40-60 | 144 | 129 | 141 | 124 | 127 | 113  |
|  60 and over | 24 | 33 | 23 | 31 | 19 | 30  |
|  TOTAL | 1,000 | 1,000 | 1,000 | 1,000 | 1,000 | 1,000  |
|  Mean Age | 25 | 23 | 24 | 23 | 24 | 23  |
