# Age, Sex and Civil Condition.—Eastern Division.

## A—Total Population.

|  Age. | Population. |   |   | Unmarried.  |   |   |
| --- | --- | --- | --- | --- | --- | --- |
|   |  Persons. | Males. | Females. | Persons. | Males. | Females.  |
|  1 | 2 | 3 | 4 | 5 | 6 | 7  |
|  0—1 | 32,217 | 14,919 | 17,298 | 32,217 | 14,919 | 17,298  |
|  1—2 | 30,401 | 14,637 | 15,764 | 30,401 | 14,637 | 15,764  |
|  2—3 | 34,733 | 16,711 | 18,022 | 34,733 | 16,711 | 18,022  |
|  3—4 | 38,158 | 18,347 | 19,811 | 38,156 | 18,347 | 19,809  |
|  4—5 | 34,000 | 16,610 | 17,390 | 33,993 | 16,610 | 17,383  |
|  Total 0—5 | 169,509 | 81,224 | 88,285 | 169,500 | 81,224 | 88,276  |
|  5—10 | 166,745 | 83,669 | 83,076 | 166,055 | 83,520 | 82,535  |
|  10—15 | 150,630 | 79,166 | 71,464 | 141,016 | 77,724 | 63,292  |
|  15—20 | 116,595 | 57,993 | 58,602 | 67,163 | 45,926 | 21,237  |
|  20—25 | 111,950 | 53,002 | 58,948 | 27,236 | 21,500 | 5,736  |
|  25—30 | 120,076 | 59,814 | 60,262 | 12,127 | 9,684 | 2,443  |
|  30—35 | 95,124 | 49,257 | 45,867 | 3,554 | 2,604 | 950  |
|  35—40 | 85,869 | 47,873 | 37,996 | 1,855 | 1,219 | 636  |
|  40—45 | 66,459 | 36,018 | 30,441 | 1,111 | 625 | 486  |
|  45—50 | 53,330 | 29,353 | 23,977 | 672 | 342 | 330  |
|  50—55 | 45,019 | 23,755 | 21,264 | 585 | 281 | 304  |
|  55—60 | 26,926 | 14,278 | 12,648 | 295 | 159 | 136  |
|  60 and over | 53,324 | 25,693 | 27,631 | 675 | 263 | 412  |
|  Total | 1,261,556 | 641,095 | 620,461 | 591,844 | 325,071 | 266,773  |
