```json
[
  {"age": "All Religions", "Persons": 1225608, "Males": 621687, "Females": 603321, "Unmarried_Persons": 438854, "Unmarried_Males": 255561, "Unmarried_Females": 183293, "Married_Persons": 657515, "Married_Males": 332369, "Married_Females": 325146, "Widowed_Persons": 129649, "Widowed_Males": 33757, "Widowed_Females": 94882},
  {"age": "0-1", "Persons": 42925, "Males": 15376, "Females": 17517, "Unmarried_Persons": 31650, "Unmarried_Males": 14508, "Unmarried_Females": 17052, "Married_Persons": 1214, "Married_Males": 702, "Married_Females": 462, "Widowed_Persons": 59, "Widowed_Males": 46, "Widowed_Females": 13},
  {"age": "1-5", "Persons": 152924, "Males": 76517, "Females": 81326, "Unmarried_Persons": 151108, "Unmarried_Males": 76101, "Unmarried_Females": 75011, "Married_Persons": 1609, "Married_Males": 1176, "Married_Females": 2142, "Widowed_Persons": 366, "Widowed_Males": 300, "Widowed_Females": 500},
  {"age": "5-10", "Persons": 146342, "Males": 74670, "Females": 71672, "Unmarried_Persons": 112188, "Unmarried_Males": 61206, "Unmarried_Females": 51062, "Married_Persons": 32933, "Married_Males": 13062, "Married_Females": 19926, "Widowed_Persons": 999, "Widowed_Males": 372, "Widowed_Females": 627},
  {"age": "10-15", "Persons": 132472, "Males": 68260, "Females": 69078, "Unmarried_Persons": 78142, "Unmarried_Males": 50146, "Unmarried_Females": 27966, "Married_Persons": 49418, "Married_Males": 17419, "Married_Females": 32311, "Widowed_Persons": 1416, "Widowed_Males": 590, "Widowed_Females": 760},
  {"age": "15-20", "Persons": 104065, "Males": 51384, "Females": 62607, "Unmarried_Persons": 26847, "Unmarried_Males": 32547, "Unmarried_Females": 4040, "Married_Persons": 74509, "Married_Males": 27956, "Married_Females": 46832, "Widowed_Persons": 2182, "Widowed_Males": 813, "Widowed_Females": 1439},
  {"age": "20-25", "Persons": 121511, "Males": 60558, "Females": 61223, "Unmarried_Persons": 15579, "Unmarried_Males": 20412, "Unmarried_Females": 4526, "Married_Persons": 103648, "Married_Males": 56529, "Married_Females": 101462, "Widowed_Persons": 11795, "Widowed_Males": 2617, "Widowed_Females": 6278},
  {"age": "25-40", "Persons": 284584, "Males": 141425, "Females": 143156, "Unmarried_Persons": 8970, "Unmarried_Males": 7812, "Unmarried_Females": 1178, "Married_Persons": 255906, "Married_Males": 86529, "Married_Females": 118567, "Widowed_Persons": 19708, "Widowed_Males": 7084, "Widowed_Females": 25720},
  {"age": "40-50", "Persons": 117657, "Males": 62710, "Females": 54947, "Unmarried_Persons": 4876, "Unmarried_Males": 1614, "Unmarried_Females": 852, "Married_Persons": 82530, "Married_Males": 51394, "Married_Females": 31366, "Widowed_Persons": 29957, "Widowed_Males": 7108, "Widowed_Females": 17075},
  {"age": "50-60", "Persons": 76609, "Males": 39077, "Females": 37532, "Unmarried_Persons": 4187, "Unmarried_Males": 2208, "Unmarried_Females": 639, "Married_Persons": 42797, "Married_Males": 27615, "Married_Females": 15392, "Widowed_Persons": 28925, "Widowed_Males": 7324, "Widowed_Females": 22570},
  {"age": "60 and over", "Persons": 60829, "Males": 30645, "Females": 30184, "Unmarried_Persons": 2562, "Unmarried_Males": 2001, "Unmarried_Females": 471, "Married_Persons": 28416, "Married_Males": 19945, "Married_Females": 8271, "Widowed_Persons": 29951, "Widowed_Males": 8299, "Widowed_Females": 21252},
  {"age": "Hindu (Brahmanic)", "Persons": 785929, "Males": 398524, "Females": 387405, "Unmarried_Persons": 266412, "Unmarried_Males": 156147, "Unmarried_Females": 110065, "Married_Persons": 429533, "Married_Males": 217282, "Married_Females": 212251, "Widowed_Persons": 89984, "Widowed_Males": 24895, "Widowed_Females": 65089},
