TABLE VII.
Age, Sex and Civil Condition Part II.—Districts.

|  District | Religion and Age | POPULATION |   |   | UNMARRIED |   |   | MARRIED |   |   | WIDOWED  |   |   |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|   |   |  Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | Persons | Males | Females  |
|  1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14  |
|  Gulbarga | All Religions | 1,225,008 | 621,687 | 603,321 | 438,854 | 255,561 | 183,293 | 657,515 | 332,369 | 325,146 | 128,639 | 33,757 | 94,882  |
|   | 0-1 | 32,923 | 15,376 | 17,547 | 31,650 | 14,598 | 17,052 | 1,214 | 732 | 482 | 59 | 46 | 13  |
|   | 1-5 | 157,873 | 70,617 | 81,256 | 143,308 | 68,194 | 74,814 | 13,699 | 7,757 | 5,912 | 866 | 366 | 500  |
|   | 5-10 | 146,342 | 74,670 | 71,672 | 112,388 | 61,296 | 51,092 | 32,985 | 13,002 | 19,953 | 999 | 372 | 627  |
|   | 10-15 | 129,572 | 68,599 | 60,973 | 78,542 | 50,546 | 27,996 | 49,684 | 17,473 | 32,211 | 1,346 | 580 | 766  |
|   | 15-20 | 104,008 | 51,550 | 52,458 | 26,847 | 22,787 | 4,060 | 74,809 | 27,950 | 46,859 | 2,352 | 813 | 1,539  |
|   | 20-30 | 224,251 | 110,028 | 114,223 | 25,070 | 20,812 | 4,258 | 187,986 | 86,299 | 101,687 | 11,195 | 2,917 | 8,278  |
|   | 30-40 | 175,144 | 92,425 | 82,719 | 8,770 | 6,711 | 2,059 | 143,255 | 80,272 | 62,983 | 23,119 | 5,442 | 17,677  |
|   | 40-50 | 117,657 | 62,710 | 54,947 | 4,870 | 4,018 | 852 | 82,830 | 51,494 | 31,336 | 29,957 | 7,198 | 22,759  |
|   | 50-60 | 76,409 | 39,077 | 37,332 | 4,847 | 4,208 | 639 | 42,767 | 27,145 | 15,322 | 28,795 | 7,424 | 21,371  |
|   | 60 and over | 60,829 | 30,635 | 30,194 | 2,562 | 2,091 | 471 | 28,316 | 19,945 | 8,371 | 29,951 | 8,599 | 21,352  |
|   | Hindu (Brahmanic) | 785,929 | 398,524 | 387,405 | 266,412 | 156,347 | 110,065 | 429,533 | 217,282 | 212,251 | 89,984 | 24,895 | 65,089  |
|   | 0-1 | 20,043 | 91,32 | 10,911 | 19,430 | 8,808 | 10,622 | 582 | 297 | 285 | 31 | 27 | 4  |
|   | 1-5 | 93,752 | 44,750 | 49,002 | 84,985 | 39,599 | 45,386 | 8,086 | 4,815 | 3,271 | 681 | 336 | 315  |
|   | 5-10 | 90,906 | 45,242 | 45,664 | 67,595 | 36,457 | 31,138 | 22,720 | 8,584 | 14,136 | 591 | 201 | 390  |
|   | 10-15 | 82,999 | 43,648 | 39,351 | 48,760 | 31,918 | 16,842 | 33,374 | 11,377 | 21,997 | 865 | 353 | 512  |
|   | 15-20 | 67,441 | 33,452 | 33,989 | 16,316 | 14,311 | 1,975 | 49,522 | 18,562 | 30,960 | 1,603 | 549 | 1,054  |
|   | 20-30 | 143,517 | 71,003 | 72,514 | 15,286 | 13,069 | 2,217 | 120,444 | 55,815 | 64,629 | 7,787 | 2,119 | 5,668  |
|   | 30-40 | 114,954 | 60,645 | 54,309 | 5,562 | 1,503 | 1,059 | 93,200 | 52,108 | 41,092 | 16,192 | 4,034 | 12,158  |
|   | 40-50 | 77,860 | 41,535 | 36,325 | 3,038 | 2,639 | 399 | 53,849 | 33,524 | 20,325 | 20,973 | 5,372 | 15,601  |
|   | 50-60 | 53,476 | 27,790 | 25,686 | 3,874 | 3,630 | 244 | 29,329 | 18,604 | 10,725 | 20,273 | 5,556 | 14,717  |
|   | 60 and over | 40,981 | 21,327 | 19,654 | 1,566 | 1,383 | 183 | 18,427 | 13,596 | 4,831 | 20,988 | 6,348 | 14,640  |
