VII.—PART II.—AGE, AND CIVIL CONDITION BY DISTRICTS.—GULBARGA DISTRICT.

|  Srl. No. | Communities and Age | POPULATION |   |   | UNMARRIED |   |   | MARRIED |   |   | WIDOWED |   |   | DIVORCED  |   |   |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|   |  | Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | P. | M. | F.  |
|  1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17  |
|  ALL COM-MUNITIES. |   | 1,312,055 | 669,152 | 642,903 | 478,953 | 273,802 | 205,151 | 711,017 | 362,301 | 348,716 | 117,271 | 31,116 | 86,155 | 4,814 | 1,933 | 2,881  |
|  0—1 | .. | 40,993 | 20,123 | 20,870 | 39,786 | 19,701 | 20,085 | 1,104 | 403 | 701 | 103 | 19 | 84 | .. | .. | ..  |
|  1—5 | .. | 159,613 | 78,825 | 80,788 | 152,236 | 76,207 | 76,029 | 6,655 | 2,521 | 4,134 | 722 | 97 | 625 | .. | .. | ..  |
|  5—10 | .. | 149,808 | 74,945 | 74,863 | 112,281 | 61,440 | 50,841 | 36,882 | 13,376 | 23,506 | 645 | 129 | 516 | .. | .. | ..  |
|  10—15 | .. | 148,953 | 72,730 | 76,223 | 91,756 | 51,992 | 39,764 | 56,095 | 20,523 | 35,572 | 1,102 | 215 | 887 | .. | .. | ..  |
|  15—20 | .. | 133,388 | 69,479 | 63,909 | 41,100 | 30,487 | 10,613 | 90,560 | 38,479 | 52,081 | 1,695 | 501 | 1,194 | 33 | 12 | 21  |
|  20—30 | .. | 219,301 | 119,450 | 99,851 | 23,944 | 20,019 | 3,925 | 186,979 | 97,037 | 89,942 | 8,070 | 2,256 | 5,814 | 308 | 138 | 170  |
|  30—40 | .. | 165,124 | 90,345 | 74,779 | 9,445 | 7,600 | 1,845 | 139,981 | 78,497 | 61,484 | 14,648 | 3,706 | 10,942 | 1,050 | 542 | 508  |
|  40—50 | .. | 122,893 | 62,095 | 60,798 | 4,912 | 3,997 | 915 | 92,919 | 50,897 | 42,022 | 23,958 | 6,799 | 17,159 | 1,104 | 402 | 702  |
|  50—60 | .. | 93,703 | 42,116 | 51,587 | 2,103 | 1,397 | 706 | 59,136 | 33,601 | 25,535 | 31,334 | 6,740 | 24,594 | 1,130 | 378 | 752  |
|  60 & over | .. | 78,279 | 39,044 | 39,235 | 1,390 | 962 | 428 | 40,706 | 26,967 | 13,739 | 34,994 | 10,654 | 24,340 | 1,189 | 461 | 728  |
|  2. Brahmanic Hindus. |   | 29,620 | 14,991 | 14,629 | 12,217 | 6,293 | 5,924 | 16,308 | 8,163 | 8,145 | 1,095 | 535 | 560 | .. | .. | ..  |
|  0—1 | .. | 1,002 | 448 | 554 | 1,002 | 448 | 554 | .. | .. | .. | .. | .. | .. | .. | .. | ..  |
|  1—5 | .. | 2,820 | 1,363 | 1,457 | 2,805 | 1,362 | 1,443 | 15 | 1 | 14 | .. | .. | .. | .. | .. | ..  |
|  5—10 | .. | 3,216 | 1,448 | 1,768 | 3,007 | 1,445 | 1,562 | 209 | 3 | 206 | .. | .. | .. | .. | .. | ..  |
|  10—15 | .. | 3,627 | 1,184 | 2,443 | 2,443 | 1,069 | 1,374 | 1,182 | 113 | 1,069 | 2 | 2 | .. | .. | .. | ..  |
|  15—20 | .. | 4,843 | 1,564 | 3,279 | 2,163 | 1,198 | 965 | 2,660 | 362 | 2,298 | 20 | 4 | 16 | .. | .. | ..  |
|  20—30 | .. | 6,400 | 4,028 | 2,372 | 746 | 721 | 25 | 5,553 | 3,249 | 2,304 | 101 | 58 | 43 | .. | .. | ..  |
|  30—40 | .. | 3,028 | 2,056 | 972 | 23 | 22 | 1 | 2,835 | 1,956 | 879 | 170 | 78 | 92 | .. | .. | ..  |
|  40—50 | .. | 2,565 | 1,633 | 932 | 6 | 6 | .. | 2,308 | 1,490 | 818 | 251 | 137 | 114 | .. | .. | ..  |
|  50—60 | .. | 1,353 | 727 | 626 | 17 | 17 | .. | 1,032 | 589 | 443 | 304 | 121 | 183 | .. | .. | ..  |
|  60 & over | .. | 766 | 540 | 226 | 5 | 5 | .. | 514 | 400 | 114 | 247 | 135 | 112 | .. | .. | ..  |
|  3. Other Hindus. |   | 529,327 | 269,734 | 259,593 | 175,571 | 102,377 | 73,194 | 299,166 | 154,388 | 144,778 | 53,180 | 12,237 | 40,943 | 1,410 | 732 | 678  |
|  0—1 | .. | 15,252 | 7,986 | 7,266 | 14,506 | 7,777 | 6,729 | 682 | 200 | 482 | 64 | 9 | 55 | .. | .. | ..  |
|  1—5 | .. | 57,295 | 27,545 | 29,750 | 51,832 | 25,661 | 26,171 | 4,854 | 1,803 | 3,051 | 609 | 81 | 528 | .. | .. | ..  |
