30
# TABLE VII.
## AGE, SEX AND CIVIL CONDITION.
### A—All Religions.

|  Age. | Population. |   |   | Unmarried. |   |   | Married. |   |   | Widowed.  |   |   |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|   |  Persons. | Males. | Females. | Persons. | Males. | Females. | Persons. | Males. | Females. | Persons. | Males. | Females.  |
|  1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13  |
|  0—1 | 175,786 | 85,577 | 90,209 | 174,225 | 85,051 | 89,174 | 1,467 | 509 | 958 | 94 | 17 | 77  |
|  1—2 | 236,893 | 115,495 | 121,398 | 235,271 | 114,699 | 120,572 | 1,490 | 763 | 727 | 132 | 33 | 99  |
|  2—3 | 323,459 | 155,863 | 167,596 | 318,976 | 154,163 | 164,813 | 4,218 | 1,630 | 2,588 | 265 | 70 | 195  |
|  3—4 | 286,702 | 136,803 | 149,899 | 280,506 | 134,746 | 145,760 | 5,868 | 1,982 | 3,886 | 328 | 75 | 253  |
|  4—5 | 332,827 | 165,119 | 167,708 | 322,903 | 162,116 | 160,747 | 9,101 | 2,821 | 6,280 | 823 | 182 | 641  |
|  Total 0—5 | 1,355,667 | 658,857 | 696,810 | 1,331,881 | 650,775 | 681,106 | 22,144 | 7,705 | 14,439 | 1,642 | 377 | 1,265  |
|  5—10 | 1,452,854 | 755,963 | 696,891 | 1,289,714 | 725,092 | 564,622 | 153,161 | 28,691 | 124,470 | 9,979 | 2,180 | 7,799  |
|  10—15 | 1,350,321 | 739,509 | 610,812 | 879,907 | 633,738 | 246,169 | 443,034 | 98,576 | 344,458 | 27,380 | 7,195 | 20,185  |
|  15—20 | 852,389 | 428,409 | 423,980 | 319,500 | 270,156 | 49,344 | 502,285 | 150,145 | 352,140 | 30,604 | 8,108 | 22,496  |
|  20—25 | 894,027 | 405,798 | 488,229 | 161,074 | 131,285 | 26,789 | 682,340 | 253,674 | 422,666 | 50,613 | 11,839 | 38,774  |
|  25—30 | 1,051,503 | 523,613 | 527,890 | 127,057 | 76,512 | 50,515 | 844,478 | 425,666 | 418,812 | 79,968 | 21,405 | 58,563  |
|  30—35 | 1,072,226 | 538,818 | 533,408 | 77,341 | 40,330 | 37,611 | 869,499 | 470,506 | 398,993 | 125,386 | 27,982 | 97,404  |
|  35—40 | 628,589 | 342,613 | 285,976 | 39,074 | 19,244 | 19,830 | 491,882 | 301,284 | 190,598 | 97,633 | 22,085 | 75,548  |
|  40—45 | 818,675 | 425,753 | 392,922 | 33,616 | 20,963 | 12,653 | 579,819 | 366,990 | 212,829 | 205,240 | 37,809 | 167,440  |
|  45—50 | 357,058 | 200,814 | 156,244 | 13,097 | 8,161 | 4,636 | 246,293 | 169,334 | 76,959 | 97,668 | 23,019 | 74,649  |
|  50—55 | 568,550 | 289,341 | 279,209 | 16,361 | 10,586 | 5,775 | 328,319 | 233,902 | 94,417 | 223,870 | 44,553 | 179,017  |
|  55—60 | 168,158 | 93,094 | 75,064 | 6,938 | 4,499 | 2,439 | 97,359 | 69,913 | 27,446 | 63,861 | 18,682 | 45,179  |
|  60 & over | 570,951 | 271,002 | 299,949 | 15,862 | 9,748 | 6,114 | 241,694 | 190,386 | 51,308 | 313,395 | 70,863 | 242,527  |
|  Age not stated | 174 | 45 | 129 | 103 | 20 | 83 | 60 | 23 | 37 | 11 | 2 | 9  |
|  Total ... | 11,141,142 | 5,673,629 | 5,467,513 | 4,311,525 | 2,604,439 | 1,707,086 | 5,502,367 | 2,772,795 | 2,729,572 | 1,327,250 | 296,395 | 1,030,855  |
