AGE, SEX &amp; CIVIL CONDITION.
54
TABLE VII.

# TABLE VII.
## Age, Sex and Civil Condition Part II.—Districts.

|  District | Religion and Age | POPULATION |   |   | UNMARRIED |   |   | MARRIED |   |   | WIDOWED  |   |   |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|   |   |  Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | Persons | Males | Females  |
|  1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14  |
|  Karimnagar | All Religions | 1,241,405 | 634,416 | 606,989 | 450,583 | 275,857 | 174,726 | 667,414 | 333,473 | 333,941 | 123,408 | 25,086 | 98,322  |
|   | 0-1 | 36,583 | 17,403 | 19,180 | 36,536 | 17,395 | 19,141 | 47 | 8 | 39 | .. | .. | ..  |
|   | 1-5 | 187,028 | 82,605 | 104,423 | 181,615 | 80,907 | 100,708 | 5,235 | 1,677 | 3,558 | 178 | 21 | 157  |
|   | 5-10 | 137,264 | 82,321 | 54,963 | 102,371 | 74,871 | 27,500 | 34,283 | 7,351 | 26,832 | 630 | 99 | 531  |
|   | 10-15 | 138,056 | 74,026 | 64,030 | 79,020 | 58,903 | 20,117 | 57,356 | 14,893 | 42,463 | 1,680 | 230 | 1,450  |
|   | 15-20 | 117,634 | 58,380 | 59,254 | 26,300 | 23,435 | 2,865 | 87,993 | 34,474 | 53,519 | 3,341 | 471 | 2,870  |
|   | 20-30 | 228,288 | 113,097 | 115,191 | 18,192 | 16,430 | 1,762 | 198,504 | 94,881 | 103,623 | 11,592 | 1,786 | 9,806  |
|   | 30-40 | 162,694 | 84,416 | 78,278 | 2,679 | 1,802 | 877 | 138,338 | 78,950 | 59,388 | 21,677 | 3,664 | 18,013  |
|   | 40-50 | 115,788 | 61,414 | 54,374 | 1,705 | 994 | 711 | 83,812 | 54,525 | 29,287 | 30,271 | 5,895 | 24,376  |
|   | 50-60 | 68,650 | 35,985 | 32,665 | 1,066 | 505 | 561 | 40,116 | 29,266 | 10,850 | 27,468 | 6,214 | 21,254  |
|   | 60 and over | 49,400 | 24,769 | 24,631 | 1,099 | 615 | 484 | 21,730 | 17,448 | 4,282 | 26,571 | 6,706 | 19,865  |
|   | Hindu (Brahmanic) | 933,527 | 476,884 | 456,643 | 325,619 | 202,645 | 122,974 | 509,416 | 253,858 | 255,558 | 98,492 | 20,381 | 78,111  |
|   | 0-1 | 26,822 | 13,633 | 13,789 | 26,778 | 13,925 | 13,753 | 44 | 8 | 36 | .. | .. | ..  |
|   | 1-5 | 137,909 | 57,717 | 80,192 | 134,213 | 56,963 | 77,250 | 3,555 | 741 | 2,814 | 141 | 13 | 128  |
|   | 5-10 | 97,927 | 61,637 | 36,290 | 69,468 | 55,900 | 13,568 | 27,919 | 5,643 | 22,276 | 540 | 94 | 446  |
|   | 10-15 | 105,062 | 56,915 | 48,147 | 57,409 | 44,453 | 12,956 | 46,119 | 12,246 | 33,873 | 1,534 | 216 | 1,318  |
|   | 15-20 | 89,703 | 44,584 | 45,119 | 18,635 | 16,687 | 1,948 | 68,139 | 27,500 | 40,639 | 2,929 | 397 | 2,532  |
|   | 20-30 | 174,430 | 86,881 | 87,549 | 13,643 | 12,439 | 1,204 | 151,320 | 73,011 | 78,309 | 9,467 | 1,431 | 8,036  |
|   | 30-40 | 122,978 | 63,824 | 59,154 | 2,088 | 1,395 | 693 | 103,743 | 59,435 | 44,308 | 17,147 | 2,994 | 14,153  |
|   | 40-50 | 86,838 | 45,297 | 41,541 | 1,428 | 801 | 627 | 61,594 | 39,724 | 21,870 | 23,816 | 4,772 | 19,044  |
|   | 50-60 | 52,997 | 27,642 | 25,355 | 922 | 410 | 512 | 30,425 | 22,192 | 8,233 | 21,650 | 5,040 | 16,610  |
|   | 60 and over | 38,861 | 19,354 | 19,507 | 1,035 | 572 | 463 | 16,558 | 13,358 | 3,200 | 21,268 | 5,424 | 15,844  |
