VII.—PART II.—AGE AND CIVIL CONDITION BY DISTRICTS.—KARIMNAGAR DISTRICT.

|  Srd. Communities
No. and Age | POPULATION |   |   | UNMARRIED |   |   | MARRIED |   |   | WIDOWED |   |   | DIVORCED  |   |   |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|   |  Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | P. | M. | F.  |
|  1 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17  |
|  1. ALL COMMUNITIES. | 1,355,415 | 689,578 | 665,837 | 494,928 | 299,566 | 195,362 | 725,946 | 362,201 | 363,745 | 126,835 | 25,181 | 101,654 | 7,706 | 2,630 | 5,076  |
|  0—1 | 42,429 | 20,369 | 22,060 | 42,406 | 20,353 | 22,053 | 23 | 16 | 7 | .. | .. | .. | .. | .. | ..  |
|  1—5 | 190,649 | 85,730 | 104,919 | 186,367 | 83,393 | 102,974 | 4,080 | 2,333 | 1,747 | 47 | 4 | 43 | 155 | .. | 155  |
|  5—10 | 142,275 | 87,084 | 55,241 | 113,565 | 78,983 | 84,582 | 28,076 | 8,000 | 20,076 | 509 | 29 | 480 | 125 | 22 | 103  |
|  10—15 | 156,434 | 86,192 | 70,242 | 89,819 | 64,754 | 25,065 | 64,978 | 21,265 | 43,713 | 1,181 | 105 | 1,076 | 456 | 68 | 388  |
|  15—20 | 134,552 | 68,754 | 65,798 | 33,713 | 28,591 | 5,122 | 97,163 | 39,540 | 57,623 | 3,203 | 553 | 2,650 | 473 | 70 | 403  |
|  20—30 | 247,420 | 123,640 | 123,771 | 21,708 | 10,098 | 2,610 | 211,604 | 102,072 | 109,532 | 12,418 | 1,867 | 10,551 | 1,690 | 612 | 1,078  |
|  30—40 | 169,920 | 85,945 | 83,975 | 2,946 | 1,878 | 1,068 | 144,873 | 80,776 | 64,097 | 20,625 | 2,627 | 17,998 | 1,476 | 664 | 812  |
|  40—50 | 124,250 | 65,736 | 58,514 | 2,027 | 1,131 | 896 | 94,338 | 59,445 | 34,893 | 26,494 | 4,505 | 21,989 | 1,391 | 655 | 736  |
|  50—60 | 77,549 | 35,807 | 41,742 | 1,246 | 633 | 613 | 47,500 | 27,444 | 20,056 | 27,786 | 7,352 | 20,434 | 1,017 | 378 | 639  |
|  60 & over | 69,937 | 30,362 | 39,575 | 1,131 | 752 | 379 | 33,311 | 21,310 | 12,001 | 34,572 | 8,139 | 26,433 | 923 | 161 | 762  |
|  2. Brahmanic
Hindus. | 13,702 | 5,670 | 8,032 | 4,093 | 2,019 | 2,074 | 8,216 | 3,466 | 4,750 | 1,393 | 185 | 1,208 | .. | .. | ..  |
|  0—1 | 180 | 84 | 96 | 179 | 83 | 96 | 1 | 1 | .. | .. | .. | .. | .. | .. | ..  |
|  1—5 | 861 | 479 | 382 | 852 | 479 | 373 | 8 | .. | 8 | 1 | .. | 1 | .. | .. | ..  |
|  5—10 | 1,143 | 538 | 605 | 806 | 330 | 476 | 335 | 208 | 127 | 2 | .. | 2 | .. | .. | ..  |
|  10—15 | 2,018 | 793 | 1,225 | 1,231 | 541 | 690 | 753 | 246 | 507 | 34 | 6 | 28 | .. | .. | ..  |
|  15—20 | 1,568 | 494 | 1,074 | 631 | 248 | 383 | 883 | 239 | 644 | 54 | 7 | 47 | .. | .. | ..  |
|  20—30 | 2,435 | 1,045 | 1,390 | 345 | 291 | 54 | 1,881 | 718 | 1,163 | 209 | 36 | 173 | .. | .. | ..  |
|  30—40 | 1,936 | 808 | 1,128 | 33 | 31 | 2 | 1,636 | 740 | 896 | 267 | 37 | 230 | .. | .. | ..  |
|  40—50 | 1,588 | 625 | 963 | 9 | 9 | .. | 1,267 | 585 | 682 | 312 | 31 | 281 | .. | .. | ..  |
|  50—60 | 1,387 | 576 | 811 | 4 | 4 | .. | 1,100 | 545 | 555 | 283 | 27 | 256 | .. | .. | ..  |
|  60 & over | 586 | 228 | 358 | 3 | 3 | .. | 352 | 184 | 168 | 231 | 41 | 190 | .. | .. | ..  |
|  3. Other Hindus | 950,542 | 484,214 | 466,328 | 332,331 | 205,764 | 126,567 | 518,700 | 258,157 | 260,543 | 93,037 | 17,985 | 75,052 | 6,474 | 2,308 | 4,166  |
|  0—1 | 30,621 | 15,526 | 15,095 | 30,612 | 15,520 | 15,092 | 9 | 6 | 3 | .. | .. | .. | .. | .. | ..  |
|  1—5 | 137,197 | 59,257 | 77,940 | 135,058 | 58,150 | 76,908 | 1,946 | 1,106 | 840 | 38 | 1 | 37 | 155 | .. | 155  |
|  5—10 | 87,539 | 58,659 | 28,880 | 67,710 | 53,608 | 14,102 | 19,494 | 5,046 | 14,448 | 235 | 5 | 230 | 100 | .. | 100  |
