TABLE VII.
Age, Sex and Civil Condition Part II.—Districts.

|  District | Religion and Age | POPULATION |   |   | UNMARRIED |   |   | MARRIED |   |   | WIDOWED  |   |   |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|   |   |  Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | Persons | Males | Females  |
|  1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14  |
|  Mahbubnagar.. | All Religions | 971,616 | 494,061 | 477,555 | 377,641 | 222,603 | 155,038 | 488,143 | 246,916 | 241,227 | 105,832 | 24,542 | 81,290  |
|   | 0-1 | 26,463 | 12,860 | 13,603 | 26,402 | 12,843 | 13,559 | 43 | 17 | 26 | 18 | .. | 18  |
|   | 1-5 | 141,302 | 68,881 | 72,421 | 128,652 | 64,579 | 64,073 | 11,087 | 4,226 | 6,861 | 1,563 | 76 | 1,487  |
|   | 5-10 | 119,405 | 59,302 | 60,043 | 94,447 | 53,355 | 41,092 | 22,511 | 5,778 | 17,033 | 2,147 | 229 | 1,918  |
|   | 10-15 | 106,725 | 54,454 | 32,271 | 65,599 | 43,139 | 22,460 | 39,147 | 10,989 | 28,158 | 1,979 | 326 | 1,653  |
|   | 15-20 | 89,684 | 43,147 | 46,537 | 24,904 | 20,089 | 4,815 | 61,667 | 22,261 | 39,406 | 3,113 | 797 | 2,316  |
|   | 20-30 | 177,624 | 89,811 | 87,813 | 21,152 | 17,541 | 3,611 | 145,359 | 69,304 | 76,055 | 11,113 | 2,966 | 8,147  |
|   | 30-40 | 126,577 | 67,914 | 58,663 | 6,597 | 4,681 | 1,916 | 102,037 | 59,688 | 42,349 | 17,943 | 3,545 | 14,398  |
|   | 40-50 | 85,671 | 46,630 | 39,041 | 4,333 | 2,759 | 1,574 | 59,316 | 39,492 | 19,824 | 22,022 | 4,279 | 17,643  |
|   | 50-60 | 53,097 | 28,398 | 24,699 | 3,675 | 2,710 | 965 | 28,127 | 20,276 | 7,851 | 21,295 | 5,412 | 15,883  |
|   | 60 and over | 45,068 | 22,604 | 22,464 | 1,880 | 907 | 973 | 18,549 | 14,885 | 3,664 | 24,639 | 6,812 | 17,827  |
|   | Hindu (Brahmanic) | 637,927 | 323,041 | 314,886 | 235,951 | 139,515 | 96,436 | 321,217 | 164,455 | 156,762 | 80,759 | 19,071 | 61,688  |
|   | 0-1 | 16,457 | 8,055 | 8,402 | 16,399 | 8,041 | 8,358 | 40 | 14 | 26 | 18 | .. | 18  |
|   | 1-5 | 91,045 | 43,671 | 47,374 | 79,212 | 39,813 | 39,399 | 10,324 | 3,802 | 6,522 | 1,509 | 56 | 1,453  |
|   | 5-10 | 75,866 | 36,382 | 39,484 | 56,100 | 31,476 | 24,624 | 17,733 | 4,700 | 13,033 | 2,033 | 206 | 1,827  |
|   | 10-15 | 68,617 | 34,447 | 34,170 | 38,956 | 25,801 | 13,155 | 27,915 | 8,381 | 19,534 | 1,746 | 265 | 1,481  |
|   | 15-20 | 59,880 | 28,913 | 30,967 | 16,347 | 12,768 | 3,579 | 40,962 | 15,459 | 25,503 | 2,571 | 686 | 1,885  |
|   | 20-30 | 119,150 | 61,776 | 57,874 | 15,449 | 12,722 | 2,727 | 94,992 | 46,726 | 48,266 | 8,709 | 2,328 | 6,381  |
|   | 30-40 | 81,595 | 43,377 | 38,218 | 5,135 | 3,654 | 1,481 | 62,957 | 37,029 | 25,928 | 13,503 | 2,694 | 10,809  |
|   | 40-50 | 57,382 | 30,746 | 26,636 | 3,495 | 2,133 | 1,362 | 37,422 | 25,402 | 12,020 | 16,465 | 3,211 | 13,254  |
|   | 50-60 | 36,418 | 19,811 | 16,607 | 3,253 | 2,397 | 856 | 17,429 | 13,211 | 4,218 | 15,736 | 4,203 | 11,533  |
|   | 60 and over | 31,517 | 15,863 | 15,654 | 1,605 | 710 | 895 | 11,443 | 9,731 | 1,712 | 18,469 | 5,422 | 13,047  |
