VII.—PART II.—AGE AND CIVIL CONDITION BY DISTRICTS.—MAHBUBNAGAR DISTRICT.

|  Srl. No. | Communities and Ages | POPULATION |   |   | UNMARRIED |   |   | MARRIED |   |   | WIDOWED |   |   | DIVORCED  |   |   |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|   |   |  Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | P. | M. | F.  |
|  1 | 2 | 3 | 4 | 5. | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17  |
|  1. | ALL COM-MUNITIES. | 1,088,209 | 552,079 | 536,130 | 422,560 | 248,024 | 174,536 | 553,047 | 275,745 | 277,302 | 108,939 | 27,028 | 81,911 | 3,663 | 1,282 | 2,381  |
|   | 0—1 | 30,919 | 14,343 | 16,576 | 30,728 | 14,331 | 16,397 | 191 | 12 | 179 | .. | .. | .. | .. | .. | ..  |
|   | 1—5 | 136,176 | 63,495 | 72,681 | 130,981 | 62,225 | 68,756 | 4,538 | 1,270 | 3,268 | 657 | .. | 657 | .. | .. | ..  |
|   | 5—10 | 92,349 | 42,053 | 50,291 | 78,811 | 34,435 | 44,376 | 12,958 | 7,548 | 5,410 | 573 | 63 | 510 | 7 | 7 | ..  |
|   | 10—15 | 121,687 | 68,467 | 53,220 | 81,206 | 53,024 | 28,182 | 39,418 | 15,144 | 24,274 | 1,038 | 299 | 739 | 25 | .. | 25  |
|   | 15—20 | 116,720 | 70,998 | 45,722 | 51,887 | 43,834 | 8,053 | 61,851 | 26,583 | 35,268 | 2,715 | 499 | 2,216 | 267 | 82 | 185  |
|   | 20—30 | 173,184 | 99,509 | 73,675 | 22,629 | 19,324 | 3,305 | 140,224 | 77,851 | 62,373 | 9,511 | 2,071 | 7,440 | 820 | 263 | 557  |
|   | 30—40 | 164,497 | 73,994 | 90,503 | 13,545 | 11,421 | 2,124 | 132,746 | 58,761 | 73,985 | 17,315 | 3,497 | 11,818 | 891 | 315 | 576  |
|   | 40—50 | 114,635 | 55,459 | 59,176 | 7,117 | 5,429 | 1,688 | 86,775 | 45,153 | 41,622 | 20,067 | 4,621 | 15,446 | 676 | 256 | 420  |
|   | 50—60 | 75,889 | 35,855 | 40,034 | 3,441 | 2,570 | 871 | 46,491 | 26,537 | 19,954 | 25,391 | 6,550 | 18,841 | 566 | 198 | 368  |
|   | 60 & over | 62,153 | 27,906 | 34,247 | 2,215 | 1,431 | 784 | 27,855 | 16,886 | 10,969 | 31,672 | 9,428 | 22,244 | 411 | 161 | 250  |
|  2. | Brahmanic Hindus. | 12,784 | 6,067 | 6,717 | 4,648 | 2,170 | 2,478 | 7,214 | 3,685 | 3,529 | 922 | 212 | 710 | .. | .. | ..  |
|   | 0—1 | 214 | 71 | 143 | 209 | 66 | 143 | 5 | 5 | .. | .. | .. | .. | .. | .. | ..  |
|   | 1—5 | 808 | 255 | 553 | 785 | 234 | 551 | 23 | 21 | 2 | .. | .. | .. | .. | .. | ..  |
|   | 5—10 | 668 | 261 | 407 | 667 | 261 | 407 | 1 | 1 | .. | .. | .. | .. | .. | .. | ..  |
|   | 10—15 | 1,519 | 534 | 985 | 1,197 | 521 | 676 | 321 | 13 | 308 | 1 | .. | 1 | .. | .. | ..  |
|   | 15—20 | 1,922 | 803 | 1,119 | 932 | 412 | 520 | 970 | 386 | 584 | 20 | 5 | 15 | .. | .. | ..  |
|   | 20—30 | 2,874 | 1,519 | 1,355 | 543 | 387 | 156 | 2,212 | 1,102 | 1,110 | 119 | 30 | 89 | .. | .. | ..  |
|   | 30—40 | 1,886 | 1,078 | 808 | 256 | 234 | 22 | 1,485 | 814 | 671 | 145 | 30 | 115 | .. | .. | ..  |
|   | 40—50 | 1,348 | 721 | 627 | 43 | 40 | 3 | 1,109 | 643 | 466 | 196 | 38 | 158 | .. | .. | ..  |
|   | 50—60 | 1,015 | 531 | 484 | 16 | 16 | .. | 779 | 454 | 325 | 220 | 61 | 159 | .. | .. | ..  |
|   | 60 & over | 530 | 294 | 236 | .. | .. | .. | 309 | 246 | 63 | 221 | 48 | 173 | .. | .. | ..  |
|  3. | Other Hindus | 668,149 | 338,543 | 329,606 | 248,881 | 147,683 | 101,198 | 338,577 | 170,245 | 168,332 | 78,315 | 19,715 | 58,600 | 2,376 | 900 | 1,476  |
|   | 0—1 | 18,765 | 9,059 | 9,706 | 18,710 | 9,059 | 9,651 | 55 | .. | 55 | .. | .. | .. | .. | .. | ..  |
|   | 1—5 | 80,636 | 37,742 | 42,894 | 76,985 | 36,892 | 40,093 | 3,043 | 850 | 2,193 | 608 | .. | 608 | .. | .. | ..  |
|   | 5—10 | 41,549 | 15,737 | 25,812 | 34,778 | 9,752 | 25,026 | 6,306 | 5,931 | 375 | 458 | 47 | 411 | 7 | 7 | ..  |
