TABLE VII.
AGE, SEX &amp; CIVIL CONDITION.
58
TABLE VII.

# TABLE VII.
## Age, Sex and Civil Condition Part II.—Districts.

|  District | Religion and Age | POPULATION |   |   | UNMARRIED |   |   | MARRIED |   |   | WIDOWED  |   |   |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|   |   |  Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | Persons | Males | Females  |
|  1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14  |
|  Medak | All Religions | 738,665 | 373,475 | 365,190 | 255,138 | 157,392 | 97,746 | 402,655 | 199,982 | 202,673 | 80,872 | 16,101 | 64,771  |
|   | 0-1 | 21,067 | 10,903 | 10,164 | 20,995 | 10,878 | 10,117 | 72 | 25 | 47 | .. | .. | ..  |
|   | 1-5 | 107,696 | 17,915 | 59,781 | 94,977 | 47,340 | 47,637 | 12,551 | 569 | 11,982 | 168 | 6 | 162  |
|   | 5-10 | 83,485 | 41,369 | 42,116 | 58,206 | 37,783 | 20,123 | 24,237 | 3,550 | 20,687 | 1,042 | 36 | 1,006  |
|   | 10-15 | 76,726 | 34,891 | 41,835 | 39,907 | 26,216 | 13,691 | 35,008 | 8,589 | 26,419 | 1,811 | 86 | 1,725  |
|   | 15-20 | 67,722 | 31,380 | 36,342 | 16,255 | 14,131 | 2,124 | 48,715 | 17,045 | 31,670 | 2,752 | 204 | 2,548  |
|   | 20-30 | 136,497 | 69,147 | 67,350 | 15,914 | 14,210 | 1,704 | 112,445 | 53,746 | 58,699 | 8,138 | 1,191 | 6,947  |
|   | 30-40 | 95,746 | 54,263 | 41,483 | 4,430 | 3,557 | 873 | 78,645 | 48,426 | 30,219 | 12,671 | 2,280 | 10,391  |
|   | 40-50 | 69,682 | 40,488 | 29,194 | 2,350 | 1,740 | 610 | 49,139 | 35,140 | 13,999 | 18,193 | 3,608 | 14,585  |
|   | 50-60 | 43,035 | 24,013 | 19,022 | 1,024 | 734 | 290 | 24,800 | 19,444 | 5,356 | 17,211 | 3,835 | 13,376  |
|   | 60 and over | 37,009 | 19,106 | 17,903 | 1,080 | 803 | 277 | 17,043 | 13,448 | 3,595 | 18,886 | 4,855 | 14,031  |
|   | Hindu (Brahmanic) | 508,690 | 256,911 | 251,779 | 168,160 | 105,405 | 62,755 | 282,134 | 139,852 | 142,282 | 58,396 | 11,654 | 46,742  |
|   | 0-1 | 14,502 | 7,856 | 6,646 | 14,464 | 7,844 | 6,620 | 38 | 12 | 26 | .. | .. | ..  |
|   | 1-5 | 75,004 | 32,431 | 42,573 | 63,037 | 32,034 | 31,003 | 11,848 | 393 | 11,455 | 119 | 4 | 115  |
|   | 5-10 | 62,183 | 30,644 | 31,539 | 41,606 | 27,990 | 13,616 | 19,691 | 2,630 | 17,061 | 886 | 24 | 862  |
|   | 10-15 | 51,556 | 21,864 | 29,692 | 23,636 | 15,278 | 8,358 | 26,477 | 6,518 | 19,959 | 1,443 | 68 | 1,375  |
|   | 15-20 | 46,089 | 20,441 | 25,648 | 9,299 | 8,368 | 931 | 34,479 | 11,923 | 22,556 | 2,311 | 150 | 2,161  |
|   | 20-30 | 91,848 | 47,531 | 14,317 | 9,598 | 8,810 | 788 | 76,113 | 37,838 | 38,275 | 6,137 | 883 | 5,254  |
|   | 30-40 | 64,485 | 38,229 | 26,256 | 3,239 | 2,621 | 618 | 53,380 | 33,936 | 18,444 | 8,866 | 1,672 | 7,194  |
|   | 40-50 | 48,029 | 28,515 | 19,514 | 1,631 | 1,204 | 427 | 33,420 | 24,727 | 8,693 | 12,978 | 2,584 | 10,394  |
|   | 50-60 | 29,537 | 16,712 | 12,825 | 814 | 607 | 207 | 16,693 | 13,360 | 3,333 | 12,030 | 2,715 | 9,285  |
|   | 60 and over | 25,457 | 12,688 | 12,769 | 836 | 649 | 187 | 10,995 | 8,515 | 2,480 | 13,626 | 3,524 | 10,102  |
