VII.—PART II—AGE AND CIVIL CONDITION BY DISTRICTS.—MEDAK DISTRICT.

|  Communities and Ages | POPULATION |   |   | UNMARRIED |   |   | MARRIED |   |   | WIDOWED |   |   | DIVORCED  |   |   |   |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|   |   |  Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | P. | M. | F.  |
|  1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17  |
|  1. ALL COM-MUNITIES. |   | 758,220 | 384,929 | 373,291 | 253,389 | 160,099 | 93,290 | 424,347 | 207,370 | 216,977 | 77,985 | 16,668 | 61,317 | 2,499 | 792 | 1,707  |
|   | 0—1 | 21,729 | 11,025 | 10,704 | 21,631 | 10,994 | 10,687 | 98 | 31 | 67 | .. | .. | .. | .. | .. | ..  |
|   | 1—5 | 87,676 | 46,160 | 41,516 | 86,067 | 45,941 | 40,126 | 1,488 | 210 | 1,278 | 121 | 9 | 112 | .. | .. | ..  |
|   | 5—10 | 85,348 | 38,770 | 46,578 | 54,522 | 35,966 | 18,556 | 30,068 | 2,790 | 27,278 | 756 | 14 | 742 | 2 | .. | 2  |
|   | 10—15 | 86,984 | 35,664 | 51,320 | 45,360 | 28,602 | 16,758 | 40,141 | 7,007 | 33,134 | 1,471 | 49 | 1,422 | 12 | 6 | 6  |
|   | 15—20 | 68,258 | 31,941 | 36,317 | 18,915 | 14,981 | 3,934 | 46,915 | 16,477 | 30,438 | 2,288 | 439 | 1,849 | 140 | 44 | 96  |
|   | 20—30 | 137,055 | 71,316 | 65,739 | 17,779 | 15,988 | 1,791 | 109,405 | 53,866 | 55,539 | 9,409 | 1,332 | 8,077 | 462 | 180 | 332  |
|   | 30—40 | 103,142 | 63,159 | 39,983 | 5,802 | 5,101 | 701 | 84,445 | 55,954 | 28,491 | 12,270 | 1,895 | 10,375 | 625 | 209 | 416  |
|   | 40—50 | 77,459 | 41,014 | 36,445 | 2,025 | 1,641 | 384 | 58,687 | 36,706 | 21,981 | 16,268 | 2,518 | 13,750 | 479 | 149 | 330  |
|   | 50—60 | 48,677 | 24,840 | 23,837 | 763 | 522 | 241 | 31,223 | 19,864 | 11,859 | 16,298 | 4,322 | 11,976 | 393 | 132 | 261  |
|   | 60 & over | 41,892 | 21,040 | 20,852 | 525 | 363 | 162 | 21,877 | 14,465 | 7,412 | 19,104 | 6,090 | 13,014 | 386 | 122 | 264  |
|  2. Brahmanic Hindus. |   | 8,502 | 4,200 | 4,302 | 2,731 | 1,385 | 1,346 | 5,445 | 2,759 | 2,686 | 326 | 56 | 270 | .. | .. | ..  |
|   | 0—1 | 138 | 61 | 77 | 138 | 61 | 77 | .. | .. | .. | .. | .. | .. | .. | .. | ..  |
|   | 1—5 | 633 | 240 | 393 | 633 | 240 | 393 | .. | .. | .. | .. | .. | .. | .. | .. | ..  |
|   | 5—10 | 613 | 238 | 375 | 568 | 238 | 330 | 45 | .. | 45 | .. | .. | .. | .. | .. | ..  |
|   | 10—15 | 870 | 245 | 625 | 608 | 201 | 407 | 262 | 44 | 218 | .. | .. | .. | .. | .. | ..  |
|   | 15—20 | 784 | 390 | 394 | 343 | 225 | 118 | 439 | 165 | 274 | 2 | .. | 2 | .. | .. | ..  |
|   | 20—30 | 1,517 | 997 | 520 | 333 | 314 | 19 | 1,144 | 674 | 470 | 40 | 9 | 31 | .. | .. | ..  |
|   | 30—40 | 1,211 | 666 | 545 | 57 | 55 | 2 | 1,087 | 601 | 486 | 67 | 10 | 57 | .. | .. | ..  |
|   | 40—50 | 1,175 | 546 | 629 | 21 | 21 | .. | 1,072 | 524 | 548 | 82 | 1 | 81 | .. | .. | ..  |
|   | 50—60 | 1,051 | 551 | 500 | 17 | 17 | .. | 951 | 515 | 436 | 83 | 19 | 64 | .. | .. | ..  |
|   | 60 & over | 510 | 266 | 244 | 13 | 13 | .. | 445 | 236 | 209 | 52 | 17 | 35 | .. | .. | ..  |
|  3. Other Hindus |   | 482,383 | 246,188 | 236,195 | 145,114 | 92,774 | 52,340 | 284,856 | 142,109 | 142,747 | 50,881 | 10,823 | 40,058 | 1,532 | 482 | 1,050  |
|   | 0—1 | 14,138 | 7,574 | 6,564 | 14,086 | 7,550 | 6,536 | 52 | 24 | 28 | .. | .. | .. | .. | .. | ..  |
|   | 1—5 | 46,746 | 22,325 | 24,421 | 45,935 | 22,159 | 23,776 | 761 | 106 | 595 | 50 | .. | 50 | .. | .. | ..  |
|   | 5—10 | 62,041 | 27,444 | 34,597 | 35,864 | 25,056 | 10,808 | 25,613 | 2,388 | 23,225 | 564 | .. | 564 | .. | .. | ..  |
