```json
[
  {"age": "1", "Males": 23475, "Females": 24416, "Persons": 47891},
  {"age": "2", "Males": 19533, "Females": 19427, "Persons": 38960},
  {"age": "3", "Males": 22402, "Females": 23628, "Persons": 46030},
  {"age": "4", "Males": 41107, "Females": 7500, "Persons": 48607},
  {"age": "5", "Males": 50927, "Females": 17564, "Persons": 68491},
  {"age": "6", "Males": 23638, "Females": 4190, "Persons": 27828},
  {"age": "7", "Males": 14542, "Females": 37728, "Persons": 52270},
  {"age": "8", "Males": 3894, "Females": 34162, "Persons": 38056},
  {"age": "9", "Males": 3810, "Females": 1200, "Persons": 5010},
  {"age": "10-19", "Males": 182690, "Females": 29737, "Persons": 212427},
  {"age": "20-29", "Males": 242256, "Females": 3055, "Persons": 245311},
  {"age": "30 and above", "Males": 10317, "Females": 30646, "Persons": 40963},
  {"age": "All Ages", "Males": 675799, "Females": 1430, "Persons": 677229},
  {"age": "15", "Males": 7307, "Females": 260, "Persons": 7567},
  {"age": "16", "Males": 8718, "Females": 6980, "Persons": 15698},
  {"age": "17", "Males": 8969, "Females": 7150, "Persons": 16119},
  {"age": "18", "Males": 10936, "Females": 260, "Persons": 11196},
  {"age": "19", "Males": 6692, "Females": 5440, "Persons": 12132},
  {"age": "20", "Males": 6378, "Females": 158, "Persons": 6536},
  {"age": "21", "Males": 5074, "Females": 423, "Persons": 5497},
  {"age": "22", "Males": 6342, "Females": 38740, "Persons": 45082},
  {"age": "Total", "Males": 66378, "Females": 1430, "Persons": 67808},
  {"age": "Total", "Males": 675799, "Females": 662949, "Persons": 1338748},
  {"age": "10", "Males": 1409, "Females": 20, "Persons": 1429},
  {"age": "19", "Males": 1994, "Females": 295, "Persons": 2289},
  {"age": "20", "Males": 1755, "Females": 28, "Persons": 1783},
  {"age": "30", "Males": 2400, "Females": 436, "Persons": 2836},
  {"age": "40", "Males": 1924, "Females": 756, "Persons": 2680},
  {"age": "50", "Males": 2614, "Females": 764, "Persons": 3378},
  {"age": "60", "Males": 1456, "Females": 792, "Persons": 2248},
  {"age": "70", "Males": 1508, "Females": 392, "Persons": 1900},
  {"age": "Total", "Males": 10601, "Females": 92, "Persons": 10693},
  {"age": "Grand Total", "Males": 162, "Females": 3373, "Persons": 3535},
  {"age": "18", "Males": 2777, "Females": 167, "Persons": 2944},
  {"age": "17", "Males": 4328, "Females": 520, "Persons": 4848},
  {"age": "16", "Males": 3541, "Females": 607, "Persons": 4148},
  {"age": "15", "Males": 4516, "Females": 1157, "Persons": 5673},
  {"age": "14", "Males": 4918, "Females": 381, "Persons": 5299},
  {"age": "13", "Males": 4397, "Females": 827, "Persons": 5224},
  {"age": "12", "Males": 2903, "Females": 1414, "Persons": 4317},
  {"age": "11", "Males": 2878, "Females": 506, "Persons": 3384},
  {"age": "Total", "Males": 28367, "Females": 5440, "Persons": 33807},
  {"age": "Grand Total", "Males": 423, "Females": 158, "Persons": 581},
  {"age": "Grand Total", "Males": 38740, "Females": 5598, "Persons": 44338}
]
```
