TABLE VII.
Age, Sex and Civil Condition Part II. Districts.

|  District | Religion and Age | POPULATION |   |   | UNMARRIED |   |   | MARRIED |   |   | WIDOWED  |   |   |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|   |   |  Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | Persons | Males | Females  |
|  1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14  |
|  Nalgonda | All Religions | 1,133,409 | 580,897 | 552,512 | 455,748 | 274,799 | 180,949 | 576,842 | 288,587 | 288,255 | 100,819 | 17,511 | 83,308  |
|   | 0-1 | 35,418 | 16,738 | 18,680 | 35,385 | 16,735 | 18,650 | 33 | 3 | 30 | .. | .. | ..  |
|   | 1-5 | 158,767 | 78,237 | 80,530 | 153,244 | 77,274 | 75,970 | 5,330 | 947 | 4,383 | 193 | 16 | 177  |
|   | 5-10 | 147,732 | 76,174 | 71,558 | 123,003 | 71,501 | 51,502 | 24,105 | 4,640 | 19,465 | 624 | 33 | 591  |
|   | 10-15 | 130,205 | 70,399 | 59,806 | 84,567 | 58,721 | 25,846 | 44,678 | 11,614 | 33,064 | 960 | 64 | 896  |
|   | 15-20 | 104,454 | 52,080 | 52,374 | 29,593 | 26,528 | 3,065 | 72,740 | 25,339 | 47,401 | 2,121 | 213 | 1,908  |
|   | 20-30 | 201,848 | 98,595 | 103,253 | 22,525 | 19,712 | 2,813 | 169,367 | 77,461 | 91,996 | 9,956 | 1,422 | 8,534  |
|   | 30-40 | 146,629 | 75,740 | 70,889 | 3,712 | 2,370 | 1,342 | 124,464 | 70,849 | 53,615 | 18,453 | 2,521 | 15,932  |
|   | 40-50 | 99,874 | 55,600 | 44,274 | 1,764 | 997 | 767 | 74,382 | 50,673 | 23,709 | 23,728 | 3,930 | 19,798  |
|   | 50-60 | 61,750 | 33,886 | 27,864 | 983 | 543 | 440 | 39,147 | 29,046 | 10,101 | 21,620 | 4,297 | 17,323  |
|   | 60 and over | 46,732 | 23,118 | 23,284 | 972 | 118 | 554 | 22,596 | 18,015 | 4,581 | 23,164 | 5,015 | 18,149  |
|   | Hindu (Brahmanic) | 780,440 | 399,249 | 381,191 | 304,032 | 184,166 | 119,866 | 401,111 | 201,897 | 199,214 | 75,297 | 13,186 | 62,111  |
|   | 0-1 | 23,810 | 11,196 | 12,614 | 23,794 | 11,193 | 12,601 | 16 | 3 | 13 | .. | .. | ..  |
|   | 1-5 | 106,598 | 51,863 | 54,735 | 102,156 | 51,126 | 51,030 | 4,288 | 724 | 3,564 | 154 | 13 | 141  |
|   | 5-10 | 102,084 | 52,200 | 49,884 | 82,498 | 48,525 | 33,973 | 19,063 | 3,649 | 15,414 | 523 | 26 | 497  |
|   | 10-15 | 90,197 | 48,993 | 41,504 | 56,010 | 39,745 | 16,265 | 33,766 | 9,190 | 24,576 | 721 | 58 | 663  |
|   | 15-20 | 73,121 | 36,453 | 36,668 | 19,213 | 17,339 | 1,874 | 52,257 | 18,954 | 33,303 | 1,651 | 160 | 1,491  |
|   | 20-30 | 138,764 | 67,813 | 70,951 | 14,904 | 13,038 | 1,866 | 116,095 | 53,692 | 62,403 | 7,765 | 1,083 | 6,682  |
|   | 30-40 | 100,691 | 52,361 | 48,330 | 2,666 | 1,794 | 872 | 84,194 | 48,622 | 35,572 | 13,831 | 1,945 | 11,886  |
|   | 40-50 | 68,097 | 37,814 | 30,253 | 1,305 | 673 | 632 | 49,261 | 34,193 | 15,068 | 17,531 | 2,978 | 14,553  |
|   | 50-60 | 43,946 | 21,197 | 19,749 | 786 | 425 | 361 | 27,113 | 20,549 | 6,564 | 16,047 | 3,223 | 13,824  |
|   | 60 and over | 32,832 | 16,329 | 16,503 | 700 | 308 | 392 | 15,058 | 12,321 | 2,737 | 17,074 | 3,700 | 13,374  |
|   | Adi Hindu | 208,980 | 106,897 | 102,083 | 85,605 | 51,687 | 33,918 | 107,552 | 52,644 | 54,908 | 15,823 | 2,566 | 13,257  |
|   | 0-1 | 7,054 | 3,151 | 3,903 | 7,046 | 3,151 | 3,895 | 8 | .. | 8 | .. | .. | ..  |
|   | 1-5 | 31,015 | 15,323 | 15,692 | 30,424 | 15,206 | 15,218 | 561 | 115 | 446 | 30 | 2 | 28  |
|   | 5-10 | 26,058 | 13,607 | 12,451 | 22,513 | 13,069 | 9,444 | 3,487 | 535 | 2,952 | 58 | 3 | 55  |
|   | 10-15 | 23,010 | 12,649 | 10,361 | 15,499 | 11,055 | 4,444 | 7,319 | 1,590 | 5,729 | 192 | 4 | 188  |
|   | 15-20 | 18,876 | 9,390 | 9,486 | 5,502 | 5,176 | 326 | 13,006 | 4,186 | 8,820 | 368 | 28 | 340  |
|   | 20-30 | 37,774 | 18,179 | 19,395 | 3,875 | 3,581 | 294 | 32,365 | 14,362 | 18,003 | 1,534 | 236 | 1,298  |
|   | 30-40 | 27,593 | 13,847 | 13,746 | 371 | 240 | 131 | 24,171 | 13,264 | 10,907 | 3,051 | 343 | 2,708  |
|   | 40-50 | 20,006 | 10,939 | 9,067 | 181 | 112 | 69 | 15,778 | 10,369 | 5,599 | 4,047 | 358 | 3,480  |
|   | 50-60 | 10,430 | 5,800 | 4,630 | 107 | 55 | 52 | 6,955 | 5,106 | 1,849 | 3,368 | 639 | 2,729  |
|   | 60 and over | 7,164 | 4,012 | 3,152 | 87 | 42 | 45 | 3,902 | 3,217 | 685 | 3,175 | 753 | 2,422  |
