VII.—PART II.—AGE AND CIVIL CONDITION BY DISTRICTS.—NALGONDA DISTRICT.

|  S. No. | Communities and Ages | POPULATION |   |   | UNMARRIED |   |   | MARRIED |   |   | WIDOWED |   |   | DIVORCED  |   |   |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|   |   |  Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | P. | M. | F.  |
|  1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17  |
|  1. | ALL COM-MUNITIES. | 1,275,352 | 655,966 | 619,286 | 490,445 | 299,094 | 191,351 | 658,337 | 330,353 | 327,984 | 121,013 | 24,910 | 96,103 | 5,557 | 1,609 | 3,948  |
|   | 0—1 | 37,091 | 17,077 | 20,014 | 37,069 | 17,077 | 19,992 | 22 | .. | 22 | .. | .. | .. | .. | .. | ..  |
|   | 1—5 | 161,202 | 82,310 | 78,892 | 155,754 | 80,205 | 75,549 | 5,323 | 2,052 | 3,271 | 125 | 53 | 72 | .. | .. | ..  |
|   | 5—10 | 156,174 | 81,118 | 75,056 | 131,653 | 77,322 | 54,331 | 23,847 | 3,684 | 20,163 | 627 | 110 | 517 | 47 | 2 | 45  |
|   | 10—15 | 145,487 | 77,524 | 67,963 | 89,682 | 59,007 | 30,675 | 52,682 | 17,574 | 35,108 | 2,499 | 911 | 1,588 | 624 | 32 | 592  |
|   | 15—20 | 137,320 | 68,522 | 68,798 | 40,313 | 35,352 | 4,961 | 93,401 | 32,255 | 61,146 | 3,362 | 882 | 2,480 | 244 | 33 | 211  |
|   | 20—30 | 206,894 | 108,752 | 98,142 | 27,388 | 24,534 | 2,854 | 166,321 | 81,954 | 84,367 | 12,252 | 2,030 | 10,222 | 933 | 234 | 699  |
|   | 30—40 | 172,356 | 88,357 | 83,999 | 4,417 | 3,060 | 1,357 | 145,766 | 81,337 | 64,429 | 21,032 | 3,595 | 17,437 | 1,141 | 365 | 776  |
|   | 40—50 | 120,689 | 60,455 | 60,234 | 2,001 | 1,143 | 858 | 90,744 | 54,122 | 36,622 | 26,903 | 4,811 | 22,092 | 1,041 | 379 | 662  |
|   | 50—60 | 77,787 | 41,388 | 36,899 | 1,259 | 800 | 459 | 49,463 | 35,044 | 14,419 | 26,184 | 5,234 | 20,950 | 881 | 310 | 571  |
|   | 60 & over | 60,352 | 30,463 | 29,889 | 909 | 594 | 315 | 30,768 | 22,331 | 8,437 | 28,029 | 7,284 | 20,745 | 646 | 254 | 392  |
|  2. | Brahmanic Hindus. | 13,610 | 6,570 | 7,040 | 5,493 | 2,751 | 2,742 | 7,155 | 3,546 | 3,609 | 962 | 273 | 689 | .. | .. | ..  |
|   | 0—1 | 443 | 214 | 229 | 443 | 214 | 229 | .. | .. | .. | .. | .. | .. | .. | .. | ..  |
|   | 1—5 | 1,403 | 589 | 814 | 1,387 | 578 | 809 | 16 | 11 | 5 | .. | .. | .. | .. | .. | ..  |
|   | 5—10 | 624 | 186 | 438 | 530 | 158 | 372 | 94 | 28 | 66 | .. | .. | .. | .. | .. | ..  |
|   | 10—15 | 1,689 | 750 | 939 | 1,180 | 570 | 610 | 502 | 180 | 322 | 7 | .. | 7 | .. | .. | ..  |
|   | 15—20 | 1,919 | 871 | 1,048 | 1,182 | 539 | 643 | 709 | 327 | 382 | 28 | 5 | 23 | .. | .. | ..  |
|   | 20—30 | 2,665 | 1,674 | 991 | 718 | 645 | 73 | 1,832 | 993 | 839 | 115 | 36 | 79 | .. | .. | ..  |
|   | 30—40 | 1,833 | 818 | 1,015 | 34 | 29 | 5 | 1,627 | 750 | 877 | 172 | 39 | 138 | .. | .. | ..  |
|   | 40—50 | 1,326 | 639 | 687 | 10 | 9 | 1 | 1,137 | 587 | 550 | 179 | 43 | 136 | .. | .. | ..  |
|   | 50—60 | 1,092 | 546 | 552 | 6 | 6 | .. | 870 | 468 | 402 | 216 | 66 | 150 | .. | .. | ..  |
|   | 60 & over | 616 | 289 | 327 | 3 | 3 | .. | 368 | 202 | 166 | 245 | 84 | 161 | .. | .. | ..  |
|  3. | Other Hindus | 833,282 | 429,719 | 403,563 | 312,416 | 192,408 | 120,008 | 429,899 | 217,890 | 212,009 | 87,433 | 18,251 | 69,182 | 3,534 | 1,170 | 2,364  |
|   | 0—1 | 24,850 | 11,736 | 13,114 | 24,842 | 11,736 | 13,106 | 8 | .. | 8 | .. | .. | .. | .. | .. | ..  |
|   | 1—5 | 104,359 | 54,425 | 49,934 | 99,807 | 52,564 | 47,243 | 4,462 | 1,810 | 2,652 | 90 | 51 | 39 | .. | .. | ..  |
|   | 5—10 | 107,404 | 54,837 | 52,567 | 87,555 | 52,158 | 35,397 | 19,283 | 2,577 | 16,706 | 525 | 102 | 423 | 41 | .. | 41  |
