```json
[
  {"age": "All Religions", "Persons": 722081, "Males": 367170, "Females": 354911, "Unmarried_Persons": 252290, "Unmarried_Males": 135554, "Unmarried_Females": 116736, "Married_Persons": 416054, "Married_Males": 208240, "Married_Females": 207814, "Widowed_Persons": 53738, "Widowed_Males": 20379, "Widowed_Females": 33359},
  {"age": "0-1", "Persons": 72263, "Males": 37479, "Females": 34784, "Unmarried_Persons": 71624, "Unmarried_Males": 37608, "Unmarried_Females": 34016, "Married_Persons": 566, "Married_Males": 405, "Married_Females": 161, "Widowed_Persons": 13, "Widowed_Males": 6, "Widowed_Females": 7},
  {"age": "1-5", "Persons": 92874, "Males": 45956, "Females": 46863, "Unmarried_Persons": 92655, "Unmarried_Males": 45214, "Unmarried_Females": 42417, "Married_Persons": 6635, "Married_Males": 2578, "Married_Females": 4057, "Widowed_Persons": 428, "Widowed_Males": 107, "Widowed_Females": 321},
  {"age": "5-10", "Persons": 94139, "Males": 47736, "Females": 46403, "Unmarried_Persons": 62487, "Unmarried_Males": 37296, "Unmarried_Females": 25191, "Married_Persons": 30799, "Married_Males": 19062, "Married_Females": 16980, "Widowed_Persons": 23, "Widowed_Males": 372, "Widowed_Females": 641},
  {"age": "10-15", "Persons": 77995, "Males": 41202, "Females": 36794, "Unmarried_Persons": 47220, "Unmarried_Males": 25417, "Unmarried_Females": 11803, "Married_Persons": 39510, "Married_Males": 15202, "Married_Females": 21248, "Widowed_Persons": 1265, "Widowed_Males": 583, "Widowed_Females": 888},
  {"age": "15-20", "Persons": 64121, "Males": 31452, "Females": 32671, "Unmarried_Persons": 19536, "Unmarried_Males": 14318, "Unmarried_Females": 5195, "Married_Persons": 43715, "Married_Males": 24027, "Married_Females": 30088, "Widowed_Persons": 1542, "Widowed_Males": 2160, "Widowed_Females": 1558},
  {"age": "20-30", "Persons": 146963, "Males": 65438, "Females": 63545, "Unmarried_Persons": 8644, "Unmarried_Males": 7463, "Unmarried_Females": 1179, "Married_Persons": 115729, "Married_Males": 52484, "Married_Females": 63337, "Widowed_Persons": 11366, "Widowed_Males": 5508, "Widowed_Females": 9798},
  {"age": "30-40", "Persons": 90499, "Males": 46459, "Females": 44149, "Unmarried_Persons": 2612, "Unmarried_Males": 2098, "Unmarried_Females": 614, "Married_Persons": 84828, "Married_Males": 42700, "Married_Females": 41250, "Widowed_Persons": 562, "Widowed_Males": 4525, "Widowed_Females": 14201},
  {"age": "40-50", "Persons": 74277, "Males": 38283, "Females": 35992, "Unmarried_Persons": 1062, "Unmarried_Males": 942, "Unmarried_Females": 286, "Married_Persons": 24230, "Married_Males": 17255, "Married_Females": 6975, "Widowed_Persons": 16814, "Widowed_Males": 4977, "Widowed_Females": 12537},
  {"age": "50-60", "Persons": 42106, "Males": 22174, "Females": 19932, "Unmarried_Persons": 698, "Unmarried_Males": 542, "Unmarried_Females": 226, "Married_Persons": 21582, "Married_Males": 10575, "Married_Females": 8310, "Widowed_Persons": 10824, "Widowed_Males": 4132, "Widowed_Females": 17880},
  {"age": "60 and over", "Persons": 56523, "Males": 24968, "Females": 24824, "Unmarried_Persons": 698, "Unmarried_Males": 342, "Unmarried_Females": 236, "Married_Persons": 21582, "Married_Males": 10575, "Married_Females": 8310, "Widowed_Persons": 16834, "Widowed_Males": 4132, "Widowed_Females": 17880},
  {"age": "Hindu (Brahminic)", "Persons": 479845, "Males": 244003, "Females": 245442, "Unmarried_Persons": 144564, "Unmarried_Males": 87400, "Unmarried_Females": 56964, "Married_Persons": 280325, "Married_Males": 141355, "Married_Females": 138970, "Widowed_Persons": 54756, "Widowed_Males": 15248, "Widowed_Females": 39508},
  {"age": "0-1", "Persons": 14255, "Males": 7231, "Females": 7031, "Unmarried_Persons": 14016, "Unmarried_Males": 7015, "Unmarried_Females": 6972, "Married_Persons": 233, "Married_Males": 166, "Married_Females": 67, "Widowed_Persons": 6, "Widowed_Males": 4, "Widowed_Females": 2},
  {"age": "1-5", "Persons": 58251, "Males": 29392, "Females": 28761, "Unmarried_Persons": 53349, "Unmarried_Males": 27010, "Unmarried_Females": 25788, "Married_Persons": 4670, "Married_Males": 1956, "Married_Females": 2714, "Widowed_Persons": 232, "Widowed_Males": 217, "Widowed_Females": 414},
  {"age": "5-10", "Persons": 58477, "Males": 31252, "Females": 27252, "Unmarried_Persons": 56591, "Unmarried_Males": 24968, "Unmarried_Females": 11200, "Married_Persons": 13925, "Married_Males": 6097, "Married_Females": 12408, "Widowed_Persons": 999, "Widowed_Males": 260, "Widowed_Females": 539},
  {"age": "10-15", "Persons": 52005, "Males": 25531, "Females": 21674, "Unmarried_Persons": 23468, "Unmarried_Males": 16239, "Unmarried_Females": 7229, "Married_Persons": 31946, "Married_Males": 13785, "Married_Females": 20213, "Widowed_Persons": 1145, "Widowed_Males": 507, "Widowed_Females": 638},
  {"age": "15-20", "Persons": 42457, "Males": 20463, "Females": 21516, "Unmarried_Persons": 6675, "Unmarried_Males": 9073, "Unmarried_Females": 541, "Married_Persons": 37178, "Married_Males": 17427, "Married_Females": 26092, "Widowed_Persons": 4699, "Widowed_Males": 1173, "Widowed_Females": 2526},
  {"age": "20-30", "Persons": 95122, "Males": 47464, "Females": 47658, "Unmarried_Persons": 3076, "Unmarried_Males": 5240, "Unmarried_Females": 802, "Married_Persons": 75159, "Married_Males": 35687, "Married_Females": 39582, "Widowed_Persons": 11983, "Widowed_Males": 2602, "Widowed_Females": 7636},
  {"age": "30-40", "Persons": 66461, "Males": 35144, "Females": 31247, "Unmarried_Persons": 1606, "Unmarried_Males": 1236, "Unmarried_Females": 370, "Married_Persons": 55769, "Married_Males": 29258, "Married_Females": 25961, "Widowed_Persons": 13606, "Widowed_Males": 2560, "Widowed_Females": 7636},
  {"age": "40-50", "Persons": 50317, "Males": 23947, "Females": 21396, "Unmarried_Persons": 1070, "Unmarried_Males": 855, "Unmarried_Females": 215, "Married_Persons": 35606, "Married_Males": 21465, "Married_Females": 14126, "Widowed_Persons": 13606, "Widowed_Males": 3152, "Widowed_Females": 10570},
