TABLE VII.
Age, Sex and Civil Condition Part II.—Districts.

|  District | Religion and Age | POPULATION |   |   | UNMARRIED |   |   | MARRIED |   |   | WIDOWED  |   |   |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|   |   |  Persons | Males | Female | Persons | Males | Female | Persons | Males | Female | Persons | Males | Female  |
|  1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14  |
|  Nander | All Religions | 722,081 | 367,170 | 354,911 | 232,290 | 138,551 | 93,739 | 414,053 | 208,240 | 205,813 | 75,738 | 20,379 | 55,359  |
|   | 0-1 | 22,203 | 11,479 | 10,724 | 21,624 | 11,068 | 10,556 | 566 | 405 | 161 | 13 | 6 | 7  |
|   | 1-5 | 92,814 | 45,910 | 46,865 | 85,651 | 43,234 | 42,417 | 6,685 | 2,578 | 4,107 | 478 | 137 | 341  |
|   | 5-10 | 90,159 | 17,756 | 12,103 | 62,387 | 37,520 | 21,867 | 26,799 | 9,864 | 16,935 | 973 | 372 | 601  |
|   | 10-15 | 77,995 | 41,202 | 36,793 | 37,220 | 25,417 | 11,803 | 39,510 | 15,262 | 24,248 | 1,265 | 523 | 742  |
|   | 15-20 | 64,123 | 31,652 | 32,171 | 10,826 | 9,331 | 1,495 | 51,715 | 21,627 | 30,088 | 1,582 | 694 | 888  |
|   | 20-30 | 130,983 | 65,418 | 65,535 | 8,644 | 7,465 | 1,179 | 115,796 | 55,594 | 60,202 | 6,543 | 2,389 | 4,154  |
|   | 30-40 | 96,499 | 48,050 | 48,149 | 2,612 | 1,998 | 614 | 80,521 | 42,484 | 38,037 | 13,366 | 3,568 | 9,798  |
|   | 40-50 | 74,277 | 38,392 | 35,885 | 1,566 | 1,134 | 432 | 54,049 | 32,799 | 21,250 | 18,662 | 4,459 | 14,203  |
|   | 50-60 | 42,106 | 22,174 | 19,932 | 1,062 | 842 | 220 | 24,230 | 17,255 | 6,975 | 16,814 | 4,077 | 12,737  |
|   | 60 and over | 30,922 | 15,068 | 15,854 | 698 | 542 | 156 | 14,182 | 10,372 | 3,810 | 16,042 | 4,154 | 11,888  |
|   | Hindu (Brahmanic) | 479,445 | 244,003 | 235,442 | 144,364 | 87,400 | 56,964 | 280,325 | 141,355 | 138,970 | 54,756 | 15,248 | 39,508  |
|   | 0-1 | 14,255 | 7,214 | 7,041 | 14,016 | 7,044 | 6,972 | 233 | 166 | 67 | 6 | 4 | 2  |
|   | 1-5 | 58,253 | 29,492 | 28,761 | 53,349 | 27,616 | 25,703 | 4,679 | 1,783 | 2,896 | 225 | 63 | 162  |
|   | 5-10 | 58,477 | 31,252 | 27,225 | 38,891 | 24,098 | 14,793 | 18,925 | 6,907 | 12,018 | 661 | 247 | 414  |
|   | 10-15 | 52,005 | 27,334 | 24,671 | 23,469 | 16,256 | 7,213 | 27,637 | 10,718 | 16,919 | 899 | 360 | 539  |
|   | 15-20 | 42,167 | 20,463 | 21,704 | 6,076 | 5,223 | 853 | 34,946 | 14,733 | 20,213 | 1,145 | 507 | 638  |
|   | 20-30 | 56,653 | 43,204 | 43,149 | 4,635 | 4,004 | 631 | 77,319 | 37,427 | 39,892 | 4,699 | 1,773 | 2,926  |
|   | 30-40 | 66,461 | 33,144 | 33,317 | 1,606 | 1,256 | 350 | 55,169 | 29,238 | 25,931 | 9,686 | 2,630 | 7,036  |
|   | 40-50 | 50,311 | 25,915 | 24,396 | 1,070 | 855 | 215 | 35,636 | 21,008 | 14,028 | 13,605 | 3,452 | 10,153  |
|   | 50-60 | 29,466 | 15,637 | 13,829 | 823 | 683 | 140 | 16,421 | 11,851 | 4,570 | 12,222 | 3,103 | 9,119  |
|   | 60 and over | 21,397 | 10,348 | 11,040 | 429 | 335 | 94 | 9,360 | 6,924 | 2,436 | 11,608 | 3,089 | 8,519  |
|   | Adi Hindu | 141,820 | 71,492 | 70,328 | 46,495 | 27,449 | 19,046 | 83,141 | 40,929 | 42,212 | 12,184 | 3,114 | 9,070  |
|   | 0-1 | 5,015 | 2,813 | 2,172 | 4,741 | 2,614 | 2,127 | 270 | 228 | 42 | 4 | 1 | 3  |
|   | 1-5 | 19,153 | 9,431 | 9,722 | 17,701 | 8,914 | 8,787 | 1,270 | 469 | 801 | 182 | 48 | 134  |
|   | 5-10 | 16,359 | 9,619 | 8,740 | 12,599 | 7,550 | 5,049 | 5,552 | 1,977 | 3,575 | 208 | 92 | 116  |
|   | 10-15 | 15,222 | 7,800 | 7,422 | 6,575 | 4,418 | 2,157 | 8,391 | 3,255 | 5,136 | 256 | 127 | 129  |
|   | 15-20 | 12,742 | 6,317 | 6,425 | 1,789 | 1,514 | 275 | 10,719 | 4,690 | 6,029 | 234 | 113 | 121  |
|   | 20-30 | 26,834 | 13,371 | 13,463 | 1,894 | 1,612 | 252 | 23,895 | 11,339 | 12,556 | 1,045 | 390 | 655  |
|   | 30-40 | 17,778 | 8,825 | 8,953 | 565 | 407 | 158 | 18,019 | 7,795 | 7,224 | 2,194 | 623 | 1,571  |
