|  Srl. No. | Communities
and Age | POPULATION |   |   | UNMARRIED |   |   | MARRIED |   |   | WIDOWED |   |   | DIVORCED  |   |   |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|   |   |  Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | P. | M. | F.  |
|  1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17  |
|  1. ALL COM-MUNITIES. |   | 803,115 | 409,065 | 394,050 | 260,600 | 152,879 | 107,721 | 456,924 | 231,193 | 225,731 | 80,690 | 23,419 | 57,271 | 4,901 | 1,574 | 3,327  |
|  0—1 | .. | 22,066 | 11,181 | 10,885 | 21,846 | 11,092 | 10,754 | 220 | 89 | 131 | .. | .. | .. | .. | .. | ..  |
|  1—5 | .. | 95,398 | 47,974 | 47,424 | 92,573 | 46,853 | 45,720 | 2,644 | 1,121 | 1,523 | 181 | .. | 181 | .. | .. | ..  |
|  5—10 | .. | 90,510 | 45,083 | 45,427 | 68,286 | 39,305 | 28,981 | 21,851 | 5,767 | 16,084 | 373 | 11 | 362 | .. | .. | ..  |
|  10—15 | .. | 86,455 | 47,089 | 39,366 | 48,086 | 32,378 | 15,708 | 37,569 | 14,627 | 22,942 | 791 | 83 | 708 | 9 | 1 | 8  |
|  15—20 | .. | 68,758 | 32,164 | 36,594 | 14,624 | 10,972 | 3,652 | 52,285 | 20,549 | 31,736 | 1,657 | 578 | 1,079 | 192 | 65 | 127  |
|  20—30 | .. | 133,641 | 64,563 | 69,078 | 8,899 | 7,522 | 1,377 | 116,467 | 53,961 | 62,506 | 7,322 | 2,755 | 4,567 | 953 | 325 | 628  |
|  30—40 | .. | 106,989 | 53,920 | 53,069 | 3,023 | 2,351 | 672 | 88,967 | 47,282 | 41,685 | 14,106 | 3,980 | 10,126 | 893 | 307 | 586  |
|  40—50 | .. | 87,173 | 47,809 | 39,364 | 1,594 | 1,143 | 451 | 68,273 | 41,633 | 26,640 | 16,308 | 4,743 | 11,565 | 998 | 290 | 708  |
|  50—60 | .. | 65,615 | 34,837 | 30,778 | 979 | 714 | 265 | 45,100 | 29,057 | 16,043 | 18,575 | 4,783 | 13,792 | 961 | 288 | 678  |
|  60 & over | .. | 46,510 | 24,445 | 22,065 | 690 | 549 | 141 | 23,548 | 17,107 | 6,441 | 21,377 | 6,486 | 14,891 | 895 | 303 | 592  |
|  2. Brahmanic
Hindus. |   | 14,171 | 7,320 | 6,851 | 6,186 | 3,131 | 3,055 | 6,963 | 3,686 | 3,277 | 1,022 | 503 | 519 | .. | .. | ..  |
|  0—1 | .. | 849 | 445 | 404 | 849 | 445 | 404 | .. | .. | .. | .. | .. | .. | .. | .. | ..  |
|  1—5 | .. | 1,830 | 980 | 850 | 1,830 | 980 | 850 | .. | .. | .. | .. | .. | .. | .. | .. | ..  |
|  5—10 | .. | 1,195 | 520 | 675 | 1,142 | 518 | 624 | 53 | 2 | 51 | .. | .. | .. | .. | .. | ..  |
|  10—15 | .. | 1,254 | 486 | 768 | 1,034 | 421 | 613 | 220 | 65 | 155 | .. | .. | .. | .. | .. | ..  |
|  15—20 | .. | 1,573 | 701 | 872 | 923 | 456 | 467 | 633 | 241 | 392 | 17 | 4 | 13 | .. | .. | ..  |
|  20—30 | .. | 2,099 | 1,151 | 948 | 357 | 261 | 96 | 1,650 | 861 | 789 | 92 | 29 | 63 | .. | .. | ..  |
|  30—40 | .. | 1,973 | 1,185 | 788 | 35 | 34 | 1 | 1,787 | 1,067 | 720 | 151 | 84 | 67 | .. | .. | ..  |
|  40—50 | .. | 1,578 | 873 | 705 | 11 | 11 | .. | 1,344 | 741 | 603 | 223 | 121 | 102 | .. | .. | ..  |
|  50—60 | .. | 1,194 | 637 | 557 | 4 | 4 | .. | 943 | 495 | 448 | 247 | 138 | 109 | .. | .. | ..  |
|  60 & over | .. | 626 | 342 | 284 | 1 | 1 | .. | 333 | 214 | 119 | 292 | 127 | 165 | .. | .. | ..  |
|  3. Other Hindus. |   | 457,328 | 233,288 | 224,040 | 139,161 | 84,139 | 55,022 | 268,325 | 135,260 | 133,065 | 46,612 | 12,938 | 33,674 | 3,230 | 951 | 2,279  |
|  0—1 | .. | 12,474 | 6,601 | 5,873 | 12,388 | 6,566 | 5,822 | 86 | 35 | 51 | .. | .. | .. | .. | .. | ..  |
|  1—5 | .. | 53,761 | 26,056 | 27,705 | 52,254 | 25,474 | 26,780 | 1,431 | 582 | 849 | 76 | .. | 76 | .. | .. | ..  |
|  5—10 | .. | 51,424 | 28,050 | 23,374 | 37,155 | 23,762 | 13,393 | 14,033 | 4,286 | 9,747 | 236 | 2 | 234 | .. | .. | ..  |
|  10—15 | .. | 49,136 | 28,516 | 20,620 | 26,304 | 19,777 | 6,527 | 22,255 | 8,686 | 13,569 | 576 | 53 | 523 | 1 | .. | 1  |
|  15—20 | .. | 35,786 | 14,716 | 21,070 | 4,427 | 3,461 | 966 | 30,364 | 10,896 | 19,468 | 911 | 325 | 586 | 84 | 34 | 50  |
|  20—30 | .. | 75,267 | 36,049 | 39,218 | 2,733 | 2,099 | 634 | 68,380 | 32,211 | 36,169 | 3,516 | 1,542 | 1,974 | 638 | 197 | 441  |
|  30—40 | .. | 62,740 | 29,859 | 32,881 | 1,795 | 1,409 | 386 | 51,870 | 26,345 | 25,525 | 8,482 | 1,926 | 6,556 | 593 | 179 | 414  |
|  40—50 | .. | 52,149 | 28,558 | 23,596 | 942 | 678 | 264 | 40,642 | 25,110 | 15,532 | 9,856 | 2,577 | 7,279 | 709 | 188 | 521  |
|  50—60 | .. | 37,072 | 19,424 | 17,648 | 668 | 513 | 155 | 25,359 | 16,219 | 9,140 | 10,378 | 2,531 | 7,847 | 667 | 161 | 506  |
|  60 & over | .. | 27,519 | 15,464 | 12,055 | 495 | 400 | 95 | 13,905 | 10,890 | 3,015 | 12,581 | 3,982 | 8,599 | 538 | 192 | 346  |
