TABLE VII.
Age, Sex and Civil Condition Part II.—Districts.

|  District | Religion and Age | POPULATION |   |   | UNMARRIED |   |   | MARRIED |   |   | WIDOWED  |   |   |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|   |   |  Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | Persons | Males | Females  |
|  1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14  |
|  Nizamabad | All Religions | 623,225 | 313,556 | 309,669 | 202,434 | 119,566 | 82,868 | 351,114 | 177,637 | 173,477 | 69,677 | 16,353 | 53,324  |
|   | 0-1 | 18,697 | 9,301 | 9,396 | 17,922 | 8,906 | 9,016 | 774 | 395 | 379 | 1 | 1 | 1  |
|   | 1-5 | 81,765 | 40,235 | 41,530 | 72,797 | 37,399 | 35,398 | 8,819 | 2,818 | 6,001 | 149 | 18 | 131  |
|   | 5-10 | 73,247 | 37,818 | 35,399 | 48,236 | 29,398 | 18,838 | 24,525 | 8,336 | 16,189 | 486 | 114 | 372  |
|   | 10-15 | 64,874 | 33,100 | 31,774 | 30,149 | 21,370 | 8,779 | 33,647 | 11,193 | 22,154 | 1,078 | 237 | 841  |
|   | 15-20 | 56,236 | 26,285 | 20,951 | 10,711 | 8,363 | 2,348 | 43,722 | 17,506 | 26,216 | 1,803 | 416 | 1,387  |
|   | 20-30 | 116,883 | 58,392 | 58,401 | 11,425 | 7,888 | 3,537 | 99,088 | 39,024 | 50,064 | 6,370 | 1,480 | 4,890  |
|   | 30-40 | 85,154 | 41,900 | 40,254 | 5,154 | 2,919 | 2,205 | 68,096 | 39,319 | 28,777 | 11,904 | 2,632 | 9,272  |
|   | 40-50 | 81,720 | 32,122 | 29,398 | 3,434 | 1,859 | 1,575 | 40,933 | 26,117 | 14,866 | 17,303 | 4,146 | 13,157  |
|   | 50-60 | 36,316 | 18,116 | 18,200 | 1,516 | 897 | 619 | 19,415 | 13,766 | 5,619 | 15,385 | 3,453 | 11,932  |
|   | 60 and over | 28,333 | 13,257 | 15,076 | 1,090 | 537 | 553 | 12,045 | 8,863 | 3,182 | 15,198 | 3,857 | 11,341  |
|   | Hindu (Brahmanic) | 439,962 | 220,875 | 219,087 | 132,659 | 79,743 | 52,916 | 256,672 | 128,624 | 128,048 | 50,631 | 12,508 | 38,123  |
|   | 0-1 | 12,531 | 5,986 | 6,515 | 12,128 | 5,592 | 6,536 | 402 | 394 | 8 | 1 | 1 | 1  |
|   | 1-5 | 54,814 | 26,886 | 27,928 | 49,699 | 24,400 | 25,299 | 4,995 | 2,471 | 2,523 | 120 | 15 | 105  |
|   | 5-10 | 52,641 | 26,908 | 25,733 | 32,367 | 19,818 | 12,519 | 19,874 | 6,990 | 12,884 | 400 | 100 | 300  |
|   | 10-15 | 46,801 | 23,726 | 23,075 | 19,028 | 14,156 | 4,872 | 26,895 | 9,367 | 17,528 | 878 | 203 | 675  |
|   | 15-20 | 40,468 | 19,064 | 21,404 | 5,860 | 5,135 | 725 | 33,285 | 13,584 | 19,704 | 1,323 | 345 | 978  |
|   | 20-30 | 83,662 | 42,291 | 41,371 | 6,205 | 5,357 | 818 | 72,882 | 35,762 | 37,120 | 4,575 | 1,172 | 3,103  |
|   | 30-40 | 59,802 | 31,688 | 28,114 | 2,921 | 2,389 | 532 | 48,253 | 27,241 | 21,012 | 8,628 | 2,058 | 6,570  |
|   | 40-50 | 43,918 | 22,637 | 21,281 | 2,465 | 1,613 | 852 | 28,751 | 17,750 | 11,001 | 12,702 | 3,274 | 9,428  |
|   | 50-60 | 26,211 | 12,829 | 13,382 | 1,157 | 814 | 343 | 13,741 | 9,153 | 4,288 | 11,313 | 2,562 | 8,751  |
|   | 60 and over | 19,114 | 8,860 | 10,254 | 829 | 469 | 360 | 7,594 | 5,812 | 1,982 | 10,691 | 2,779 | 7,912  |
|   | Adi-Hindu | 103,061 | 51,751 | 51,310 | 38,212 | 21,290 | 16,922 | 54,123 | 28,223 | 25,900 | 10,726 | 2,238 | 8,488  |
|   | 0-1 | 3,424 | 1,801 | 1,623 | 3,052 | 1,800 | 1,252 | 372 | 1 | 371 | 1 | 1 | 1  |
|   | 1-5 | 15,065 | 7,018 | 8,047 | 11,433 | 6,762 | 4,671 | 3,619 | 253 | 3,366 | 13 | 3 | 10  |
|   | 5-10 | 11,614 | 6,236 | 5,378 | 8,185 | 5,370 | 2,815 | 3,379 | 855 | 2,521 | 50 | 11 | 39  |
|   | 10-15 | 10,349 | 5,351 | 4,998 | 5,835 | 3,991 | 1,844 | 4,409 | 1,336 | 3,073 | 105 | 24 | 81  |
|   | 15-20 | 9,372 | 4,161 | 5,211 | 3,081 | 1,776 | 1,305 | 6,003 | 2,339 | 3,664 | 288 | 46 | 242  |
|   | 20-30 | 19,038 | 9,273 | 9,765 | 3,740 | 1,291 | 2,449 | 14,166 | 7,788 | 6,372 | 1,138 | 194 | 944  |
|   | 30-40 | 14,164 | 7,389 | 6,775 | 1,730 | 173 | 1,557 | 10,530 | 6,884 | 3,846 | 1,904 | 332 | 1,572  |
|   | 40-50 | 9,860 | 5,365 | 4,495 | 742 | 76 | 666 | 6,409 | 4,756 | 1,653 | 2,709 | 533 | 2,176  |
|   | 50-60 | 5,667 | 3,089 | 2,578 | 271 | 27 | 214 | 3,117 | 2,553 | 564 | 2,279 | 509 | 1,770  |
|   | 60 and over | 4,508 | 2,068 | 2,440 | 143 | 24 | 119 | 2,125 | 1,458 | 667 | 2,240 | 586 | 1,654  |
