VII.—PART II—AGE AND CIVIL CONDITION BY DISTRICTS.—NIZAMABAD DISTRICT

|  Srl. No. | Communities and ages | POPULATION |   |   | UNMARRIED |   |   | MARRIED |   |   | WIDOWED |   |   | DIVORCED  |   |   |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|   |   |  Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | P. | M. | F.  |
|  1 | 2 | 2 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17  |
|  1. ALL COMMUNITIES. |   | 647,043 | 324,442 | 322,601 | 232,941 | 128,838 | 104,163 | 348,786 | 178,783 | 170,003 | 63,069 | 15,521 | 47,548 | 2,247 | 1,300 | 947  |
|  0—1 | .. | 22,744 | 10,985 | 11,759 | 22,507 | 10,845 | 11,662 | 234 | 140 | 94 | 3 | .. | 3 | .. | .. | ..  |
|  1—5 | .. | 87,980 | 43,287 | 44,693 | 79,029 | 36,997 | 42,032 | 8,876 | 6,272 | 2,604 | 75 | 18 | 57 | .. | .. | ..  |
|  5—10 | .. | 75,851 | 39,079 | 36,772 | 53,682 | 31,677 | 22,005 | 21,738 | 7,359 | 14,379 | 423 | 43 | 380 | 8 | .. | 8  |
|  10—15 | .. | 67,079 | 33,362 | 33,717 | 32,725 | 20,958 | 11,767 | 33,502 | 12,261 | 21,241 | 740 | 103 | 637 | 112 | 40 | 72  |
|  15—20 | .. | 54,047 | 26,498 | 27,549 | 15,234 | 10,441 | 4,793 | 37,237 | 15,746 | 21,491 | 1,389 | 244 | 1,145 | 187 | 67 | 120  |
|  20—30 | .. | 114,844 | 56,063 | 58,781 | 16,109 | 9,981 | 6,128 | 92,911 | 44,399 | 48,512 | 5,408 | 1,489 | 3,919 | 416 | 194 | 222  |
|  30—40 | .. | 88,780 | 46,799 | 41,981 | 7,294 | 4,072 | 3,222 | 69,593 | 40,154 | 29,439 | 11,461 | 2,341 | 9,120 | 432 | 232 | 200  |
|  40—50 | .. | 64,407 | 32,157 | 32,250 | 3,287 | 1,924 | 1,363 | 44,185 | 25,717 | 18,468 | 16,477 | 4,183 | 12,294 | 458 | 333 | 125  |
|  50—60 | .. | 41,177 | 21,142 | 20,085 | 1,686 | 1,087 | 599 | 24,998 | 16,135 | 8,863 | 14,196 | 3,723 | 10,473 | 297 | 197 | 100  |
|  60 & over | .. | 30,134 | 15,070 | 15,064 | 1,388 | 856 | 532 | 15,512 | 10,600 | 4,912 | 12,897 | 3,377 | 9,520 | 337 | 237 | 100  |
|  2. Brahmanic Hindus. |   | 10,585 | 4,992 | 5,593 | 4,766 | 2,388 | 2,378 | 5,186 | 2,491 | 2,695 | 633 | 113 | 520 | .. | .. | ..  |
|  0—1 | .. | 294 | 124 | 170 | 294 | 124 | 170 | .. | .. | .. | .. | .. | .. | .. | .. | ..  |
|  1—5 | .. | 1,200 | 387 | 813 | 1,173 | 373 | 800 | 27 | 14 | 13 | .. | .. | .. | .. | .. | ..  |
|  5—10 | .. | 673 | 195 | 478 | 577 | 149 | 428 | 95 | 46 | 49 | 1 | .. | 1 | .. | .. | ..  |
|  10—15 | .. | 1,470 | 538 | 932 | 942 | 370 | 572 | 524 | 168 | 356 | 4 | .. | 4 | .. | .. | ..  |
|  15—20 | .. | 1,303 | 553 | 750 | 770 | 366 | 404 | 524 | 187 | 337 | 9 | .. | 9 | .. | .. | ..  |
|  20—30 | .. | 1,888 | 1,150 | 738 | 572 | 568 | 4 | 1,263 | 573 | 690 | 53 | 9 | 44 | .. | .. | ..  |
|  30—40 | .. | 1,590 | 925 | 665 | 325 | 325 | .. | 1,164 | 584 | 580 | 101 | 16 | 85 | .. | .. | ..  |
|  40—50 | .. | 1,016 | 498 | 518 | 51 | 51 | .. | 807 | 421 | 386 | 158 | 26 | 132 | .. | .. | ..  |
|  50—60 | .. | 767 | 448 | 319 | 37 | 37 | .. | 586 | 377 | 209 | 144 | 34 | 110 | .. | .. | ..  |
|  60 & over | .. | 384 | 174 | 210 | 25 | 25 | .. | 196 | 121 | 75 | 163 | 28 | 135 | .. | .. | ..  |
|  3. Other Hindus. |   | 417,464 | 208,675 | 208,789 | 142,978 | 78,970 | 64,008 | 234,002 | 118,574 | 115,428 | 39,509 | 10,611 | 28,898 | 975 | 520 | 455  |
|  0—1 | .. | 14,610 | 6,435 | 8,175 | 14,437 | 6,295 | 8,142 | 173 | 140 | 33 | .. | .. | .. | .. | .. | ..  |
|  1—5 | .. | 62,133 | 30,106 | 32,027 | 53,845 | 24,000 | 29,845 | 8,234 | 6,098 | 2,136 | 54 | 8 | 46 | .. | .. | ..  |
|  5—10 | .. | 51,872 | 26,267 | 25,605 | 36,085 | 21,086 | 14,999 | 15,485 | 5,146 | 10,839 | 296 | 35 | 261 | 6 | .. | 6  |
