AGE, SEX &amp; CIVIL CONDITION.
76
TABLE VII.

TABLE VII.
Age, Sex and Civil Condition Part II.—Districts.

|  District | Religion and Age | POPULATION |   |   | UNMARRIED |   |   | MARRIED |   |   | WIDOWED  |   |   |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|   |   |  Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | Persons | Males | Females  |
|  1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14  |
|  Osmanabad | All Religions | 691,068 | 357,489 | 333,579 | 244,934 | 138,524 | 106,410 | 374,132 | 192,076 | 182,056 | 72,002 | 26,889 | 45,113  |
|   | 0-1 | 24,449 | 12,199 | 12,250 | 23,176 | 11,922 | 11,254 | 1,256 | 270 | 986 | 17 | 7 | 10  |
|   | 1-5 | 94,661 | 46,381 | 48,280 | 84,775 | 42,129 | 42,316 | 9,444 | 3,704 | 5,710 | 442 | 248 | 194  |
|   | 5-10 | 85,887 | 43,378 | 42,509 | 62,152 | 31,460 | 27,692 | 22,879 | 8,517 | 11,362 | 856 | 401 | 455  |
|   | 10-15 | 77,831 | 40,909 | 36,922 | 43,047 | 27,733 | 15,311 | 33,570 | 12,676 | 20,894 | 1,214 | 500 | 714  |
|   | 15-20 | 58,731 | 29,458 | 29,273 | 13,293 | 10,712 | 2,551 | 43,650 | 17,955 | 25,695 | 1,788 | 761 | 1,027  |
|   | 20-30 | 118,651 | 59,611 | 59,040 | 10,735 | 7,384 | 3,351 | 99,929 | 49,475 | 50,454 | 7,987 | 2,752 | 5,235  |
|   | 30-40 | 93,982 | 49,187 | 44,195 | 4,213 | 2,066 | 2,117 | 76,449 | 42,863 | 33,586 | 13,320 | 4,558 | 8,762  |
|   | 40-50 | 63,590 | 34,591 | 28,999 | 1,995 | 977 | 1,018 | 45,539 | 28,107 | 17,432 | 16,056 | 5,57 | 10,519  |
|   | 50-60 | 39,266 | 22,125 | 16,841 | 867 | 411 | 453 | 23,994 | 16,694 | 7,300 | 14,405 | 5,317 | 9,088  |
|   | 60 and over | 34,020 | 19,050 | 14,970 | 681 | 397 | 284 | 17,422 | 11,815 | 5,607 | 15,917 | 6,838 | 9,079  |
|   | Hindu (Brahmanic) | 464,455 | 241,373 | 223,082 | 159,857 | 90,984 | 68,873 | 251,218 | 129,809 | 121,409 | 53,380 | 20,580 | 32,800  |
|   | 0-1 | 15,847 | 7,953 | 7,914 | 14,792 | 7,827 | 6,965 | 1,047 | 105 | 942 | 8 | 1 | 7  |
|   | 1-5 | 61,390 | 30,370 | 31,020 | 53,835 | 27,330 | 26,505 | 7,236 | 2,830 | 4,106 | 319 | 210 | 109  |
|   | 5-10 | 57,038 | 28,702 | 28,336 | 40,072 | 22,273 | 17,799 | 16,347 | 6,117 | 10,230 | 619 | 312 | 307  |
|   | 10-15 | 52,679 | 27,803 | 24,876 | 28,407 | 18,195 | 9,912 | 23,289 | 8,884 | 14,405 | 983 | 424 | 559  |
|   | 15-20 | 40,066 | 20,389 | 19,677 | 9,247 | 7,537 | 1,710 | 29,402 | 12,213 | 17,189 | 1,417 | 639 | 778  |
|   | 20-30 | 80,060 | 40,436 | 39,624 | 7,583 | 1,987 | 2,596 | 66,358 | 33,237 | 33,121 | 6,119 | 2,212 | 3,907  |
|   | 30-40 | 63,875 | 33,932 | 29,913 | 3,301 | 1,422 | 1,879 | 50,747 | 28,990 | 21,757 | 9,827 | 3,320 | 6,307  |
|   | 40-50 | 43,384 | 23,596 | 19,788 | 1,517 | 603 | 914 | 29,950 | 18,735 | 11,215 | 11,917 | 4,258 | 7,659  |
|   | 50-60 | 26,912 | 15,315 | 11,567 | 689 | 308 | 381 | 15,666 | 11,065 | 4,691 | 10,557 | 3,972 | 6,585  |
|   | 60 and over | 23,204 | 12,867 | 10,337 | 414 | 202 | 212 | 11,176 | 7,633 | 3,543 | 11,614 | 5,032 | 6,582  |
