VII.—PART II.—AGE AND CIVIL CONDITION BY DISTRICTS.—OSMANABAD DISTRICT.

|  Srl. Communities No. ' and age |   | POPULATION |   |   | UNMARRIED |   |   | MARRIED |   |   | WIDOWED |   |   | DIVORCED  |   |   |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|   |  | Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | P. | M. | F.  |
|  1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17  |
|  1. ALL COM-MUNITIES. |   | 748,691 | 386,481 | 362,210 | 274,249 | 156,093 | 118,156 | 411,363 | 207,307 | 204,056 | 61,394 | 22,477 | 38,917 | 1,685 | 604 | 1,081  |
|  0—1 | .. | 26,630 | 13,145 | 13,485 | 26,306 | 13,018 | 13,288 | 322 | 127 | 195 | 2 | .. | 2 | .. | .. | ..  |
|  1—5 | .. | 102,792 | 50,649 | 52,143 | 99,147 | 49,310 | 49,837 | 3,517 | 1,264 | 2,253 | 128 | 75 | 53 | .. | .. | ..  |
|  5—10 | .. | 79,246 | 47,687 | 31,559 | 63,025 | 41,028 | 21,997 | 15,975 | 6,598 | 9,377 | 243 | 61 | 182 | 3 | .. | 3  |
|  10—15 | .. | 81,724 | 39,550 | 42,174 | 46,317 | 25,795 | 20,522 | 34,842 | 13,538 | 21,304 | 532 | 212 | 320 | 33 | 5 | 28  |
|  15—20 | .. | 65,903 | 32,310 | 33,593 | 18,301 | 12,535 | 5,766 | 45,628 | 19,059 | 26,569 | 1,817 | 670 | 1,147 | 157 | 46 | 111  |
|  20—30 | .. | 139,269 | 73,697 | 65,572 | 15,724 | 10,278 | 5,446 | 118,198 | 61,617 | 56,581 | 4,945 | 1,680 | 3,265 | 402 | 122 | 280  |
|  30—40 | .. | 98,767 | 56,427 | 42,340 | 3,180 | 2,494 | 686 | 87,333 | 51,381 | 35,952 | 7,899 | 2,442 | 5,457 | 355 | 110 | 245  |
|  40—50 | .. | 59,136 | 30,226 | 28,910 | 1,035 | 758 | 282 | 48,447 | 25,806 | 22,641 | 9,321 | 3,536 | 5,785 | 333 | 131 | 202  |
|  50—60 | .. | 44,264 | 20,519 | 23,745 | 603 | 428 | 175 | 31,070 | 15,548 | 15,522 | 12,335 | 4,432 | 7,903 | 256 | 111 | 145  |
|  60 & over | .. | 50,960 | 22,271 | 28,689 | 611 | 454 | 157 | 26,031 | 12,369 | 13,662 | 24,172 | 9,369 | 14,803 | 146 | 79 | 67  |
|  2. Brahmanic Hindus. |   | 23,921 | 12,215 | 11,706 | 10,043 | 5,474 | 4,569 | 12,277 | 6,162 | 6,115 | 1,599 | 577 | 1,022 | 2 | 2 | ..  |
|  0—1 | .. | 671 | 314 | 357 | 671 | 314 | 357 | .. | .. | .. | .. | .. | .. | .. | .. | ..  |
|  1—5 | .. | 2,125 | 908 | 1,222 | 2,115 | 902 | 1,213 | 10 | 1 | 9 | .. | .. | .. | .. | .. | ..  |
|  5—10 | .. | 2,257 | 795 | 1,462 | 2,208 | 788 | 1,420 | 49 | 7 | 42 | .. | .. | .. | .. | .. | ..  |
|  10—15 | .. | 2,818 | 1,227 | 1,591 | 2,287 | 1,031 | 1,256 | 522 | 196 | 326 | 9 | .. | 9 | .. | .. | ..  |
|  15—20 | .. | 2,568 | 1,306 | 1,262 | 1,200 | 1,027 | 173 | 1,343 | 268 | 1,075 | 25 | 11 | 14 | .. | .. | ..  |
|  20—30 | .. | 5,075 | 3,145 | 1,930 | 1,435 | 1,289 | 146 | 3,516 | 1,810 | 1,706 | 124 | 46 | 78 | .. | .. | ..  |
|  30—40 | .. | 3,085 | 1,636 | 1,449 | 94 | 90 | 4 | 2,755 | 1,478 | 1,277 | 235 | 67 | 168 | 1 | 1 | ..  |
|  40—50 | .. | 2,254 | 1,184 | 1,070 | 16 | 16 | .. | 1,943 | 1,075 | 868 | 294 | 92 | 202 | 1 | 1 | ..  |
|  50—60 | .. | 1,707 | 971 | 736 | 9 | 9 | .. | 1,344 | 825 | 519 | 354 | 137 | 217 | .. | .. | ..  |
|  60 & over | .. | 1,361 | 734 | 627 | 8 | 8 | .. | 795 | 502 | 293 | 558 | 224 | 334 | .. | .. | ..  |
|  3. Other Hindus. |   | 407,286 | 210,712 | 196,574 | 142,318 | 81,679 | 60,639 | 231,623 | 116,111 | 115,512 | 32,506 | 12,618 | 19,888 | 304 | 839 | 535  |
|  0—1 | .. | 13,055 | 6,779 | 6,276 | 12,892 | 6,728 | 6,164 | 163 | 51 | 112 | .. | .. | .. | .. | .. | ..  |
|  1—5 | .. | 50,904 | 23,597 | 27,307 | 48,751 | 22,754 | 25,997 | 2,072 | 793 | 1,279 | 81 | 50 | 31 | .. | .. | ..  |
