TABLE VII.
Age, Sex and Civil Condition Part II. - Districts.

|  District | Religion and Age | POPULATION |   |   | UNMARRIED |   |   | MARRIED |   |   | WIDOWED  |   |   |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|   |   |  Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | Persons | Males | Females  |
|  1 | 2 | 3 | 4 | 5 | 7 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14  |
|  Parbhani | All Religions | 853,760 | 434,777 | 418,983 | 285,850 | 162,724 | 123,126 | 483,401 | 248,136 | 235,265 | 84,509 | 23,917 | 60,592  |
|   | 0-1 | 24,644 | 11,769 | 12,875 | 24,151 | 11,532 | 12,619 | 471 | 231 | 240 | 22 | 6 | 16  |
|   | 1-5 | 122,567 | 56,384 | 65,983 | 110,075 | 53,438 | 56,637 | 12,004 | 2,922 | 9,082 | 488 | 224 | 264  |
|   | 5-10 | 113,918 | 38,473 | 55,445 | 76,369 | 45,123 | 30,916 | 36,457 | 12,636 | 23,821 | 1,092 | 414 | 678  |
|   | 10-15 | 100,765 | 51,783 | 48,982 | 47,875 | 31,585 | 16,290 | 51,408 | 19,566 | 31,842 | 1,482 | 632 | 850  |
|   | 15-20 | 72,843 | 35,609 | 37,234 | 11,466 | 9,326 | 2,110 | 59,071 | 25,128 | 33,943 | 2,306 | 1,155 | 1,151  |
|   | 20-30 | 145,635 | 75,622 | 70,063 | 9,027 | 7,123 | 1,604 | 127,562 | 63,978 | 63,584 | 9,046 | 4,221 | 4,825  |
|   | 30-40 | 109,987 | 57,069 | 32,918 | 3,539 | 1,937 | 1,602 | 92,258 | 51,500 | 40,758 | 14,190 | 3,632 | 10,558  |
|   | 40-50 | 78,860 | 42,830 | 36,030 | 1,684 | 1,009 | 675 | 58,020 | 37,107 | 20,613 | 19,156 | 4,414 | 14,742  |
|   | 50-60 | 49,192 | 26,907 | 22,285 | 937 | 538 | 399 | 29,527 | 21,775 | 7,752 | 8,728 | 4,594 | 14,134  |
|   | 60 and over | 35,349 | 18,131 | 17,218 | 727 | 513 | 214 | 16,623 | 12,993 | 3,630 | 17,999 | 4,625 | 13,374  |
|   | Hindu (Brahmanic) | 589,258 | 301,611 | 287,647 | 190,410 | 111,102 | 79,308 | 335,419 | 171,407 | 164,012 | 63,429 | 19,102 | 44,327  |
|   | 0-1 | 16,720 | 7,920 | 8,800 | 16,453 | 7,793 | 8,660 | 256 | 127 | 129 | 11 | .. | 11  |
|   | 1-5 | 79,552 | 36,388 | 43,164 | 71,673 | 34,515 | 37,158 | 7,659 | 1,801 | 5,858 | 220 | 72 | 148  |
|   | 5-10 | 78,024 | 40,380 | 37,614 | 51,747 | 31,737 | 20,010 | 25,494 | 8,354 | 17,140 | 783 | 289 | 494  |
|   | 10-15 | 71,193 | 37,211 | 33,982 | 32,691 | 22,328 | 10,363 | 37,467 | 14,153 | 23,014 | 1,035 | 430 | 605  |
|   | 15-20 | 51,162 | 25,069 | 26,093 | 7,484 | 6,381 | 1,100 | 41,823 | 17,683 | 24,140 | 1,855 | 1,002 | 853  |
|   | 20-30 | 101,754 | 53,589 | 48,165 | 5,894 | 5,271 | 623 | 88,771 | 44,709 | 44,062 | 7,089 | 3,609 | 3,480  |
|   | 30-40 | 76,120 | 39,757 | 36,363 | 2,209 | 1,429 | 780 | 63,213 | 35,417 | 27,796 | 10,698 | 2,911 | 7,787  |
|   | 40-50 | 54,985 | 28,679 | 25,306 | 1,036 | 785 | 251 | 39,580 | 25,321 | 14,259 | 14,369 | 3,573 | 10,796  |
|   | 50-60 | 34,373 | 18,383 | 15,690 | 670 | 431 | 239 | 19,665 | 14,597 | 5,068 | 13,938 | 3,555 | 10,383  |
|   | 60 and over | 25,475 | 13,035 | 12,110 | 553 | 429 | 124 | 11,491 | 8,915 | 2,546 | 13,431 | 3,661 | 9,770  |
|   | Adi Hindu | 153,030 | 76,344 | 76,686 | 50,560 | 27,480 | 23,080 | 90,389 | 46,409 | 43,980 | 12,081 | 2,455 | 9,626  |
|   | 0-1 | 5,012 | 2,114 | 2,568 | 4,870 | 2,381 | 2,189 | 140 | 63 | 77 | 2 | .. | 2  |
|   | 1-5 | 24,293 | 11,073 | 13,220 | 21,740 | 10,393 | 11,347 | 2,478 | 667 | 1,811 | 75 | 13 | 62  |
|   | 5-10 | 21,258 | 11,195 | 10,063 | 12,832 | 7,534 | 5,298 | 8,225 | 3,593 | 4,632 | 201 | 68 | 135  |
|   | 10-15 | 15,173 | 9,293 | 8,880 | 7,684 | 5,085 | 2,599 | 10,189 | 4,061 | 6,128 | 300 | 147 | 153  |
|   | 15-20 | 12,896 | 6,447 | 6,449 | 1,660 | 1,148 | 512 | 11,008 | 5,218 | 5,790 | 228 | 81 | 147  |
|   | 20-30 | 24,786 | 12,528 | 12,258 | 911 | 630 | 281 | 22,813 | 11,394 | 11,219 | 1,062 | 304 | 758  |
|   | 30-40 | 19,106 | 9,297 | 9,809 | 430 | 132 | 298 | 16,640 | 8,802 | 7,838 | 2,036 | 363 | 1,073  |
|   | 40-50 | 13,740 | 7,177 | 6,563 | 282 | 71 | 211 | 10,589 | 6,653 | 3,936 | 2,869 | 453 | 2,416  |
|   | 50-60 | 8,709 | 4,585 | 4,124 | 75 | 47 | 28 | 5,835 | 4,018 | 1,817 | 2,799 | 520 | 2,279  |
|   | 60 and over | 5,057 | 2,305 | 2,752 | 76 | 59 | 17 | 2,472 | 1,740 | 732 | 2,509 | 506 | 2,003  |
