VII.—PART II—AGE AND CIVIL CONDITION BY DISTRICTS—PARBHANI DISTRICT.

|  Srl. No. | Communities and Age | POPULATION |   |   | UNMARRIED |   |   | MARRIED |   |   | WIDOWED |   |   | DIVORCED  |   |   |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|   |   |  Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | P. | M. | F.  |
|  1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17  |
|  1. | ALL COM-MUNITIES. | 911,886 | 465,213 | 446,673 | 305,238 | 173,248 | 131,990 | 518,275 | 264,958 | 2,53,317 | 85,055 | 25,403 | 59,652 | 3,318 | 1,604 | 1,714  |
|   | 0—1 | 26,288 | 12,434 | 13,854 | 26,125 | 12,345 | 13,780 | 156 | 88 | 68 | 7 | 1 | 6 | .. | .. | ..  |
|   | 1—5 | 121,009 | 59,254 | 61,755 | 116,638 | 57,200 | 59,488 | 4,104 | 1,994 | 2,110 | 267 | 60 | 207 | .. | .. | ..  |
|   | 5—10 | 100,679 | 54,572 | 46,107 | 76,284 | 43,841 | 32,443 | 23,956 | 10,696 | 13,260 | 439 | 35 | 404 | .. | .. | ..  |
|   | 10—15 | 93,547 | 53,907 | 39,640 | 50,199 | 34,567 | 15,632 | 42,508 | 19,252 | 23,256 | 840 | 88 | 752 | .. | .. | ..  |
|   | 15—20 | 74,766 | 38,772 | 35,994 | 18,763 | 12,543 | 6,220 | 53,919 | 25,445 | 28,474 | 1,948 | 738 | 1,210 | 136 | 46 | 90  |
|   | 20—30 | 154,553 | 80,006 | 74,547 | 10,977 | 9,165 | 1,812 | 134,662 | 67,686 | 66,976 | 8,318 | 2,887 | 5,431 | 596 | 268 | 328  |
|   | 30—40 | 133,992 | 65,803 | 68,189 | 3,356 | 2,010 | 1,346 | 116,577 | 58,775 | 57,802 | 13,415 | 4,709 | 8,706 | 644 | 309 | 335  |
|   | 40—50 | 96,703 | 47,143 | 49,560 | 1,716 | 916 | 800 | 73,195 | 40,597 | 32,598 | 21,104 | 5,335 | 15,769 | 688 | 295 | 393  |
|   | 50—60 | 65,179 | 32,206 | 32,973 | 776 | 429 | 347 | 44,250 | 25,839 | 18,411 | 19,608 | 5,676 | 13,932 | 545 | 262 | 283  |
|   | 60 & over | 45,170 | 21,116 | 24,054 | 404 | 232 | 172 | 24,948 | 14,586 | 10,362 | 19,109 | 5,874 | 13,235 | 709 | 424 | 285  |
|  2 | Brahmanic Hindus. | 30,588 | 15,817 | 14,771 | 11,835 | 6,505 | 5,330 | 16,498 | 8,416 | 8,082 | 2,253 | 896 | 1,357 | 2 | .. | 2  |
|   | 0—1 | 1,510 | 709 | 801 | 1,510 | 709 | 801 | .. | .. | .. | .. | .. | .. | .. | .. | ..  |
|   | 1—5 | 4,524 | 2,513 | 2,011 | 4,502 | 2,503 | 1,999 | 22 | 10 | 12 | .. | .. | .. | .. | .. | ..  |
|   | 5—10 | 1,765 | 903 | 862 | 1,717 | 883 | 834 | 48 | 20 | 28 | .. | .. | .. | .. | .. | ..  |
|   | 10—15 | 2,689 | 917 | 1,772 | 1,767 | 801 | 966 | 916 | 116 | 800 | 6 | .. | 6 | .. | .. | ..  |
|   | 15—20 | 3,085 | 1,519 | 1,566 | 1,530 | 856 | 674 | 1,512 | 651 | 861 | 43 | 12 | 31 | .. | .. | ..  |
|   | 20—30 | 5,293 | 3,065 | 2,228 | 663 | 609 | 54 | 4,409 | 2,401 | 2,008 | 220 | 55 | 165 | 1 | .. | 1  |
|   | 30—40 | 4,322 | 2,325 | 1,997 | 110 | 108 | 2 | 3,844 | 2,057 | 1,787 | 368 | 160 | 208 | .. | .. | ..  |
|   | 40—50 | 3,200 | 1,574 | 1,626 | 34 | 34 | .. | 2,707 | 1,338 | 1,369 | 458 | 202 | 256 | 1 | .. | 1  |
|   | 50—60 | 2,326 | 1,202 | 1,124 | 2 | 2 | .. | 1,868 | 990 | 878 | 456 | 210 | 246 | .. | .. | ..  |
|   | 60 & over | 1,874 | 1,090 | 784 | .. | .. | .. | 1,172 | 833 | 339 | 702 | 257 | 445 | .. | .. | ..  |
|  3. | Other Hindus | 538,705 | 274,703 | 264,002 | 170,078 | 98,822 | 71,256 | 315,813 | 159,784 | 156,029 | 51,434 | 15,426 | 36,008 | 1,380 | 671 | 709  |
|   | 0—1 | 14,164 | 6,479 | 7,685 | 14,088 | 6,424 | 7,664 | 76 | 55 | 21 | .. | .. | .. | .. | .. | ..  |
|   | 1—5 | 66,992 | 31,863 | 35,129 | 65,236 | 30,999 | 34,237 | 1,662 | 854 | 808 | 94 | 10 | 84 | .. | .. | ..  |
