TABLE VII.
Age, Sex and Civil Condition Part II.—Districts.

|  District | Religion and Age | POPULATION |   |   | UNMARRIED |   |   | MARRIED |   |   | WIDOWED |   |   | AGE, SEX & CIVIL CONDITION  |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|   |   |  Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | Persons | Males | Females  |   |
|  1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15  |
|  Raichur | All Religions | 937,535 | 473,161 | 464,374 | 379,532 | 225,579 | 153,953 | 448,036 | 222,574 | 225,462 | 109,967 | 25,008 | 84,959 |   |
|   | 0-1 | 22,959 | 10,738 | 12,221 | 22,785 | 10,695 | 12,090 | 168 | 43 | 125 | 6 | .. | 6 |   |
|   | 1-5 | 113,230 | 54,164 | 59,866 | 107,230 | 52,430 | 54,800 | 5,350 | 1,629 | 3,721 | 650 | 105 | 545 |   |
|   | 5-10 | 117,516 | 59,813 | 57,703 | 98,673 | 54,361 | 44,312 | 17,380 | 5,206 | 12,174 | 1,463 | 246 | 1,217 |   |
|   | 10-15 | 106,812 | 55,735 | 51,077 | 75,736 | 47,286 | 28,450 | 28,754 | 7,856 | 20,898 | 2,322 | 593 | 1,729 |   |
|   | 15-20 | 84,439 | 43,529 | 40,910 | 29,458 | 24,247 | 5,211 | 51,899 | 18,432 | 33,447 | 3,082 | 830 | 2,252 |   |
|   | 20-30 | 181,300 | 89,787 | 91,513 | 29,407 | 24,630 | 4,777 | 138,401 | 62,408 | 75,993 | 13,492 | 2,740 | 10,743 |   |
|   | 30-40 | 141,312 | 73,819 | 67,463 | 10,057 | 7,810 | 2,247 | 107,834 | 61,217 | 46,617 | 23,421 | 4,822 | 18,599 |   |
|   | 40-50 | 86,990 | 45,996 | 40,994 | 3,401 | 2,218 | 1,183 | 58,154 | 38,185 | 19,969 | 25,435 | 5,593 | 19,842 |   |
|   | 50-60 | 50,177 | 24,166 | 26,011 | 1,728 | 1,207 | 521 | 26,585 | 17,933 | 8,652 | 21,864 | 5,026 | 16,838 |   |
|   | 60 and over | 32,800 | 15,384 | 17,416 | 1,057 | 695 | 362 | 13,511 | 9,645 | 3,866 | 18,232 | 5,014 | 13,188 |   |
|   | Hindu (Brahmanic) | 708,167 | 357,673 | 350,494 | 279,698 | 170,989 | 108,709 | 339,978 | 167,331 | 172,647 | 88,491 | 19,353 | 69,138 |   |
|   | 0-1 | 17,236 | 7,921 | 9,315 | 17,116 | 7,891 | 9,225 | 115 | 30 | 85 | 5 | .. | 5 |   |
|   | 1-5 | 83,351 | 39,829 | 43,522 | 79,086 | 38,886 | 40,200 | 3,698 | 863 | 2,835 | 567 | 80 | 487 |   |
|   | 5-10 | 87,539 | 44,267 | 43,272 | 73,365 | 41,329 | 32,036 | 12,909 | 2,715 | 10,164 | 1,265 | 193 | 1,072 |   |
|   | 10-15 | 79,496 | 41,866 | 37,630 | 55,653 | 35,985 | 19,668 | 22,042 | 5,400 | 16,642 | 1,801 | 481 | 1,320 |   |
|   | 15-20 | 63,697 | 33,071 | 30,626 | 21,558 | 18,414 | 3,144 | 39,519 | 13,972 | 25,547 | 2,620 | 685 | 1,935 |   |
|   | 20-30 | 137,128 | 68,255 | 68,873 | 21,764 | 19,448 | 2,316 | 104,513 | 46,702 | 57,811 | 10,851 | 2,105 | 8,746 |   |
|   | 30-40 | 107,507 | 56,336 | 51,171 | 7,211 | 6,136 | 1,075 | 81,441 | 46,548 | 34,803 | 18,855 | 3,652 | 15,203 |   |
|   | 40-50 | 66,662 | 35,155 | 31,537 | 1,990 | 1,456 | 534 | 44,484 | 29,431 | 15,053 | 20,188 | 4,268 | 15,920 |   |
|   | 50-60 | 39,256 | 18,728 | 20,528 | 1,147 | 882 | 265 | 20,509 | 13,925 | 6,584 | 17,600 | 3,921 | 13,679 |   |
